Maquina,Rodada,Média - Relógios núcleo (avg) [MHz],Desvio Padrão - Relógios núcleo (avg) [MHz],Mediana - Relógios núcleo (avg) [MHz],Média - Relógios efetivos núcleo (avg) [MHz],Desvio Padrão - Relógios efetivos núcleo (avg) [MHz],Mediana - Relógios efetivos núcleo (avg) [MHz]
Máquina A,1,2118.88,793.8561314423234,1670.9,259.4733333333333,198.06362061096382,216.2
Máquina A,2,2341.6107142857145,679.6650162583013,2493.9,373.5892857142857,199.82551340326464,419.79999999999995
Máquina A,3,2297.8778846153846,939.0869864023446,2506.4,601.3397435897435,882.064019242582,391.45
Máquina A,4,2506.8013422818794,945.5161831458967,2730.8,569.820134228188,877.6190381319018,272.05
Máquina A,5,1970.032268370607,874.1502234479684,1858.0,552.8361022364218,848.9137152290505,284.9
Máquina A,6,2289.4936666666667,1023.3711712310992,1907.85,539.0093333333333,852.3976289104335,282.65
Máquina A,7,2200.669934640523,974.3716851713219,2232.0,549.9408496732026,822.9614710009596,377.5
Máquina A,8,2244.8013157894734,1042.323668682282,2387.8999999999996,552.296052631579,837.0377072060115,298.95
Máquina A,9,2269.0632587859427,995.0736791871949,2444.0,596.2536741214058,870.2674996183107,372.0
Máquina A,10,2230.83536977492,952.9115866832904,2144.8,555.1623794212219,859.1501120290221,293.9
Máquina A,11,1934.8980456026056,852.4986784702683,1845.5,558.2478827361564,877.2696854820438,284.3
Máquina A,12,1944.9158415841584,855.762863003083,1695.9,543.9683168316832,852.3267403043776,275.0
Máquina A,13,2006.6767801857584,833.7834736794108,1858.0,546.5566563467492,824.0493339743487,369.0
Máquina A,14,2062.114381270903,749.8153665536614,1982.7,529.4548494983278,830.1862298968206,296.2
Máquina A,15,1974.6388198757763,877.5028673431715,1714.6,601.3621118012422,813.646269513568,388.95000000000005
Máquina A,16,2075.043288590604,776.1932630394328,1907.8,547.958389261745,852.125772920589,313.1
Máquina A,17,1925.2556666666665,875.3043719069882,1621.0,548.1063333333333,862.4930856937079,252.05
Máquina A,18,2044.7265573770492,809.9231552951027,1982.7,616.8711475409837,860.9035821260292,372.0
Máquina A,19,2103.2625000000003,875.4449974005204,2094.8500000000004,598.4447368421053,857.2901302925168,386.45
Máquina A,20,2112.1787878787877,681.9958884128553,1995.1,539.8791245791246,852.0254563958335,279.6
Máquina B,1,1597.8478048780487,388.93761251514525,1556.2,483.2809756097561,531.1284899368259,280.8
Máquina B,2,2014.9540697674418,502.40933665915065,2159.7,445.1209302325582,610.9408033299123,237.64999999999998
Máquina B,3,1773.2878453038672,477.25700188833537,1875.4,434.053591160221,526.748958603441,298.0
Máquina B,4,1792.161904761905,605.6272530837655,1650.95,451.4434523809524,593.2250851350763,265.35
Máquina B,5,1881.6341176470587,551.325128477414,1850.45,450.91294117647055,602.5311469349957,284.75
Máquina B,6,1856.985882352941,507.885609856118,1740.75,471.2429411764706,566.4356161104268,326.65
Máquina B,7,1877.196551724138,579.4239905261855,1900.35,432.85919540229884,535.6029033336775,297.35
Máquina B,8,1900.5513966480448,543.2308730074975,1895.4,439.72346368715085,561.8213621156716,300.1
Máquina B,9,1869.6308510638296,559.5637626738061,1960.2,418.863829787234,588.8555826239515,238.7
Máquina B,10,1933.2597633136097,539.4117524938763,2074.9,449.09349112426037,600.7559048064057,278.9
Máquina B,11,1845.3670588235295,561.2945650288653,1790.6,487.20529411764704,595.5477263414786,329.0
Máquina B,12,1936.0257309941521,529.4072239267101,1985.1,477.5625730994152,609.6028578000977,294.1
Máquina B,13,1955.1082352941178,542.2632631471522,2094.9,444.1111764705882,590.6587014429938,250.1
Máquina B,14,1921.9319526627219,536.3606024660202,1985.1,457.0639053254438,610.4229252555272,283.6
Máquina B,15,1887.2854748603352,439.6071752734251,1955.2,440.7938547486034,540.3340216588474,295.0
Máquina B,16,1875.305988023952,594.5209301189233,1935.3,448.00538922155687,597.1837162840909,289.3
Máquina B,17,1995.2391812865499,510.42893800206286,2114.8,436.4304093567252,565.9378957918976,267.6
Máquina B,18,1927.9203592814372,575.7100194112245,1985.1,454.36167664670654,611.7438605593944,291.2
Máquina B,19,1995.4904191616768,493.1527002980607,2104.9,437.577245508982,599.478075573721,257.9
Máquina B,20,2017.9207100591714,466.9227932604698,2064.9,445.4076923076923,600.5245449168746,287.4
