Maquina,Rodada,Média - CPU Inteira [°C],Desvio Padrão - CPU Inteira [°C],Mediana - CPU Inteira [°C],Média - CPU Inteira [°C].1,Desvio Padrão - CPU Inteira [°C].1,Mediana - CPU Inteira [°C].1,Média - Núcleo máximo [°C],Desvio Padrão - Núcleo máximo [°C],Mediana - Núcleo máximo [°C],Média - Distância do núcleo para TjMAX (avg) [°C],Desvio Padrão - Distância do núcleo para TjMAX (avg) [°C],Mediana - Distância do núcleo para TjMAX (avg) [°C],Média - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa,Desvio Padrão - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa,Mediana - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa
Máquina A,1,47.46666666666667,,47.46666666666667,46.46666666666667,,46.46666666666667,47.06666666666667,,47.06666666666667,56.2,,56.2,0.0,,0.0
Máquina A,2,58.42857142857143,,58.42857142857143,58.357142857142854,,58.357142857142854,58.857142857142854,,58.857142857142854,49.964285714285715,,49.964285714285715,0.0,,0.0
Máquina A,3,55.41346153846154,,55.41346153846154,56.18910256410256,,56.18910256410256,54.87820512820513,,54.87820512820513,51.23076923076923,,51.23076923076923,0.0,,0.0
Máquina A,4,55.46308724832215,,55.46308724832215,55.506711409395976,,55.506711409395976,55.43624161073826,,55.43624161073826,50.61744966442953,,50.61744966442953,0.0,,0.0
Máquina A,5,54.94888178913738,,54.94888178913738,54.91693290734824,,54.91693290734824,54.60063897763578,,54.60063897763578,51.51757188498402,,51.51757188498402,0.0,,0.0
Máquina A,6,54.946666666666665,,54.946666666666665,55.5,,55.5,54.11333333333334,,54.11333333333334,51.346666666666664,,51.346666666666664,0.0,,0.0
Máquina A,7,55.07516339869281,,55.07516339869281,55.48692810457516,,55.48692810457516,54.58496732026144,,54.58496732026144,51.45424836601307,,51.45424836601307,0.0,,0.0
Máquina A,8,55.64473684210526,,55.64473684210526,55.25,,55.25,54.98684210526316,,54.98684210526316,51.0296052631579,,51.0296052631579,0.0,,0.0
Máquina A,9,56.03833865814696,,56.03833865814696,56.24920127795527,,56.24920127795527,55.46325878594249,,55.46325878594249,50.552715654952074,,50.552715654952074,0.0,,0.0
Máquina A,10,55.032154340836016,,55.032154340836016,55.440514469453376,,55.440514469453376,54.257234726688104,,54.257234726688104,51.67845659163987,,51.67845659163987,0.0,,0.0
