Maquina,Rodada,Média - CPU Inteira [°C],Desvio Padrão - CPU Inteira [°C],Mediana - CPU Inteira [°C],Média - CPU Inteira [°C].1,Desvio Padrão - CPU Inteira [°C].1,Mediana - CPU Inteira [°C].1,Média - Núcleo máximo [°C],Desvio Padrão - Núcleo máximo [°C],Mediana - Núcleo máximo [°C],Média - Distância do núcleo para TjMAX (avg) [°C],Desvio Padrão - Distância do núcleo para TjMAX (avg) [°C],Mediana - Distância do núcleo para TjMAX (avg) [°C],Média - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa,Desvio Padrão - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa,Mediana - Estrangulamento térmico do núcleo (avg) [Yes/Não]_Taxa
Máquina A,1,47.46666666666667,6.266312046703919,44.0,46.46666666666667,5.097151398668907,44.0,47.06666666666667,6.6704751026623335,44.0,56.2,2.932575659723037,58.0,0.0,0.0,0.0
Máquina A,2,58.42857142857143,8.01585730000031,60.0,58.357142857142854,8.555761696135429,58.5,58.857142857142854,8.514537832281592,60.5,49.964285714285715,3.060890004401926,49.0,0.0,0.0,0.0
Máquina A,3,55.41346153846154,11.341478870197934,53.0,56.18910256410256,11.624323504669649,53.0,54.87820512820513,11.866807960577317,53.0,51.23076923076923,8.75706138868649,53.0,0.0,0.0,0.0
Máquina A,4,55.46308724832215,11.801400070985633,50.0,55.506711409395976,11.866610852379976,49.0,55.43624161073826,12.373166441126203,51.0,50.61744966442953,8.877086089869405,54.0,0.0,0.0,0.0
Máquina A,5,54.94888178913738,11.166166575382372,50.0,54.91693290734824,10.968462987419054,50.0,54.60063897763578,11.63205670464783,50.0,51.51757188498402,8.236907512374541,54.0,0.0,0.0,0.0
Máquina A,6,54.946666666666665,11.18574502935595,49.5,55.5,11.461291550840937,50.0,54.11333333333334,11.627459522126252,48.0,51.346666666666664,8.2128756622982,54.0,0.0,0.0,0.0
Máquina A,7,55.07516339869281,10.91175802004276,50.0,55.48692810457516,11.278072110627727,50.0,54.58496732026144,11.586636005905893,49.0,51.45424836601307,7.869813561881106,53.0,0.0,0.0,0.0
Máquina A,8,55.64473684210526,11.970760799629177,50.0,55.25,11.329595578554313,50.0,54.98684210526316,12.126662026665889,50.0,51.0296052631579,8.424922471782736,53.0,0.0,0.0,0.0
Máquina A,9,56.03833865814696,12.301701458316993,50.0,56.24920127795527,12.027287657591792,51.0,55.46325878594249,12.634891083013336,50.0,50.552715654952074,8.81966410774106,53.0,0.0,0.0,0.0
Máquina A,10,55.032154340836016,11.76074367527228,49.0,55.440514469453376,11.549703182568594,51.0,54.257234726688104,12.317758125236208,49.0,51.67845659163987,8.386595614270618,54.0,0.0,0.0,0.0
