Maquina,Rodada,Média - Potência total da CPU [W],Desvio Padrão - Potência total da CPU [W],Mediana - Potência total da CPU [W],Média - IA: Package-Level RAPL/PBM PL1 [Yes/Não]_Taxa,Desvio Padrão - IA: Package-Level RAPL/PBM PL1 [Yes/Não]_Taxa,Mediana - IA: Package-Level RAPL/PBM PL1 [Yes/Não]_Taxa,Média - IA: Package-Level RAPL/PBM PL2 PL3 [Yes/Não]_Taxa,Desvio Padrão - IA: Package-Level RAPL/PBM PL2 PL3 [Yes/Não]_Taxa,Mediana - IA: Package-Level RAPL/PBM PL2 PL3 [Yes/Não]_Taxa,Média - Limite de desempenho - Térmico [Yes/Não]_Taxa,Desvio Padrão - Limite de desempenho - Térmico [Yes/Não]_Taxa,Mediana - Limite de desempenho - Térmico [Yes/Não]_Taxa,Média - Eficiência (Score/W),Desvio Padrão - Eficiência (Score/W),Mediana - Eficiência (Score/W)
Máquina A,1,8.885733333333333,,8.885733333333333,0.0,,0.0,0.0,,0.0,0.0,,0.0,874.0978047206759,,874.0978047206759
Máquina A,2,13.619178571428572,,13.619178571428572,0.0,,0.0,0.0,,0.0,0.0,,0.0,576.9070402295083,,576.9070402295083
Máquina A,3,15.456153846153844,,15.456153846153844,0.0,,0.0,0.0,,0.0,0.0,,0.0,525.0982929378391,,525.0982929378391
Máquina A,4,13.892728187919465,,13.892728187919465,0.0,,0.0,0.0,,0.0,0.0,,0.0,592.7561446973973,,592.7561446973973
Máquina A,5,14.204603833865816,,14.204603833865816,0.0,,0.0,0.0,,0.0,0.0,,0.0,582.4168063227487,,582.4168063227487
Máquina A,6,14.150606666666667,,14.150606666666667,0.0,,0.0,0.0,,0.0,0.0,,0.0,581.2471644325261,,581.2471644325261
Máquina A,7,14.454921568627451,,14.454921568627451,0.0,,0.0,0.0,,0.0,0.0,,0.0,571.1549495999055,,571.1549495999055
Máquina A,8,14.455638157894738,,14.455638157894738,0.0,,0.0,0.0,,0.0,0.0,,0.0,564.9698692506156,,564.9698692506156
Máquina A,9,15.153904153354631,,15.153904153354631,0.0,,0.0,0.0,,0.0,0.0,,0.0,529.8964490429612,,529.8964490429612
Máquina A,10,14.36259807073955,,14.36259807073955,0.0,,0.0,0.0,,0.0,0.0,,0.0,574.1997345731858,,574.1997345731858
Máquina A,11,14.202677524429967,,14.202677524429967,0.0,,0.0,0.0,,0.0,0.0,,0.0,577.2855143614247,,577.2855143614247
Máquina A,12,14.395867986798681,,14.395867986798681,0.0,,0.0,0.0,,0.0,0.0,,0.0,567.5239594786549,,567.5239594786549
Máquina A,13,13.861582043343654,,13.861582043343654,0.0,,0.0,0.0,,0.0,0.0,,0.0,590.8416495599682,,590.8416495599682
Máquina A,14,14.135729096989966,,14.135729096989966,0.0,,0.0,0.0,,0.0,0.0,,0.0,576.4117255002445,,576.4117255002445
Máquina A,15,15.283866459627328,,15.283866459627328,0.0,,0.0,0.0,,0.0,0.0,,0.0,522.6426193333002,,522.6426193333002
Máquina A,16,13.803043624161074,,13.803043624161074,0.0,,0.0,0.0,,0.0,0.0,,0.0,584.2914229353656,,584.2914229353656
Máquina A,17,14.05171,,14.05171,0.0,,0.0,0.0,,0.0,0.0,,0.0,578.8619321064839,,578.8619321064839
Máquina A,18,14.713783606557376,,14.713783606557376,0.0,,0.0,0.0,,0.0,0.0,,0.0,543.2321293917781,,543.2321293917781
Máquina A,19,14.06285197368421,,14.06285197368421,0.0,,0.0,0.0,,0.0,0.0,,0.0,573.496756923277,,573.496756923277
Máquina A,20,13.087518518518518,,13.087518518518518,0.0,,0.0,0.0,,0.0,0.0,,0.0,626.9332103247935,,626.9332103247935
Máquina B,1,9.522848780487804,,9.522848780487804,0.0,,0.0,0.0,,0.0,0.0,,0.0,636.0491633985322,,636.0491633985322
Máquina B,2,8.427104651162791,,8.427104651162791,0.0,,0.0,0.0,,0.0,0.0,,0.0,728.6013707154792,,728.6013707154792
Máquina B,3,7.8364254143646415,,7.8364254143646415,0.0,,0.0,0.0,,0.0,0.0,,0.0,726.351582389366,,726.351582389366
Máquina B,4,8.416696428571429,,8.416696428571429,0.0,,0.0,0.0,,0.0,0.0,,0.0,748.5122046951743,,748.5122046951743
Máquina B,5,8.475176470588234,,8.475176470588234,0.0,,0.0,0.0,,0.0,0.0,,0.0,741.9314537958606,,741.9314537958606
Máquina B,6,8.763152941176472,,8.763152941176472,0.0,,0.0,0.0,,0.0,0.0,,0.0,717.5499551598404,,717.5499551598404
Máquina B,7,8.204287356321839,,8.204287356321839,0.0,,0.0,0.0,,0.0,0.0,,0.0,722.4271582141662,,722.4271582141662
Máquina B,8,8.143486033519553,,8.143486033519553,0.0,,0.0,0.0,,0.0,0.0,,0.0,729.9085398481427,,729.9085398481427
Máquina B,9,7.812079787234043,,7.812079787234043,0.0,,0.0,0.0,,0.0,0.0,,0.0,780.2019649056867,,780.2019649056867
Máquina B,10,8.048639053254439,,8.048639053254439,0.0,,0.0,0.0,,0.0,0.0,,0.0,761.2467100910146,,761.2467100910146
Máquina B,11,9.783782352941175,,9.783782352941175,0.0,,0.0,0.0,,0.0,0.0,,0.0,628.7956720695654,,628.7956720695654
Máquina B,12,9.127508771929826,,9.127508771929826,0.0,,0.0,0.0,,0.0,0.0,,0.0,675.1020627830271,,675.1020627830271
Máquina B,13,8.436170588235294,,8.436170588235294,0.0,,0.0,0.0,,0.0,0.0,,0.0,743.4652884742102,,743.4652884742102
Máquina B,14,8.74880473372781,,8.74880473372781,0.0,,0.0,0.0,,0.0,0.0,,0.0,705.6963994405322,,705.6963994405322
Máquina B,15,7.7911396648044695,,7.7911396648044695,0.0,,0.0,0.0,,0.0,0.0,,0.0,755.9869612667018,,755.9869612667018
Máquina B,16,8.361035928143712,,8.361035928143712,0.0,,0.0,0.0,,0.0,0.0,,0.0,740.3388830281324,,740.3388830281324
Máquina B,17,7.9558888888888895,,7.9558888888888895,0.0,,0.0,0.0,,0.0,0.0,,0.0,758.5576023350976,,758.5576023350976
Máquina B,18,8.17074251497006,,8.17074251497006,0.0,,0.0,0.0,,0.0,0.0,,0.0,758.0706390700278,,758.0706390700278
Máquina B,19,7.875359281437126,,7.875359281437126,0.0,,0.0,0.0,,0.0,0.0,,0.0,788.6624315210407,,788.6624315210407
Máquina B,20,8.094585798816567,,8.094585798816567,0.0,,0.0,0.0,,0.0,0.0,,0.0,743.212827626034,,743.212827626034
Máquina F,1,31.055115830115827,,31.055115830115827,0.0,,0.0,0.0,,0.0,0.0,,0.0,459.02259962515274,,459.02259962515274
Máquina F,2,30.28625475285171,,30.28625475285171,0.0,,0.0,0.0,,0.0,0.0,,0.0,470.7746176062752,,470.7746176062752
Máquina F,3,30.647901515151517,,30.647901515151517,0.0,,0.0,0.0,,0.0,0.0,,0.0,465.7088836227108,,465.7088836227108
Máquina F,4,28.551987012987016,,28.551987012987016,0.0,,0.0,0.0,,0.0,0.0,,0.0,494.43143811948397,,494.43143811948397
Máquina F,5,30.547122605363985,,30.547122605363985,0.0,,0.0,0.0,,0.0,0.0,,0.0,455.4602467715541,,455.4602467715541
Máquina F,6,37.81923127035831,,37.81923127035831,0.0,,0.0,0.0,,0.0,0.0,,0.0,368.9392811888269,,368.9392811888269
Máquina F,7,31.201469696969696,,31.201469696969696,0.0,,0.0,0.0,,0.0,0.0,,0.0,455.8118620092197,,455.8118620092197
Máquina F,8,30.923201492537313,,30.923201492537313,0.0,,0.0,0.0,,0.0,0.0,,0.0,462.62997715331846,,462.62997715331846
Máquina F,9,33.67220895522388,,33.67220895522388,0.0,,0.0,0.0,,0.0,0.0,,0.0,430.14700993511633,,430.14700993511633
Máquina F,10,31.01330534351145,,31.01330534351145,0.0,,0.0,0.0,,0.0,0.0,,0.0,458.545125793091,,458.545125793091
Máquina F,11,31.286530534351144,,31.286530534351144,0.0,,0.0,0.0,,0.0,0.0,,0.0,457.0976632994883,,457.0976632994883
Máquina F,12,28.395374622356496,,28.395374622356496,0.0,,0.0,0.0,,0.0,0.0,,0.0,502.4057681833846,,502.4057681833846
Máquina F,13,30.23228467153285,,30.23228467153285,0.0,,0.0,0.0,,0.0,0.0,,0.0,472.4750429943529,,472.4750429943529
Máquina F,14,31.60736873747495,,31.60736873747495,0.0,,0.0,0.0,,0.0,0.0,,0.0,450.21147183088186,,450.21147183088186
Máquina F,15,30.24586909090909,,30.24586909090909,0.0,,0.0,0.0,,0.0,0.0,,0.0,469.91541083777156,,469.91541083777156
Máquina F,16,27.47917297297297,,27.47917297297297,0.0,,0.0,0.0,,0.0,0.0,,0.0,516.063566176015,,516.063566176015
