Maquina,Rodada,Média - Relógio da memória [MHz],Desvio Padrão - Relógio da memória [MHz],Mediana - Relógio da memória [MHz],Média - Taxa de leituras [MB/s],Desvio Padrão - Taxa de leituras [MB/s],Mediana - Taxa de leituras [MB/s],Média - Taxa de gravações [MB/s],Desvio Padrão - Taxa de gravações [MB/s],Mediana - Taxa de gravações [MB/s]
Máquina A,1,2593.6066666666666,0.24630604269207748,2593.7,0.1692,0.22176957153122442,0.069,0.41613333333333336,0.4017312297449389,0.235
Máquina A,2,2593.7214285714285,0.11338934190293576,2593.7,7.4316071428571435,18.533028167630064,0.469,0.3654285714285715,1.1817939103586748,0.0655
Máquina A,3,2593.7115384615386,0.08253346857840235,2593.7,8.556939102564103,25.114114296926925,0.195,1.2552660256410255,8.688947453068524,0.0225
Máquina A,4,2593.713422818792,0.11843975474683208,2593.7,5.542731543624161,37.832127723794585,0.065,1.2761644295302013,17.81804747348835,0.008
Máquina A,5,2593.711182108626,0.09758071313694704,2593.7,3.168392971246006,24.573015967114795,0.032,1.1406964856230033,13.99437270561312,0.013
Máquina A,6,2593.714,0.09072727333665553,2593.7,4.884096666666667,38.76652339171332,0.059,1.28451,16.893655390255702,0.0125
Máquina A,7,2593.7029411764706,0.10350184826387289,2593.7,3.3632549019607842,23.128861058200986,0.006,0.2692320261437909,1.2211681836964974,0.013
Máquina A,8,2593.7052631578945,0.09564060455089127,2593.7,4.760190789473685,35.32625441966945,0.032,0.20310855263157893,0.8049658488907502,0.012
Máquina A,9,2593.7130990415335,0.1030977556042494,2593.7,5.999111821086262,29.2129325186092,0.064,2.7075942492012777,17.158427492002293,0.019
Máquina A,10,2593.6993569131832,0.07405036173457034,2593.7,3.704176848874598,30.14071835291777,0.0,1.722279742765273,18.643438282561643,0.015
Máquina A,11,2593.7156351791527,0.09574187690704294,2593.7,3.7851791530944623,27.7154473011313,0.0,0.9158697068403909,9.73893017919606,0.012
Máquina A,12,2593.7052805280528,0.09579833874180149,2593.7,3.8963795379537958,26.796512144378386,0.028,0.37183828382838285,1.6959228133948399,0.013
Máquina A,13,2593.7185758513933,0.10408645611565467,2593.7,3.609640866873065,22.078072883789634,0.004,1.008095975232198,12.758058785537566,0.016
Máquina A,14,2593.7200668896317,0.10805788068410127,2593.7,4.211073578595317,26.38031084470053,0.056,0.949458193979933,11.05173166367442,0.011
Máquina A,15,2593.709316770186,0.07429942137702604,2593.7,9.255267080745341,32.3963874377806,0.612,3.023108695652174,18.557911843671803,0.091
Máquina A,16,2593.69932885906,0.07565351133381637,2593.7,4.387359060402685,28.415491007913445,0.112,1.5548825503355705,14.490623406071833,0.0125
Máquina A,17,2593.7079999999996,0.0689335873496197,2593.7,3.621456666666667,25.53093480089361,0.065,0.7721466666666666,10.054425700109322,0.009
Máquina A,18,2593.7154098360656,0.10968816101160977,2593.7,14.630862295081966,34.85057711370941,1.942,3.5940622950819674,27.98887176545963,0.174
Máquina A,19,2593.7174342105263,0.11486250474990119,2593.7,3.6135657894736846,17.273123469856237,0.004,0.5490822368421052,1.5819862029581973,0.014
Máquina A,20,2593.705723905724,0.08054437588935293,2593.7,2.253010101010101,18.24458484349217,0.0,0.20756565656565656,0.6795997305889284,0.019
Máquina B,1,1330.1,0.0,1330.1,3.4673170731707317,4.6670014265734325,2.563,0.759570731707317,2.468501945318482,0.079
Máquina B,2,1330.1017441860463,0.022874785549867847,1330.1,0.08315116279069769,0.7856768083580058,0.0,0.11282558139534883,0.28240018437863473,0.0395
Máquina B,3,1330.1,0.0,1330.1,2.0507624309392263,6.289151561213491,0.032,0.3293756906077348,1.0402447213490966,0.059
Máquina B,4,1330.1,0.0,1330.1,0.01261904761904762,0.045457990019055705,0.0,0.11133333333333334,0.3131795159036375,0.0335
Máquina B,5,1330.1,0.0,1330.1,0.030764705882352944,0.13922236668728075,0.0,0.10747058823529411,0.33695340882909236,0.0375
Máquina B,6,1330.1017647058823,0.02300894966543203,1330.1,1.647194117647059,4.869277073904338,0.008,0.17191176470588238,0.40742395868344977,0.054
Máquina B,7,1330.1034482758619,0.03207028358928729,1330.1,0.008436781609195402,0.03195904212264686,0.0,0.05968390804597701,0.09381218523163021,0.036
Máquina B,8,1330.1016759776535,0.022423052782531313,1330.1,0.05100558659217876,0.277967593641205,0.0,0.21231284916201115,1.1343834549762524,0.034
