Maquina,Rodada,Média - Potência das linhas GPU (avg) [W],Desvio Padrão - Potência das linhas GPU (avg) [W],Mediana - Potência das linhas GPU (avg) [W],Média - GPU Clock [MHz],Desvio Padrão - GPU Clock [MHz],Mediana - GPU Clock [MHz],Média - GPU Clock [MHz].1,Desvio Padrão - GPU Clock [MHz].1,Mediana - GPU Clock [MHz].1,Média - Limite térmico da GPU [°C],Desvio Padrão - Limite térmico da GPU [°C],Mediana - Limite térmico da GPU [°C]
Máquina A,1,0.0,0.0,0.0,303.3333333333333,12.909944487358057,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina A,2,5.763,0.0,5.763,332.12857142857143,65.61876909195156,350.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina A,3,2.417958333333333,0.6235610946593575,2.292,329.8057692307692,33.45411743029283,350.0,90.09615384615384,426.695585350384,0.0,3.9038461538461537,18.03989107636171,0.0
Máquina A,4,7.4985872483221465,17.93671042722925,5.693,330.0322147651007,34.027309825102556,350.0,11.728187919463087,146.3257629391885,0.0,0.5838926174496645,7.115308740071974,0.0
Máquina A,5,5.555974440894569,0.36967222919357373,5.594,318.8415335463259,52.039323767258104,350.0,91.43769968051119,426.21358794451606,0.0,4.447284345047923,19.19145945463807,0.0
Máquina A,6,5.29248,0.09400311102800347,5.299,324.16200000000003,42.61202457202773,350.0,28.4,244.71423509102877,0.0,1.16,9.995370165689907,0.0
Máquina A,7,7.198313725490196,22.962966844349545,4.209,330.06339869281044,33.567885221548856,350.0,76.56862745098039,397.1698941045607,0.0,3.127450980392157,16.222432294411636,0.0
Máquina A,8,3.965697368421053,0.2695799210891607,3.914,325.6559210526316,33.75016583956834,350.0,56.05263157894737,341.5170154007461,0.0,2.289473684210526,13.949286544537516,0.0
Máquina A,9,5.237523961661342,0.32558155104232595,5.26,330.03003194888174,33.155414807972456,350.0,87.50798722044729,413.4528863109077,0.0,4.169329073482428,18.613307339786175,0.0
Máquina A,10,4.382710610932476,0.25137469754226277,4.329,329.09839228295823,31.588649921427766,350.0,102.73311897106109,457.098764117406,0.0,4.196141479099678,18.670231210429257,0.0
Máquina A,11,5.67886319218241,0.24036149418973654,5.718,318.5622149837134,42.19398253777517,300.0,76.31921824104235,396.5444725144203,0.0,3.1172638436482085,16.19688690551857,0.0
Máquina A,12,4.9942211221122115,0.13209842538601763,4.996,322.76633663366334,46.52399568269748,350.0,35.84158415841584,271.9768226152115,0.0,1.7227722772277227,12.140828286996246,0.0
Máquina A,13,4.666479876160992,0.6540899149427379,4.743,318.56594427244585,55.726271595382634,350.0,91.06811145510837,406.5939666688568,0.0,6.733746130030959,23.284568382145356,0.0
Máquina A,14,3.7318060200668897,0.18063698578856496,3.706,327.0822742474917,97.22075923909054,350.0,6.421404682274248,111.0364669375181,0.0,0.2909698996655518,5.03133990810629,0.0
Máquina A,15,4.799531055900621,0.6664237287641707,5.123,336.4832298136646,56.779348002854555,350.0,132.5310559006211,503.0200450272267,0.0,7.565217391304348,24.552260393923735,0.0
Máquina A,16,4.506916107382551,0.039876024318332426,4.506,317.93959731543623,63.117540736778146,350.0,14.295302013422818,174.2023863948656,0.0,0.5838926174496645,7.115308740071974,0.0
Máquina A,17,3.348333333333333,0.13212270908670562,3.333,319.15933333333334,49.35220576226448,350.0,7.1,122.9756073373903,0.0,0.29,5.0229473419497435,0.0
Máquina A,18,4.2433508196721315,0.06648435367712761,4.236,20.950819672131146,210.5508460148038,0.0,332.94754098360653,37.24961853636086,350.0,0.8557377049180328,8.599964132999025,0.0
Máquina A,19,4.110266447368421,0.3063932168944908,4.051,42.03947368421053,296.75992634153,0.0,319.7315789473684,43.8374742428638,325.0,1.7171052631578947,12.121180090006156,0.0
Máquina A,20,5.485161616161617,0.15690488427991262,5.525,315.14141414141415,55.38897040556035,350.0,28.68686868686869,245.93442791472447,0.0,1.1717171717171717,10.045209027502834,0.0
Máquina B,1,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,2,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
Máquina B,3,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
