P-core 3 [°C],P-core 1 T1 C0 Ocupação [%],PCH Temperatura [°C],P-core 2 T0 Uso [%],Time,E-core 7 C1 Ocupação [%],E-core 4 Relógio [MHz],Core C0 Ocupação (avg) [%],E-core 6 T0 Relógio efetivo [MHz],P-core 1 [°C],Potência de núcleo GT [W],E-core 7 T0 Utilização [%],E-core 7 Distância para TjMAX [°C],Atividade de leitura [%],P-core 2 T0 Utilização [%],Relógios núcleo (avg) [MHz],P-core 2 T0 Relógio efetivo [MHz],P-core 1 T0 C0 Ocupação [%],P-core 0 C7 Ocupação [%],E-core 5 [°C],Distância do núcleo para TjMAX (avg) [°C],E-core 7 [°C],P-core 0 T0 Uso [%],CPU Inteira [°C],Potência total da CPU [W],P-core 1 T0 Relógio efetivo [MHz],P-core 1 T1 Uso [%],P-core 0 [°C],P-core 3 T0 Uso [%],P-core 0 C6 Ocupação [%],Core C7 Ocupação (avg) [%],E-core 5 T0 Utilização [%],P-core 2 C7 Ocupação [%],P-core 1 Relógio [MHz],P-core 0 Distância para TjMAX [°C],P-core 2 VID [V],Taxa de download atual [KB/s],P-core 3 C1 Ocupação [%],E-core 7 T0 C0 Ocupação [%],E-core 6 Distância para TjMAX [°C],Taxa de upload atual [KB/s],Taxa de leituras [MB/s],E-core 7 T0 Relógio efetivo [MHz],P-core 2 T1 C0 Ocupação [%],GPU Render/Computing Uso [%],P-core 0 T0 Utilização [%],Uso máximo de CPU / thread [%],Memória física disponível [MB],E-core 6 T0 Utilização [%],E-core 4 [°C],CPU Inteira [°C].1,E-core 4 Relação [x],P-core 3 T1 Utilização [%],Core C6 Ocupação (avg) [%],P-core 0 T1 Utilização [%],P-core 3 Relação [x],P-core 3 Distância para TjMAX [°C],Package C3 Ocupação [%],P-core 3 T1 C0 Ocupação [%],P-core 2 Relação [x],E-core 4 T0 Utilização [%],E-core 5 C1 Ocupação [%],Atividade de gravação [%],P-core 3 T1 Relógio efetivo [MHz],P-core 1 C6 Ocupação [%],P-core 2 [°C],Atividade total [%],Potência do System Agent [W],Potência de núcleos IA [W],Relógios efetivos núcleo (avg) [MHz],E-core 5 Relógio [MHz],E-core 5 T0 C0 Ocupação [%],CPU IA Cores [°C],E-core 6 C1 Ocupação [%],E-core 7 C6 Ocupação [%],Potência total do sistema [W],P-core 1 Distância para TjMAX [°C],E-core 4 Distância para TjMAX [°C],E-core 5 C6 Ocupação [%],E-core 5 Relação [x],P-core 3 T0 C0 Ocupação [%],E-core 6 C6 Ocupação [%],P-core 0 T1 C0 Ocupação [%],E-core 6 VID [V],P-core 0 T0 Relógio efetivo [MHz],Temperatura do disco 3 [°C],P-core 2 T0 C0 Ocupação [%],E-core 4 T0 Uso [%],P-core 0 Relógio [MHz],P-core 3 T1 Uso [%],P-core 3 C7 Ocupação [%],P-core 1 C1 Ocupação [%],E-core 7 T0 Uso [%],Núcleo máximo [°C],VR VCC Temperatura (SVID) [°C],Utilização de D3D GPU [%],E-core 5 T0 Uso [%],P-core 1 T0 Utilização [%],Potência do restante do chip [W],E-core 6 [°C],P-core 2 C6 Ocupação [%],Core C1 Ocupação (avg) [%],Utilização do núcleo (avg) [%],Relógio de memória GPU [MHz],Uso do núcleo (avg) [%],P-core 2 Distância para TjMAX [°C],VR VCC Corrente (SVID IOUT) [A],Package C2 Ocupação [%],P-core 0 Relação [x],P-core 2 T1 Uso [%],E-core 5 Distância para TjMAX [°C],Uso total da GPU [%],Utilizações de D3D GPU (avg) [%],GPU Core Temperatura [°C],E-core 5 T0 Relógio efetivo [MHz],P-core 3 Relógio [MHz],P-core 0 C1 Ocupação [%],P-core 1 C7 Ocupação [%],E-core 7 VID [V],P-core 2 C1 Ocupação [%],IGPU Potência [W],Uncore Relação [x],P-core 0 T1 Uso [%],P-core 3 T0 Utilização [%],Relação do relógio do núcleo (avg) [x],P-core 2 T1 Relógio efetivo [MHz],E-core 4 T0 Relógio efetivo [MHz],Date,E-core 4 VID [V],Temperaturas centrais (avg) [°C],E-core 4 C1 Ocupação [%],Memória dinâmica D3D GPU [MB],E-core 6 T0 C0 Ocupação [%],P-core 2 T1 Utilização [%],E-core 4 T0 C0 Ocupação [%],P-core 1 Relação [x],Uso total da CPU [%],Core VIDs (avg) [V],Ring/LLC Relógio [MHz],CPU GT Cores (gráficos) [°C],P-core 0 T0 C0 Ocupação [%],Taxa de gravações [MB/s],E-core 4 C6 Ocupação [%],GPU Clock [MHz],P-core 3 C6 Ocupação [%],Uncore VID [V],E-core 7 Relógio [MHz],P-core 1 T1 Utilização [%],E-core 6 Relógio [MHz],P-core 1 VID [V],P-core 0 T1 Relógio efetivo [MHz],PCH Potência [W],P-core 3 VID [V],E-core 5 VID [V],E-core 6 Relação [x],E-core 7 Relação [x],P-core 1 T1 Relógio efetivo [MHz],Utilização total da CPU [%],P-core 3 T0 Relógio efetivo [MHz],P-core 0 VID [V],Relógio efetivo médio [MHz],P-core 2 Relógio [MHz],E-core 6 T0 Uso [%],P-core 1 T0 Uso [%]
40,0.0,39.0,0.0,17:31:18.357,0.0,2593.7,3.5,22.1,40,0.001,0.3,59,0.0,0.1,2381.7,1.6,1.3,53.5,41,59,41,12.2,43,4.67,13.4,0.0,41,23.7,0.0,70.6,0.1,99.7,1396.6,59,0.861,0.5,39.2,0.6,59,0.2,0.0,5.7,0.0,0.3,6.4,23.7,1948,1.3,41,43,26.0,0.0,49.5,0.0,36.0,60,7.1,0.0,34.0,0.1,0.0,0.0,0.3,0.0,41,0.0,3.292,0.949,42.7,2593.7,0.2,42,0.0,99.3,4.252,60,59,99.7,26.0,24.5,97.4,0.0,0.749,149.8,38,0.1,0.0,1895.4,0.0,30.9,0.0,0.1,41,40,1.0,0.0,0.6,0.11,41,0.0,8.7,1.8,36.0,3.3,59,4.375,13.9,19.0,0.0,59,0.8,0.2,43,2.2,3591.2,30.7,98.1,0.883,0.0,4.927,25.0,0.0,12.9,23.9,0.3,1.1,21.6.2026,0.889,41,0.0,647,2.2,0.0,0.1,14.0,3.3,0.843,2493.9,43,12.8,0.0,99.8,300.0,0.0,0.786,2493.9,0.0,1097.3,0.874,0.2,0.056,0.885,0.889,11.0,25.0,0.3,1.8,315.5,0.711,48.5,3391.7,1.8,2.3
45,0.0,38.0,8.5,17:31:19.339,2.7,1695.9,7.9,149.7,50,0.004,7.6,57,0.0,6.7,2169.7,165.2,15.3,59.6,43,56,43,20.1,48,4.928,387.9,0.0,46,23.7,0.0,58.8,5.2,83.3,4489.0,54,1.054,10.3,51.9,7.9,57,0.2,0.044,134.0,0.1,4.5,17.8,23.7,1928,8.6,43,43,17.0,0.2,45.0,0.0,14.0,55,5.2,0.1,14.0,6.6,0.6,0.4,4.3,0.1,43,0.5,3.383,1.032,158.9,1097.3,5.1,42,3.6,88.7,4.23,50,57,93.8,11.0,23.9,85.8,0.0,1.033,433.5,39,6.7,5.2,4489.0,22.1,19.5,9.6,9.7,50,40,6.2,4.1,15.9,0.125,43,0.2,12.0,7.2,36.0,10.1,57,8.125,9.4,45.0,0.0,57,5.7,1.0,45,90.5,1396.6,17.2,72.9,1.033,9.0,6.924,39.0,0.4,17.3,21.8,3.5,114.4,21.6.2026,1.046,44,1.8,645,9.7,0.2,6.3,45.0,10.1,1.038,3890.5,43,19.9,0.555,91.3,300.0,0.0,0.981,1097.3,0.0,1695.9,1.049,0.2,0.056,1.026,1.041,17.0,11.0,0.3,7.2,422.7,1.019,162.3,1396.6,11.5,15.7
49,0.1,40.0,13.0,17:31:20.344,7.8,2892.9,14.3,285.2,46,0.045,12.5,55,0.2,16.1,3055.0,410.2,20.5,16.6,45,54,45,39.7,49,7.066,581.1,3.0,48,43.2,0.1,35.8,6.6,73.0,4389.3,52,1.036,0.4,38.5,11.5,55,0.2,0.252,195.0,3.5,11.6,40.0,43.2,1932,17.5,45,49,29.0,3.3,40.9,0.3,45.0,51,1.7,2.7,44.0,7.6,5.0,0.4,74.1,2.5,48,0.6,3.722,2.767,374.0,1097.3,6.5,49,11.5,79.5,4.865,54,55,87.7,11.0,49.1,69.5,0.3,1.039,997.9,40,13.0,9.7,4289.5,3.0,8.3,29.7,13.0,49,40,16.5,8.7,23.3,0.173,45,0.1,18.5,15.2,36.0,14.8,52,16.875,2.8,43.0,5.0,55,16.6,2.7,44,99.9,4489.0,39.7,45.3,1.039,11.4,10.631,38.0,0.2,50.5,30.6,108.0,116.5,21.6.2026,1.069,46,4.3,647,17.6,4.3,7.4,44.0,14.8,1.048,3790.7,44,39.7,0.577,87.5,300.0,0.1,0.961,1795.6,0.1,1097.3,1.046,7.7,0.056,1.04,1.064,11.0,18.0,1.6,15.2,1610.9,1.049,400.8,4389.3,19.2,20.5
46,0.0,39.0,18.3,17:31:21.347,11.2,1097.3,13.9,146.9,48,0.172,7.9,56,0.2,35.9,3254.5,868.2,30.7,0.0,44,54,44,61.7,50,10.789,1192.0,0.2,50,42.8,1.0,20.1,0.6,35.3,4489.0,50,1.056,0.7,46.3,7.2,56,0.5,0.849,154.9,0.3,9.3,94.4,61.7,1908,8.2,44,50,11.0,0.0,43.2,0.0,44.0,54,0.0,0.0,45.0,2.4,0.0,0.2,0.7,0.1,45,0.4,4.092,5.902,510.6,1097.3,0.4,50,15.5,80.7,5.947,52,56,99.5,11.0,35.6,76.0,0.0,1.063,2407.6,40,21.5,2.0,4489.0,0.0,14.6,35.2,3.9,50,40,11.7,0.6,46.6,0.233,44,0.0,24.0,21.8,36.0,13.7,55,21.875,0.0,45.0,0.0,56,11.4,2.0,44,11.7,4389.3,35.1,30.6,1.063,40.0,16.615,39.0,0.0,65.2,32.6,5.7,45.0,21.6.2026,1.053,46,9.0,647,7.1,0.2,2.0,45.0,13.7,1.053,3890.5,44,61.6,0.132,88.4,300.0,0.1,0.981,2892.9,0.0,3092.4,1.026,0.8,0.056,1.048,1.063,31.0,29.0,0.5,21.8,1292.8,1.048,582.5,4489.0,4.5,30.3
45,0.0,40.0,33.9,17:31:22.344,7.8,1695.9,19.9,649.2,45,0.077,23.7,58,0.2,47.9,3092.4,1225.2,41.4,0.0,42,56,42,45.8,46,16.897,1520.2,0.0,46,41.9,0.0,12.9,10.7,41.3,4489.0,54,1.063,0.0,48.2,20.7,58,0.0,0.366,426.4,1.5,7.9,66.9,45.8,1829,36.0,42,44,17.0,0.9,34.2,0.0,45.0,55,0.0,0.5,45.0,19.0,10.6,3.7,21.6,1.1,45,3.9,4.211,11.992,635.0,1695.9,9.0,43,16.5,69.6,7.745,55,58,79.4,17.0,42.0,48.9,0.0,1.039,1639.6,41,30.9,14.9,4489.0,0.0,3.3,47.1,21.8,46,40,9.1,8.9,62.1,0.229,42,0.0,27.2,27.6,42.0,20.8,55,6.25,0.0,45.0,5.8,58,8.9,1.5,44,190.6,4489.0,49.9,7.0,1.054,25.5,17.871,39.0,1.4,61.4,31.0,63.7,338.6,21.6.2026,1.078,44,12.3,678,32.0,2.6,15.0,45.0,20.8,1.055,3890.5,44,45.9,1.284,71.2,350.0,3.3,0.981,1695.9,0.1,1695.9,1.066,1.8,0.056,1.073,1.039,17.0,17.0,0.8,27.6,1542.0,1.024,654.4,4489.0,33.0,42.3
50,0.0,41.0,20.9,17:31:23.507,8.7,1695.4,16.3,446.9,46,0.041,25.2,54,0.2,32.1,3116.6,810.3,18.2,3.5,45,50,46,45.1,62,10.819,559.6,0.0,62,45.3,4.3,12.2,1.3,24.7,4487.9,38,1.06,0.8,44.0,28.4,55,4.0,0.123,362.0,0.1,5.6,69.1,45.3,1904,23.9,45,58,17.0,0.0,39.1,0.0,45.0,50,0.0,0.0,45.0,4.5,0.0,0.5,0.9,0.0,58,0.7,4.299,5.715,464.2,1097.0,0.6,58,10.0,61.2,6.039,54,55,99.3,11.0,40.3,51.7,0.0,1.049,1713.6,41,20.8,6.7,4487.9,6.3,12.0,69.2,36.0,62,41,14.3,1.6,24.1,0.221,45,1.9,28.1,20.9,36.0,18.3,42,28.75,0.0,45.0,0.0,55,13.9,2.4,44,11.2,4487.9,43.5,8.5,1.059,49.8,14.873,39.0,4.9,70.8,31.2,3.6,76.8,21.6.2026,1.062,50,0.0,645,36.0,0.1,6.3,45.0,18.3,1.058,3889.5,44,44.8,0.699,93.5,300.0,1.2,0.986,3091.7,0.0,1097.0,1.032,0.7,0.057,1.052,1.057,11.0,31.0,0.9,20.9,1583.5,1.096,476.1,4487.9,34.2,18.4
50,0.0,41.0,20.9,17:31:24.373,8.7,1695.4,16.3,446.9,46,0.041,25.2,54,0.2,32.1,3116.6,810.3,18.2,3.5,45,50,46,45.1,62,10.819,559.6,0.0,62,45.3,4.3,12.2,1.3,24.7,4487.9,38,1.06,0.8,44.0,28.4,55,4.0,0.123,362.0,0.1,5.6,69.1,45.3,1904,23.9,45,58,17.0,0.0,39.1,0.0,45.0,50,0.0,0.0,45.0,4.5,0.0,0.5,0.9,0.0,58,0.7,4.299,5.715,464.2,1097.0,0.6,58,10.0,61.2,6.039,54,55,99.3,11.0,40.3,51.7,0.0,1.049,1713.6,41,20.8,6.7,4487.9,6.3,12.0,69.2,36.0,62,41,14.3,1.6,24.1,0.221,45,1.9,28.1,20.9,36.0,18.3,42,28.75,0.0,45.0,0.0,55,13.9,2.4,44,11.2,4487.9,43.5,8.5,1.059,49.8,14.873,39.0,4.9,70.8,31.2,3.6,76.8,21.6.2026,1.062,50,0.0,645,36.0,0.1,6.3,45.0,18.3,1.058,3889.5,44,44.8,0.699,93.5,300.0,1.2,0.986,3091.7,0.0,1097.0,1.032,0.7,0.057,1.052,1.057,11.0,31.0,0.9,20.9,1583.5,1.096,476.1,4487.9,34.2,18.4
40,0.0,41.0,9.3,17:31:25.366,1.1,1097.3,11.2,199.3,41,0.041,5.4,57,0.0,19.9,1670.9,449.3,28.2,17.0,43,58,43,37.5,44,15.105,873.3,0.0,43,32.6,3.3,28.5,0.0,63.3,2094.9,57,0.734,14.2,53.6,5.9,57,10.5,0.047,92.6,0.0,11.6,47.9,37.5,1902,11.6,43,44,11.0,0.0,46.7,0.1,22.0,60,2.5,0.0,22.0,1.1,0.0,0.2,0.3,0.0,42,0.2,4.234,10.248,318.6,2194.6,0.0,44,5.2,92.4,7.475,59,57,100.0,22.0,32.7,78.8,0.1,0.688,1169.6,40,12.5,0.0,1396.6,0.0,8.5,42.8,4.6,43,41,18.2,0.0,36.5,0.19,43,0.0,20.2,13.8,36.0,10.5,58,1.25,3.5,14.0,0.0,57,20.2,3.0,44,0.2,2194.6,36.6,25.2,0.684,22.3,12.815,17.0,0.2,43.4,16.8,0.4,19.0,21.6.2026,0.688,42,0.0,645,14.6,0.0,1.6,21.0,10.5,0.72,1695.9,44,38.4,0.235,98.3,300.0,0.9,0.701,1097.3,0.0,1097.3,0.734,1.4,0.056,0.739,0.803,11.0,11.0,0.3,13.8,1017.8,0.691,353.2,2194.6,14.0,27.3
39,0.0,41.0,2.0,17:31:26.368,0.0,1097.3,5.6,177.3,41,0.002,3.4,57,0.3,0.2,1396.6,4.5,5.0,57.3,43,58,43,11.5,44,5.094,71.4,12.3,43,15.2,0.0,74.0,1.1,99.4,1995.1,57,0.753,5.2,27.2,4.9,57,1.4,0.295,56.0,0.1,0.1,5.5,15.9,1909,9.8,43,44,11.0,0.0,45.7,0.1,20.0,61,13.5,0.0,14.0,6.5,0.0,0.9,0.2,0.0,41,1.1,3.563,1.085,67.9,1097.3,1.7,43,0.0,94.9,4.447,59,57,98.3,11.0,16.7,83.8,0.1,0.691,125.1,41,0.3,12.3,1396.6,11.1,52.3,6.5,4.2,43,41,0.2,1.8,3.0,0.12,43,0.0,7.4,3.3,36.0,7.5,59,1.875,22.1,14.0,0.2,57,0.2,0.0,44,19.6,1995.1,25.3,86.8,0.691,0.0,5.036,8.0,0.2,9.6,14.0,0.7,120.9,21.6.2026,0.684,42,0.0,645,15.6,0.0,10.9,20.0,7.5,0.704,798.0,44,11.8,0.972,88.9,300.0,0.0,0.651,1097.3,0.0,1097.3,0.718,0.8,0.057,0.718,0.69,11.0,11.0,0.2,3.3,237.6,0.689,58.1,1396.6,15.9,3.5
41,0.0,41.0,1.6,17:31:27.360,0.1,1097.3,14.1,368.0,42,0.0,21.6,57,0.2,4.6,1434.0,91.1,10.7,30.0,43,58,43,37.6,44,10.561,414.7,0.0,43,29.3,2.8,55.3,1.5,86.1,1895.4,57,0.708,0.8,32.3,34.5,57,2.0,0.016,400.5,0.0,0.0,61.0,37.6,1909,20.3,43,44,11.0,0.1,39.5,0.1,19.0,59,0.0,0.0,19.0,13.6,0.0,0.1,1.0,2.5,42,0.2,3.846,6.216,347.8,1097.3,2.8,44,0.4,64.7,6.288,58,57,97.1,11.0,27.7,66.4,0.1,0.691,1542.4,40,2.2,21.4,1396.6,15.4,32.3,12.2,35.9,43,41,0.0,6.2,16.5,0.126,43,0.0,10.3,15.1,36.0,16.1,58,1.875,0.0,14.0,1.1,57,0.0,0.0,45,31.5,1895.4,27.4,73.0,0.691,10.2,10.575,13.0,0.0,42.3,14.4,0.7,247.3,21.6.2026,0.692,42,0.0,645,32.3,0.1,21.3,19.0,16.1,0.704,1296.8,44,37.0,0.096,78.3,300.0,4.6,0.666,1097.3,0.1,1097.3,0.714,1.2,0.06,0.713,0.7,11.0,11.0,0.8,15.1,1074.4,0.721,340.5,1895.4,32.3,11.8
