P-core 3 [°C],P-core 1 T1 C0 Ocupação [%],PCH Temperatura [°C],Memória física utilizada [MB],Time,P-core 2 T0 Uso [%],E-core 7 C1 Ocupação [%],E-core 4 Relógio [MHz],Core C0 Ocupação (avg) [%],E-core 6 T0 Relógio efetivo [MHz],P-core 1 [°C],Potência de núcleo GT [W],E-core 7 T0 Utilização [%],E-core 7 Distância para TjMAX [°C],Atividade de leitura [%],P-core 2 T0 Utilização [%],Relógios núcleo (avg) [MHz],P-core 2 T0 Relógio efetivo [MHz],P-core 1 T0 C0 Ocupação [%],P-core 0 C7 Ocupação [%],E-core 5 [°C],Distância do núcleo para TjMAX (avg) [°C],E-core 7 [°C],P-core 0 T0 Uso [%],CPU Inteira [°C],iGPU VID [V],Potência total da CPU [W],P-core 1 T0 Relógio efetivo [MHz],P-core 1 T1 Uso [%],Memória virtual disponível [MB],P-core 3 T0 Uso [%],P-core 0 [°C],P-core 0 C6 Ocupação [%],Core C7 Ocupação (avg) [%],E-core 5 T0 Utilização [%],P-core 2 C7 Ocupação [%],P-core 1 Relógio [MHz],P-core 0 Distância para TjMAX [°C],P-core 2 VID [V],Taxa de download atual [KB/s],P-core 3 C1 Ocupação [%],E-core 7 T0 C0 Ocupação [%],E-core 6 Distância para TjMAX [°C],Taxa de upload atual [KB/s],Taxa de leituras [MB/s],E-core 7 T0 Relógio efetivo [MHz],P-core 2 T1 C0 Ocupação [%],GPU Render/Computing Uso [%],P-core 0 T0 Utilização [%],Uso máximo de CPU / thread [%],Memória física disponível [MB],E-core 6 T0 Utilização [%],E-core 4 [°C],Package C6 Ocupação [%],Memória virtual comprometida [MB],Carga da memória virtual [%],CPU Inteira [°C].1,E-core 4 Relação [x],P-core 3 T1 Utilização [%],Core C6 Ocupação (avg) [%],P-core 0 T1 Utilização [%],P-core 3 Relação [x],P-core 3 Distância para TjMAX [°C],Package C3 Ocupação [%],P-core 3 T1 C0 Ocupação [%],P-core 2 Relação [x],E-core 4 T0 Utilização [%],E-core 5 C1 Ocupação [%],Atividade de gravação [%],P-core 3 T1 Relógio efetivo [MHz],P-core 1 C6 Ocupação [%],P-core 2 [°C],Atividade total [%],Potência do System Agent [W],Potência de núcleos IA [W],Relógios efetivos núcleo (avg) [MHz],E-core 5 Relógio [MHz],E-core 5 T0 C0 Ocupação [%],CPU IA Cores [°C],E-core 6 C1 Ocupação [%],E-core 7 C6 Ocupação [%],Potência total do sistema [W],P-core 1 Distância para TjMAX [°C],E-core 4 Distância para TjMAX [°C],E-core 5 C6 Ocupação [%],E-core 5 Relação [x],P-core 3 T0 C0 Ocupação [%],E-core 6 C6 Ocupação [%],P-core 0 T1 C0 Ocupação [%],E-core 6 VID [V],P-core 0 T0 Relógio efetivo [MHz],Temperatura do disco 3 [°C],P-core 2 T0 C0 Ocupação [%],E-core 4 T0 Uso [%],P-core 0 Relógio [MHz],P-core 3 T1 Uso [%],P-core 3 C7 Ocupação [%],P-core 1 C1 Ocupação [%],E-core 7 T0 Uso [%],Núcleo máximo [°C],VR VCC Temperatura (SVID) [°C],Utilização de D3D GPU [%],E-core 5 T0 Uso [%],P-core 1 T0 Utilização [%],Potência do restante do chip [W],E-core 6 [°C],P-core 2 C6 Ocupação [%],Core C1 Ocupação (avg) [%],Utilização do núcleo (avg) [%],Uso do núcleo (avg) [%],P-core 2 Distância para TjMAX [°C],VR VCC Corrente (SVID IOUT) [A],Package C2 Ocupação [%],P-core 0 Relação [x],P-core 2 T1 Uso [%],E-core 5 Distância para TjMAX [°C],Uso total da GPU [%],Utilizações de D3D GPU (avg) [%],GPU Core Temperatura [°C],E-core 5 T0 Relógio efetivo [MHz],P-core 3 Relógio [MHz],P-core 0 C1 Ocupação [%],P-core 1 C7 Ocupação [%],E-core 7 VID [V],P-core 2 C1 Ocupação [%],IGPU Potência [W],Uncore Relação [x],P-core 0 T1 Uso [%],P-core 3 T0 Utilização [%],Relação do relógio do núcleo (avg) [x],P-core 2 T1 Relógio efetivo [MHz],E-core 4 T0 Relógio efetivo [MHz],Date,E-core 4 VID [V],Temperaturas centrais (avg) [°C],E-core 4 C1 Ocupação [%],E-core 6 T0 C0 Ocupação [%],Carga da memória física [%],P-core 2 T1 Utilização [%],E-core 4 T0 C0 Ocupação [%],P-core 1 Relação [x],Uso total da CPU [%],Core VIDs (avg) [V],Ring/LLC Relógio [MHz],CPU GT Cores (gráficos) [°C],P-core 0 T0 C0 Ocupação [%],Taxa de gravações [MB/s],E-core 4 C6 Ocupação [%],GPU Clock [MHz],P-core 3 C6 Ocupação [%],Uncore VID [V],E-core 7 Relógio [MHz],P-core 1 T1 Utilização [%],E-core 6 Relógio [MHz],P-core 1 VID [V],P-core 0 T1 Relógio efetivo [MHz],P-core 3 VID [V],E-core 5 VID [V],E-core 6 Relação [x],E-core 7 Relação [x],P-core 1 T1 Relógio efetivo [MHz],Utilização total da CPU [%],P-core 3 T0 Relógio efetivo [MHz],P-core 0 VID [V],Relógio efetivo médio [MHz],P-core 2 Relógio [MHz],E-core 6 T0 Uso [%],P-core 1 T0 Uso [%]
45,1.8,45.0,6492,17:42:49.516,13.1,5.0,1097.3,9.9,245.1,50,0.042,7.0,53,30.5,0.6,2992.7,8.4,11.8,68.5,47,53,47,13.8,51,0.0,6.773,293.7,0.0,10238,16.4,49,0.0,56.6,13.9,30.0,4489.0,51,1.065,0.2,29.8,7.6,53,0.2,8.012,120.2,23.1,4.0,13.5,22.0,1403,13.9,47,7.1,10969,51.7,47,11.0,0.0,40.7,0.0,45.0,55,1.6,0.0,45.0,5.5,6.4,0.5,0.6,1.9,46,31.0,3.126,3.076,175.3,1596.1,17.9,47,5.9,86.5,2.637,50,53,74.3,16.0,17.3,75.4,0.0,1.05,328.3,46,0.7,6.8,4489.0,2.0,50.5,6.7,6.8,50,45,5.2,18.6,12.0,0.173,47,0.1,14.6,8.1,10.9,54,11.875,14.8,45.0,22.0,53,4.8,0.9,48,244.1,4489.0,14.8,77.6,0.7,42.2,6.615,39.0,0.0,13.8,30.0,386.6,94.8,21.6.2026,1.063,47,5.7,17.4,82.2,15.7,6.2,45.0,10.9,1.01,3890.5,46,14.7,0.577,87.4,350.0,0.0,0.981,1695.9,1.7,1596.1,1.065,0.5,1.053,1.035,16.0,17.0,40.9,8.1,340.4,1.045,173.8,4489.0,19.4,12.3
44,0.0,44.0,6505,17:42:50.529,7.5,0.0,2992.7,9.3,131.1,46,0.042,1.1,54,10.1,0.5,3503.9,6.1,6.1,27.7,46,54,46,21.6,48,0.0,6.773,147.2,0.0,10247,23.2,48,0.0,33.3,11.6,15.3,4489.0,52,1.068,0.0,57.9,1.7,54,0.0,6.645,19.1,27.1,3.6,17.1,27.0,1390,7.3,46,0.0,10960,51.6,47,30.0,0.0,45.7,0.0,45.0,56,0.8,0.0,44.0,0.3,0.1,0.6,0.6,0.0,46,10.7,3.126,3.076,147.2,2992.7,18.7,47,0.0,98.0,2.637,54,54,80.3,30.0,23.6,87.6,0.0,1.028,393.4,46,0.5,0.6,4489.0,15.7,13.9,15.5,1.8,48,45,9.0,19.2,6.6,0.173,46,0.5,21.4,6.7,11.9,54,5.625,2.4,45.0,27.0,54,9.5,1.5,46,206.6,4489.0,45.6,76.5,1.035,51.8,7.387,39.0,8.6,16.8,35.1,463.3,5.8,21.6.2026,1.048,46,0.0,11.8,82.3,19.3,0.5,45.0,11.9,1.051,3890.5,46,21.9,0.429,99.4,350.0,0.0,0.981,1097.3,0.0,3092.4,1.053,0.6,1.068,1.033,31.0,11.0,0.5,6.7,392.4,1.075,161.7,4389.3,10.8,6.2
48,0.1,43.0,6516,17:42:51.537,8.9,0.0,3092.4,8.9,57.5,50,0.209,0.5,52,1.7,0.6,2606.1,7.0,14.7,54.6,49,51,48,20.4,51,0.0,7.364,543.0,25.4,10227,25.8,50,0.0,37.6,7.5,4.8,4389.3,50,0.985,0.1,39.5,0.7,52,0.0,2.348,10.6,33.0,2.5,28.5,32.8,1378,3.2,47,0.4,10980,51.7,58,31.0,0.0,47.1,0.1,43.0,52,0.2,0.0,14.0,0.1,6.0,0.3,0.5,0.9,51,2.0,3.538,3.075,250.6,1097.3,8.3,58,3.4,99.1,2.967,50,53,84.8,11.0,25.8,92.1,0.1,0.668,715.1,46,0.6,0.1,4389.3,0.1,31.3,23.7,0.6,51,45,5.4,8.3,21.5,0.159,48,0.0,19.2,10.3,12.3,49,21.25,2.8,44.0,32.8,51,4.9,0.9,46,133.4,4289.5,22.5,59.5,0.668,58.2,10.19,37.0,5.9,28.6,26.1,816.1,0.7,21.6.2026,1.056,49,0.0,3.5,82.5,32.5,0.1,44.0,12.3,0.937,3691.0,46,20.4,0.406,99.9,350.0,0.0,0.943,1097.3,0.0,1097.3,1.045,1.0,1.034,0.986,11.0,11.0,0.8,10.3,721.8,1.051,293.9,1396.6,4.7,14.7
67,0.0,45.0,6567,17:42:52.527,0.0,0.0,2892.9,11.5,43.5,52,0.066,0.7,51,15.0,0.6,3466.5,7.1,7.9,28.6,49,48,49,33.1,53,0.212,10.397,279.8,0.0,10210,30.1,53,0.7,27.7,7.2,0.0,4389.3,47,1.032,0.1,48.2,0.6,51,0.1,23.626,11.7,46.6,9.9,38.2,47.3,1328,2.5,48,0.0,10996,51.8,52,29.0,0.0,47.1,0.1,45.0,33,0.0,0.1,44.0,1.1,8.1,0.0,0.9,0.0,49,15.1,3.535,6.201,350.3,2992.7,9.2,52,5.0,99.2,3.745,48,52,81.2,30.0,37.0,91.8,0.1,1.073,967.0,47,0.4,0.0,4389.3,0.0,8.5,17.3,0.6,67,45,13.1,8.0,11.3,0.201,49,1.7,20.4,12.9,10.9,51,18.125,0.0,44.0,47.3,51,12.1,2.2,48,150.3,4489.0,35.9,73.6,1.053,48.6,9.889,38.0,0.0,33.4,34.8,1504.2,17.4,21.6.2026,1.036,52,0.0,2.7,83.1,59.1,1.1,44.0,10.9,1.044,3790.7,48,32.2,0.06,98.8,350.0,3.6,0.961,3092.4,0.0,1097.3,1.038,1.1,1.046,1.033,11.0,31.0,0.7,12.9,1219.4,1.046,414.8,4389.3,2.4,9.1
55,0.0,45.0,6546,17:42:53.542,7.6,1.3,2993.4,14.4,86.5,50,0.092,4.7,53,100.0,0.3,2507.0,3.3,26.9,39.5,47,52,47,28.7,54,0.0,10.169,1119.3,1.8,10204,48.6,46,0.6,24.8,12.5,7.8,1396.9,54,1.01,0.4,37.8,7.2,53,0.2,34.193,92.3,45.7,5.4,48.7,48.6,1349,4.8,47,0.0,11003,51.8,48,30.0,0.0,45.6,0.0,43.0,45,0.0,0.0,44.0,0.4,6.3,0.5,0.9,0.0,48,100.0,4.142,5.322,505.5,1097.6,15.3,47,8.6,91.1,6.582,50,53,76.6,11.0,42.2,84.9,0.0,0.949,1214.2,47,0.2,3.6,3691.9,10.1,6.6,26.0,6.7,55,46,6.3,16.1,44.5,0.207,47,1.2,18.7,21.7,16.9,52,7.5,1.5,37.0,44.6,53,6.0,1.0,48,198.3,4290.5,27.7,45.3,0.952,41.6,17.9,34.0,3.3,76.0,25.1,1742.9,5.9,21.6.2026,0.969,48,0.0,5.7,82.9,69.1,0.3,14.0,16.9,0.969,3392.5,48,29.3,0.834,99.6,350.0,10.5,0.898,1097.6,0.1,1097.6,0.965,0.6,0.989,0.959,11.0,11.0,1.8,21.7,1599.8,0.96,588.7,4390.3,5.9,26.0
68,0.1,45.0,6532,17:42:54.566,0.0,0.0,2992.7,20.4,308.5,58,0.042,11.8,47,0.6,0.2,2880.5,2.6,8.6,27.7,52,43,53,56.6,73,0.0,17.441,315.4,0.0,10208,19.3,50,10.0,42.8,29.7,0.0,4389.3,50,1.051,0.1,4.3,14.5,47,0.0,0.783,161.0,67.8,0.0,90.8,61.1,1363,21.2,52,0.0,10999,51.8,74,30.0,0.1,41.2,0.1,45.0,32,0.0,0.0,45.0,5.4,0.0,0.2,1.0,0.0,73,0.7,4.396,12.415,626.1,1097.3,38.8,74,0.0,85.0,8.025,42,48,60.1,11.0,24.1,71.5,0.1,1.055,2348.0,47,0.1,0.0,1396.6,0.0,59.9,6.0,20.3,73,46,0.1,49.6,8.4,0.201,53,0.0,6.6,24.4,20.6,27,20.0,0.0,14.0,61.1,48,0.1,0.0,48,432.5,4489.0,5.0,83.7,1.053,37.2,20.429,39.0,0.0,22.8,28.9,2980.6,73.8,21.6.2026,1.054,57,0.0,27.7,82.7,102.5,6.7,44.0,20.6,1.053,3890.5,48,56.1,0.411,93.0,350.0,10.0,0.988,3092.4,0.1,1097.3,1.046,1.4,1.074,1.029,11.0,31.0,1.4,24.4,886.7,1.064,704.3,4489.0,33.4,7.1
54,0.0,45.0,6531,17:42:55.576,0.0,0.0,2992.7,20.5,53.5,51,0.0,0.2,52,0.0,0.0,2493.9,0.7,18.6,12.8,48,47,48,56.4,73,0.0,21.081,772.9,0.6,10213,59.2,50,22.9,21.7,5.7,0.0,1396.6,50,1.033,1.1,14.0,0.3,52,0.0,0.0,4.5,90.1,0.0,97.0,90.5,1364,3.5,48,0.0,10994,51.8,73,30.0,0.0,52.4,0.0,45.0,46,0.0,0.0,45.0,0.0,4.7,0.0,0.6,4.6,74,0.0,3.856,16.652,880.2,2992.7,5.3,73,0.0,99.7,8.206,49,52,88.8,30.0,70.9,95.4,0.0,1.038,2487.1,46,0.0,11.5,1396.6,0.6,7.1,8.2,0.0,74,46,0.1,5.6,34.2,0.172,48,0.6,5.0,33.3,21.0,26,18.75,0.0,14.0,90.5,52,0.1,0.0,48,87.2,4489.0,5.7,66.8,1.038,7.8,24.352,39.0,0.6,101.2,25.0,4029.5,0.6,21.6.2026,1.053,53,0.0,4.4,82.7,157.4,0.0,14.0,21.0,1.043,3890.5,48,56.8,0.0,99.9,350.0,7.2,0.988,1097.3,0.0,1097.3,1.04,0.6,1.038,1.043,11.0,11.0,0.5,33.3,3125.1,1.063,1050.5,4489.0,7.6,19.9
49,0.0,45.0,6663,17:42:56.580,0.0,0.0,2992.7,11.3,18.8,47,0.001,0.1,53,16.3,0.4,1957.7,4.2,1.1,75.7,48,50,47,18.8,61,0.0,24.236,28.9,1.1,10028,65.9,49,3.8,44.8,2.7,4.6,1396.6,51,1.009,0.3,23.7,0.2,53,0.4,89.26,2.8,49.3,0.0,29.5,65.9,1232,1.3,48,0.0,11179,52.7,57,30.0,0.0,52.0,0.0,22.0,51,0.0,0.0,44.0,0.0,0.0,0.1,0.4,0.0,61,16.3,3.671,20.054,462.3,1097.3,2.7,57,0.0,99.7,9.137,53,52,97.0,11.0,63.1,98.7,0.0,1.029,761.4,47,0.3,0.0,1396.6,1.0,0.8,0.0,1.2,61,46,0.2,4.3,1.2,0.118,47,5.3,6.9,19.8,12.7,39,16.875,0.0,14.0,57.2,52,0.1,0.0,48,42.3,2194.6,1.4,98.2,1.029,30.4,15.294,38.0,1.0,108.6,19.6,2028.1,0.7,21.6.2026,0.969,50,0.0,1.2,84.3,93.3,0.0,14.0,12.7,0.98,3790.7,48,18.0,0.045,99.9,350.0,11.4,0.963,1097.3,0.0,1097.3,1.009,0.5,0.729,1.033,11.0,11.0,0.4,19.8,2659.9,1.036,552.7,4389.3,0.0,2.1
46,0.0,45.0,6733,17:42:57.583,19.9,0.0,1097.3,13.5,145.0,50,0.0,2.4,48,3.3,0.6,2306.9,8.3,6.6,73.8,51,48,52,20.0,62,0.0,14.985,263.4,0.0,9350,54.6,62,0.0,46.3,7.1,17.6,4189.8,38,0.994,0.2,31.5,4.2,49,0.0,2.22,48.8,48.4,0.0,29.4,54.6,1162,7.9,50,0.0,11857,55.9,55,11.0,0.0,48.4,0.0,41.0,54,0.0,0.0,44.0,2.6,0.0,0.4,0.5,0.0,56,3.8,3.591,11.004,471.6,1097.3,11.1,55,0.0,95.6,6.911,50,50,87.9,11.0,54.4,87.1,0.0,1.043,754.2,47,0.3,19.1,1396.6,0.0,2.5,1.0,3.5,62,47,0.1,10.6,10.2,0.136,51,11.0,7.2,18.8,16.4,44,15.625,0.0,14.0,48.1,49,0.1,0.0,49,128.9,4090.0,4.3,91.3,1.025,20.4,17.541,39.0,0.0,88.1,23.1,1990.2,47.9,21.6.2026,0.729,52,0.0,12.4,85.2,77.1,4.2,42.0,16.4,0.965,3890.5,49,20.3,6.304,95.7,350.0,9.9,0.983,1097.3,0.0,1097.3,1.033,0.6,1.024,0.818,11.0,11.0,1.0,18.8,2270.1,1.052,546.5,4389.3,14.8,6.3
65,0.1,44.0,6956,17:42:58.576,0.0,0.0,3092.4,14.7,174.1,55,0.001,3.7,50,0.4,0.4,2269.4,5.5,21.3,61.8,50,48,50,22.6,64,0.0,17.835,814.3,0.0,9385,45.3,44,6.9,43.1,10.0,20.0,1396.6,56,1.038,0.2,17.5,5.2,50,0.2,0.48,60.2,47.3,0.0,33.7,47.1,939,9.9,49,0.0,11821,55.7,63,31.0,0.0,48.5,0.0,45.0,35,0.0,0.0,45.0,1.5,3.2,0.0,0.8,2.4,50,0.4,4.044,12.983,478.8,1097.3,15.4,63,0.1,94.4,7.762,45,51,80.4,11.0,45.7,83.7,0.0,1.013,862.2,47,0.2,0.0,1396.6,0.0,23.9,7.8,5.4,65,47,0.1,15.7,31.8,0.271,50,12.3,6.6,19.3,14.3,50,15.0,0.0,14.0,47.1,50,0.1,0.0,49,174.5,4489.0,5.8,67.0,1.019,18.4,17.49,39.0,0.0,66.2,22.8,1918.6,26.0,21.6.2026,1.018,52,0.0,15.5,88.1,74.6,2.1,14.0,14.3,1.027,3890.5,49,23.0,0.109,97.6,350.0,10.2,0.986,1097.3,0.0,1097.3,1.033,0.9,1.038,1.013,11.0,11.0,0.9,19.3,1707.6,1.048,551.1,4489.0,14.5,20.8
