P-core 3 [°C],P-core 1 T1 C0 Ocupação [%],PCH Temperatura [°C],Memória física utilizada [MB],Time,P-core 2 T0 Uso [%],GPU Core (NVVDD) Saida de Energia [W].1,E-core 7 C1 Ocupação [%],Potência das linhas GPU (avg) [W],E-core 4 Relógio [MHz],Core C0 Ocupação (avg) [%],E-core 6 T0 Relógio efetivo [MHz],P-core 1 [°C],Potência de núcleo GT [W],E-core 7 T0 Utilização [%],E-core 7 Distância para TjMAX [°C],Atividade de leitura [%],GPU Core (NVVDD) Entrada de energia (sum) [W],P-core 2 T0 Utilização [%],Relógios núcleo (avg) [MHz],P-core 2 T0 Relógio efetivo [MHz],SPD Hub Temperatura [°C],P-core 1 T0 C0 Ocupação [%],Uso de memória GPU [%],P-core 0 C7 Ocupação [%],E-core 5 [°C],Distância do núcleo para TjMAX (avg) [°C],E-core 7 [°C],P-core 0 T0 Uso [%],CPU Inteira [°C],iGPU VID [V],Temperatura do disco [°C],Potência total da CPU [W],P-core 1 T0 Relógio efetivo [MHz],Memória GPU alocada [MB],P-core 1 T1 Uso [%],Memória virtual disponível [MB],P-core 3 T0 Uso [%],P-core 0 [°C],P-core 0 C6 Ocupação [%],Core C7 Ocupação (avg) [%],E-core 5 T0 Utilização [%],P-core 2 C7 Ocupação [%],Carga do núcleo da GPU [%],P-core 1 Relógio [MHz],Temperatura de ponto quente da GPU [°C],P-core 0 Distância para TjMAX [°C],Tensões de linhas GPU (avg) [V],P-core 2 VID [V],Taxa de download atual [KB/s],P-core 3 C1 Ocupação [%],E-core 7 T0 C0 Ocupação [%],E-core 6 Distância para TjMAX [°C],Taxa de upload atual [KB/s],Carga do barramento GPU [%],Taxa de leituras [MB/s],E-core 7 T0 Relógio efetivo [MHz],P-core 2 T1 C0 Ocupação [%],GPU Render/Computing Uso [%],P-core 0 T0 Utilização [%],Uso máximo de CPU / thread [%],Memória física disponível [MB],E-core 6 T0 Utilização [%],E-core 4 [°C],Package C6 Ocupação [%],Memória virtual comprometida [MB],Carga da memória virtual [%],Utilização do arquivo de paginação [%],CPU Inteira [°C].1,E-core 4 Relação [x],P-core 3 T1 Utilização [%],Core C6 Ocupação (avg) [%],P-core 0 T1 Utilização [%],GPU Potência [W],P-core 3 Relação [x],P-core 3 Distância para TjMAX [°C],GPU PCIe +3 3V Entrada de energia (est) [W],Package C3 Ocupação [%],P-core 3 T1 C0 Ocupação [%],P-core 2 Relação [x],E-core 4 T0 Utilização [%],E-core 5 C1 Ocupação [%],Atividade de gravação [%],P-core 3 T1 Relógio efetivo [MHz],Memória GPU disponível [MB],Temperatura de junção da memória GPU [°C],P-core 1 C6 Ocupação [%],P-core 2 [°C],Atividade total [%],Potência do System Agent [W],Potência de núcleos IA [W],Relógios efetivos núcleo (avg) [MHz],E-core 5 Relógio [MHz],E-core 5 T0 C0 Ocupação [%],CPU IA Cores [°C],E-core 6 C1 Ocupação [%],E-core 7 C6 Ocupação [%],Page File Used [MB],Potência total do sistema [W],GPU Core Voltage [V],GPU 12VHPWR Potência [W],P-core 1 Distância para TjMAX [°C],E-core 4 Distância para TjMAX [°C],E-core 5 C6 Ocupação [%],E-core 5 Relação [x],P-core 3 T0 C0 Ocupação [%],E-core 6 C6 Ocupação [%],P-core 0 T1 C0 Ocupação [%],Utilização de D3D GPU [%].1,E-core 6 VID [V],P-core 0 T0 Relógio efetivo [MHz],Temperatura do disco 3 [°C],P-core 2 T0 C0 Ocupação [%],Relógio de vídeo GPU [MHz],GPU Crossbar Relógio [MHz],E-core 4 T0 Uso [%],P-core 0 Relógio [MHz],P-core 3 T1 Uso [%],P-core 3 C7 Ocupação [%],P-core 1 C1 Ocupação [%],E-core 7 T0 Uso [%],Núcleo máximo [°C],VR VCC Temperatura (SVID) [°C],Utilização de D3D GPU [%],E-core 5 T0 Uso [%],P-core 1 T0 Utilização [%],Potência do restante do chip [W],GPU FBVDD Tensão de entrada [V],E-core 6 [°C],P-core 2 C6 Ocupação [%],Core C1 Ocupação (avg) [%],Utilização do núcleo (avg) [%],Relógio de memória GPU [MHz],Uso do núcleo (avg) [%],GPU Clock [MHz].1,P-core 2 Distância para TjMAX [°C],VR VCC Corrente (SVID IOUT) [A],Package C2 Ocupação [%],P-core 0 Relação [x],P-core 2 T1 Uso [%],E-core 5 Distância para TjMAX [°C],Fonte PP de entrada GPU Potência (sum) [W],Uso total da GPU [%],Temperatura do disco 2 [°C],Utilizações de D3D GPU (avg) [%],GPU Core Temperatura [°C],E-core 5 T0 Relógio efetivo [MHz],P-core 3 Relógio [MHz],P-core 0 C1 Ocupação [%],P-core 1 C7 Ocupação [%],GPU FBVDD Voltagemm de saída [V],E-core 7 VID [V],P-core 2 C1 Ocupação [%],IGPU Potência [W],Uncore Relação [x],PCI Express Error Counters (avg) [],P-core 0 T1 Uso [%],P-core 3 T0 Utilização [%],Relação do relógio do núcleo (avg) [x],P-core 2 T1 Relógio efetivo [MHz],E-core 4 T0 Relógio efetivo [MHz],Date,E-core 4 VID [V],Temperaturas centrais (avg) [°C],GPU 12VHPWR Voltagem [V],E-core 4 C1 Ocupação [%],Memória dinâmica D3D GPU [MB],E-core 6 T0 C0 Ocupação [%],Carga da memória física [%],GPU Core (NVVDD) Saida de Energia [W],P-core 2 T1 Utilização [%],E-core 4 T0 C0 Ocupação [%],P-core 1 Relação [x],Velocidade do link PCIe [GT/s],GPU FBVDD Saida de Energia [W],Uso total da CPU [%],Core VIDs (avg) [V],Ring/LLC Relógio [MHz],CPU GT Cores (gráficos) [°C],P-core 0 T0 C0 Ocupação [%],Taxa de gravações [MB/s],E-core 4 C6 Ocupação [%],GPU Clock [MHz],P-core 3 C6 Ocupação [%],Recovery Count [],Uncore VID [V],E-core 7 Relógio [MHz],Relógio de memória GPU [MHz].1,GPU FBVDD Entrada de energia [W],P-core 1 T1 Utilização [%],E-core 6 Relógio [MHz],Temperatura GPU [°C],Memória dedicada D3D GPU [MB],Limite térmico da GPU [°C],P-core 1 VID [V],P-core 0 T1 Relógio efetivo [MHz],P-core 3 VID [V],E-core 5 VID [V],Memória dinâmica D3D GPU [MB].1,E-core 6 Relação [x],E-core 7 Relação [x],P-core 1 T1 Relógio efetivo [MHz],Utilização total da CPU [%],P-core 3 T0 Relógio efetivo [MHz],P-core 0 VID [V],Relógio efetivo médio [MHz],P-core 2 Relógio [MHz],E-core 6 T0 Uso [%],P-core 1 T0 Uso [%]
42,7.3,42.0,5943,18:1:32.212,10.5,0.0,0.0,5.666,1097.3,3.5,14.1,42,0.008,2.3,56,0.2,0.0,5.7,1084.8,134.4,39.5,13.9,0.0,98.4,44,57,44,0.3,45,0.0,38,5.205,174.5,0,9.1,10287,1.5,40,0.0,68.0,0.2,54.7,0.0,1197.1,0.0,60,19.895,0.659,0.1,3.5,3.8,56,0.0,0.0,0.032,42.0,0.0,0.2,0.5,32.8,1952,0.8,45,0.0,10920,51.4,7.0,45,11.0,0.0,49.2,0.0,0.0,10.0,58,0.0,5.4,0.0,12.0,0.2,0.0,0.2,0.4,0,0.0,0.0,41,0.4,3.602,1.074,40.5,1097.3,0.4,44,0.0,96.0,935,4.39,0.0,0.0,58,55,99.6,11.0,2.4,98.4,0.0,0.0,0.684,10.6,42,11.6,0.0,0.0,23.3,897.8,0.0,92.8,48.3,4.5,45,42,0.8,1.1,7.2,0.14,0.0,44,0.0,10.2,1.8,36.0,6.9,0.0,59,4.375,9.7,9.0,32.8,56,0.0,0.5,38,0.1,45,4.3,997.6,0.0,26.2,0.0,0.685,30.0,4.962,4.0,1,0.0,1.1,10.9,0.5,3.0,21.6.2026,0.684,43,0.0,0.0,603,1.4,75.2,0.0,0.0,0.2,12.0,0.0,0.0,6.9,0.672,399.0,45,1.0,0.142,99.7,300.0,0.0,0,0.611,1097.3,0.0,0.0,3.3,1097.3,0.0,0,0.0,0.66,0.5,0.659,0.684,0,11.0,11.0,78.4,1.8,23.3,0.656,43.0,1197.1,0.0,0.0
42,35.6,42.0,5961,18:1:33.203,25.6,0.0,4.8,5.666,897.8,12.0,141.1,44,0.004,9.7,56,7.5,0.0,19.5,1571.2,475.7,39.5,0.6,0.0,55.5,45,56,44,16.2,45,0.21,38,4.954,6.7,0,35.6,10272,24.0,43,0.2,31.0,7.6,21.5,0.0,1995.1,0.0,57,19.895,0.704,0.1,32.3,12.0,55,0.1,0.0,2.07,170.1,0.1,6.5,12.9,35.6,1934,8.1,45,0.0,10935,51.5,7.0,45,9.0,2.5,42.3,0.2,0.0,19.0,58,0.0,2.0,2.3,19.0,10.0,4.4,0.3,61.9,0,0.0,1.8,44,7.8,3.553,0.905,214.4,1396.6,8.3,44,3.9,82.0,935,4.374,0.0,0.0,56,55,86.4,14.0,24.0,85.7,0.3,0.0,0.709,313.4,42,25.4,0.0,0.0,11.0,2094.9,0.0,39.5,50.4,11.1,45,42,12.3,7.3,0.5,0.125,0.0,45,0.0,22.1,9.6,36.0,13.5,0.0,56,8.125,4.3,21.0,0.0,55,0.0,12.2,38,2.1,45,132.6,1895.4,25.6,7.5,0.0,0.704,48.9,7.899,15.0,1,2.2,18.3,15.8,0.8,174.9,21.6.2026,0.701,44,0.0,6.6,600,9.5,75.4,0.0,0.0,10.4,20.0,0.0,0.0,13.5,0.71,1496.3,45,15.9,0.627,82.0,300.0,0.2,0,0.681,997.6,0.0,0.0,26.2,1396.6,0.0,0,0.0,0.717,4.5,0.706,0.706,0,14.0,10.0,639.6,9.6,451.9,0.736,226.2,1895.4,18.7,10.4
58,44.8,44.0,5976,18:1:34.208,22.9,0.0,4.5,185.066,2992.7,9.2,0.8,52,0.121,3.6,53,0.1,436.757,28.7,3666.0,706.5,39.5,0.5,3.6,70.9,47,50,47,17.0,56,0.21,38,8.124,9.0,221,44.5,10276,18.5,48,0.0,45.3,0.1,42.4,0.0,4489.0,48.4,52,22.715,1.053,0.2,28.0,4.4,53,0.2,0.0,0.028,67.2,0.1,8.3,27.5,44.5,1919,0.1,47,0.0,10931,51.5,7.0,53,30.0,0.2,48.1,0.1,590.006,45.0,42,3.0,5.3,0.1,44.0,1.9,0.0,2.0,3.9,5920,62.0,0.7,53,2.2,3.915,3.505,312.3,2992.7,0.1,53,0.0,90.4,935,5.189,0.67,587.001,48,53,99.8,30.0,18.8,99.8,0.1,0.0,1.068,700.3,43,23.1,1305.0,1380.0,1.7,3990.2,15.7,50.9,33.8,6.8,58,42,10.8,0.1,0.7,0.2,22.715,47,0.0,14.0,12.5,36.0,11.0,1365.0,47,25.625,9.4,40.0,4.5,53,153.249,10.5,38,1.8,45,1.0,4489.0,10.6,17.0,22.715,1.068,30.5,11.373,39.0,2,0.0,25.6,36.8,1.5,31.6,21.6.2026,1.071,50,22.715,4.3,600,0.1,75.6,0.0,0.1,1.6,45.0,16.0,150.26,11.0,1.061,3890.5,45,17.0,0.268,93.7,300.0,0.0,44,0.983,2992.7,1750.2,150.26,61.2,2992.7,42.0,3,87.0,1.06,1.5,1.061,1.051,1,30.0,30.0,1562.0,12.5,662.5,1.055,368.0,4389.3,0.1,0.0
42,37.5,43.0,5958,18:1:35.213,26.9,0.0,7.0,185.066,1097.3,11.3,31.8,42,0.082,12.7,55,14.0,0.0,29.1,1059.9,712.9,39.5,0.4,0.0,42.9,44,56,45,13.5,45,0.0,38,11.536,5.8,0,37.3,10253,19.8,44,0.0,25.1,3.7,15.8,0.0,997.6,0.0,56,22.715,0.654,0.0,44.9,17.9,56,0.0,0.0,3.052,222.1,0.1,10.3,14.3,37.3,1937,1.9,44,0.0,10953,51.6,7.0,45,11.0,0.1,42.8,0.1,0.0,10.0,58,0.0,1.6,0.1,10.0,8.4,3.4,0.1,1.3,0,0.0,2.2,43,14.1,3.91,6.971,255.2,1097.3,5.1,45,5.6,74.1,935,6.104,0.0,0.0,58,56,90.9,11.0,19.3,91.7,0.2,0.0,0.693,340.9,43,27.1,0.0,0.0,11.8,897.8,0.0,33.1,47.4,15.8,45,43,13.4,5.1,0.5,0.194,0.0,44,0.8,25.8,11.1,36.0,13.1,0.0,57,2.5,3.4,9.0,0.0,56,0.0,12.6,38,2.2,46,65.1,997.6,40.9,8.7,0.0,0.693,52.5,10.485,4.0,2,3.1,22.0,10.6,0.9,149.9,21.6.2026,0.683,44,0.0,4.9,604,2.3,75.4,0.0,0.1,11.7,10.0,0.0,0.0,13.1,0.67,399.0,45,13.6,0.307,82.5,300.0,0.1,0,0.611,1197.1,0.0,0.0,40.6,1197.1,0.0,0,0.0,0.654,2.2,0.653,0.683,0,12.0,12.0,1012.6,11.1,516.6,0.649,280.8,997.6,2.3,21.9
41,11.0,42.0,6007,18:1:36.207,7.2,0.0,0.0,185.066,1097.3,15.8,255.9,44,0.094,40.8,55,0.3,0.0,6.0,1733.3,150.3,39.5,0.4,0.0,94.5,45,56,45,2.0,46,0.0,38,10.092,3.8,0,10.1,10217,1.6,44,0.0,69.9,21.3,88.1,0.0,1496.3,0.0,56,22.715,0.691,0.1,5.0,66.2,55,0.0,0.0,0.306,742.6,0.1,0.2,2.5,68.0,1888,10.3,45,0.0,10990,51.8,7.0,45,11.0,0.1,28.8,0.1,0.0,15.0,59,0.0,0.7,0.1,15.0,21.0,0.0,0.1,1.0,0,0.0,0.0,44,0.4,4.146,5.259,191.5,3092.4,37.6,45,0.0,32.7,935,6.162,0.0,0.0,56,55,61.8,31.0,1.8,76.6,0.1,0.0,0.755,54.0,43,7.6,0.0,0.0,36.3,1596.1,15.6,92.1,80.3,68.0,45,43,0.4,36.4,0.4,0.222,0.0,45,0.0,11.2,9.4,36.0,20.9,0.0,56,19.375,1.4,16.0,25.4,55,0.0,0.3,38,0.1,45,424.2,1496.3,2.0,4.9,0.0,0.756,2.6,6.182,10.0,2,19.8,1.8,17.4,1.1,434.3,21.6.2026,0.751,44,0.0,0.0,604,23.0,76.0,0.0,0.1,39.1,15.0,0.0,0.0,20.9,0.764,997.6,45,2.3,0.258,59.7,300.0,0.0,0,0.646,1795.6,0.0,0.0,7.9,1795.6,0.0,0,0.0,0.698,1.0,0.691,1.08,0,18.0,18.0,188.2,9.3,41.8,0.693,130.0,1496.3,19.3,8.6
53,39.3,43.0,5988,18:1:37.213,30.0,4.956,0.3,5.693,2992.7,16.3,3.5,48,0.002,31.8,53,0.2,6.355,48.6,2643.5,1222.3,39.5,0.1,3.6,73.6,47,53,47,9.3,53,0.0,38,6.264,2.0,221,38.8,10238,22.9,45,0.0,42.2,11.8,38.9,0.0,2394.1,48.9,55,19.841,1.052,0.0,17.6,50.0,53,0.0,0.0,0.427,563.5,0.0,0.1,14.5,51.3,1907,5.6,47,0.0,10969,51.7,7.0,53,30.0,0.0,40.3,0.0,11.819,45.0,47,3.0,0.0,0.0,14.0,21.9,0.0,0.4,1.0,5920,62.0,5.7,45,0.6,3.566,2.158,434.3,2992.7,14.2,53,0.0,48.8,935,4.652,0.86,10.601,52,53,85.4,30.0,23.2,99.7,0.0,0.0,1.025,354.4,43,30.0,1950.0,1950.0,34.3,1396.6,0.0,55.3,50.9,51.3,53,43,0.2,16.8,0.1,0.151,19.855,47,12.0,12.6,19.6,36.0,16.9,2130.0,55,14.375,0.0,14.0,0.0,53,7.253,0.2,38,0.0,46,160.2,4489.0,15.1,1.1,19.854,1.03,16.7,12.028,39.0,2,0.0,38.1,26.5,0.8,336.7,21.6.2026,1.038,47,19.816,0.0,604,0.2,75.8,4.899,0.0,29.4,24.0,16.0,4.229,16.9,1.039,3890.5,46,9.3,1.432,69.6,300.0,1.8,47,0.983,3092.4,1750.2,4.249,62.9,2394.1,42.5,0,87.0,1.037,0.9,1.053,1.023,1,24.0,31.0,1606.4,19.6,960.0,1.054,464.5,1396.6,0.0,0.0
51,36.2,44.0,5980,18:1:38.227,75.4,0.0,0.0,5.693,1097.3,10.8,0.4,50,0.001,0.6,53,0.0,0.0,128.3,3204.7,3320.0,39.5,0.4,0.0,99.8,47,53,47,1.1,51,0.0,38,12.077,6.7,0,36.8,10247,17.5,45,0.0,51.2,0.0,0.0,0.0,4489.0,0.0,55,19.841,1.033,0.1,0.0,0.7,53,0.1,0.0,0.0,9.9,0.0,0.1,0.1,75.4,1915,0.0,45,0.0,10960,51.6,7.0,53,11.0,0.0,50.9,0.0,0.0,45.0,49,0.0,0.0,0.0,44.0,0.6,0.0,0.2,1.0,0,0.0,3.1,46,0.2,3.978,7.58,458.5,2992.7,0.0,53,0.0,99.2,935,6.798,0.0,0.0,50,55,100.0,30.0,16.6,100.0,0.0,0.0,1.026,2.8,43,74.9,0.0,0.0,0.4,3990.2,29.3,82.2,33.0,0.2,51,43,0.2,1.0,0.5,0.14,0.0,47,5.4,6.5,17.8,42.0,19.0,0.0,54,13.125,0.0,40.0,32.3,53,0.0,0.2,38,0.0,46,0.4,4489.0,0.0,22.7,0.0,1.021,19.2,11.986,38.0,2,24.3,26.9,32.1,0.4,10.8,21.6.2026,1.041,47,0.0,0.0,604,0.0,75.7,0.0,0.0,0.9,45.0,0.0,0.0,19.0,1.038,3790.7,46,0.1,0.02,99.0,350.0,0.2,0,0.961,1097.3,0.0,0.0,56.6,3092.4,0.0,0,0.0,1.033,0.4,1.053,1.026,0,31.0,11.0,1454.6,17.8,694.4,1.068,549.2,4389.3,9.4,0.0
49,26.7,44.0,6264,18:1:39.228,60.4,0.0,0.0,5.693,1097.3,9.8,0.5,52,0.002,0.9,51,15.4,0.0,103.4,3080.0,2649.1,39.5,0.3,0.0,94.3,49,51,49,2.3,60,0.0,38,11.962,6.7,0,25.5,9377,22.9,48,0.0,52.0,0.0,1.3,0.0,3990.2,0.0,52,19.841,0.934,0.6,2.1,0.9,51,0.4,0.0,78.226,15.8,0.0,0.1,5.6,60.4,1631,0.0,48,0.0,11830,55.7,7.0,63,11.0,0.0,50.5,0.0,0.0,45.0,51,0.0,0.0,0.0,34.0,0.2,0.0,0.0,0.4,0,0.0,0.0,50,15.4,3.48,7.958,408.5,3092.4,0.0,63,0.0,98.9,935,6.354,0.0,0.0,48,52,100.0,31.0,24.0,100.0,0.0,0.0,0.905,142.9,43,61.3,0.0,0.0,1.8,4489.0,0.0,72.9,30.2,2.6,52,43,0.4,0.0,0.7,0.111,0.0,49,5.2,8.0,16.0,42.0,11.5,0.0,50,18.75,0.0,45.0,0.0,51,0.0,0.3,38,0.1,45,0.4,4489.0,1.7,39.6,0.0,0.86,29.8,15.645,38.0,2,0.0,39.4,30.9,1.0,2.6,21.6.2026,0.86,49,0.0,0.0,604,0.0,79.3,0.0,0.0,0.1,40.0,0.0,0.0,11.5,0.935,3790.7,46,3.6,0.003,99.8,350.0,0.1,0,0.961,1097.3,0.0,0.0,42.2,2992.7,0.0,0,0.0,0.934,0.5,1.029,0.93,0,30.0,11.0,1064.3,16.0,1017.5,1.03,488.5,3391.7,0.0,22.9
49,34.2,44.0,6272,18:1:40.229,47.8,0.0,0.0,5.693,1097.3,10.9,0.5,62,0.001,1.5,53,0.0,0.0,77.8,2680.9,2004.4,39.5,0.5,0.0,92.0,47,51,47,7.2,62,0.0,38,15.966,11.0,0,33.7,9376,39.1,48,0.0,47.0,0.0,22.1,0.0,4489.0,0.0,52,19.841,0.954,0.0,0.0,1.8,53,0.0,0.0,0.0,27.0,0.0,0.1,10.8,47.8,1623,0.0,47,0.0,11831,55.7,7.0,58,11.0,0.0,53.1,0.0,0.0,42.0,51,0.0,0.0,0.0,14.0,0.9,0.0,0.0,0.7,0,0.0,4.7,46,0.0,3.842,11.533,438.3,2992.7,0.0,58,0.0,97.8,935,7.083,0.0,0.0,38,53,99.9,30.0,39.0,99.9,0.0,0.0,0.93,276.2,42,47.6,0.0,0.0,0.0,1396.6,3.1,53.0,35.1,0.3,62,44,0.3,1.6,0.8,0.202,0.0,47,16.0,6.0,17.2,42.0,15.5,0.0,54,23.125,0.0,14.0,13.6,53,0.0,0.2,38,0.0,48,0.6,4189.8,0.0,20.8,0.0,0.915,12.7,17.092,39.0,2,28.9,62.3,26.9,0.6,16.8,21.6.2026,0.939,49,0.0,0.0,604,0.0,79.4,0.0,0.0,0.6,45.0,0.0,0.0,15.5,0.975,3890.5,46,7.1,0.0,99.3,350.0,6.8,0,0.986,2793.2,0.0,0.0,51.7,3092.4,0.0,0,0.0,1.035,0.8,1.064,0.929,0,31.0,28.0,1318.3,17.2,1602.4,1.034,523.2,1396.6,0.1,10.2
63,35.9,44.0,6254,18:1:41.237,35.5,0.0,0.0,5.693,1097.3,13.1,0.6,55,0.001,8.6,50,0.0,0.0,53.8,3017.6,1375.9,39.8,0.3,0.0,83.7,49,49,50,16.5,63,0.0,38,17.108,6.6,0,36.4,9376,57.9,48,0.0,45.9,0.1,42.2,0.0,4289.5,0.0,52,19.841,1.029,0.1,3.5,13.7,50,0.1,0.0,0.0,152.9,0.0,0.1,23.9,57.9,1641,0.0,49,0.0,11831,55.7,7.0,63,11.0,0.0,52.8,0.0,0.0,45.0,37,0.0,0.0,0.0,14.0,0.1,0.0,0.3,0.8,0,0.0,12.8,46,0.3,3.806,12.579,487.4,2992.7,0.1,63,0.0,85.5,935,7.486,0.0,0.0,45,51,99.8,30.0,57.2,100.0,0.0,0.0,1.041,615.6,42,34.6,0.0,0.0,0.0,3890.5,0.0,26.5,12.3,13.9,63,44,0.3,0.0,0.5,0.322,0.0,50,14.2,2.7,19.3,42.0,14.3,0.0,54,25.625,0.0,39.0,0.0,51,0.0,0.2,38,0.0,45,1.7,4489.0,0.0,31.3,0.0,1.041,6.1,18.109,39.0,2,0.0,89.5,30.2,1.3,1.7,21.6.2026,1.041,51,0.0,0.0,604,0.0,79.2,0.0,0.1,0.1,43.0,0.0,0.0,14.3,1.041,3890.5,46,15.5,0.034,99.8,350.0,10.4,0,0.986,2992.7,0.0,0.0,55.5,2992.7,0.0,0,0.0,1.029,1.0,1.039,1.041,0,30.0,30.0,1402.1,19.3,2289.0,1.067,569.6,1396.6,1.2,9.7
