P-core 3 [°C],P-core 1 T1 C0 Ocupação [%],PCH Temperatura [°C],Memória física utilizada [MB],Time,P-core 2 T0 Uso [%],GPU Core (NVVDD) Saida de Energia [W].1,E-core 7 C1 Ocupação [%],Potência das linhas GPU (avg) [W],E-core 4 Relógio [MHz],Core C0 Ocupação (avg) [%],E-core 6 T0 Relógio efetivo [MHz],P-core 1 [°C],Potência de núcleo GT [W],E-core 7 T0 Utilização [%],E-core 7 Distância para TjMAX [°C],Atividade de leitura [%],GPU Core (NVVDD) Entrada de energia (sum) [W],P-core 2 T0 Utilização [%],Relógios núcleo (avg) [MHz],P-core 2 T0 Relógio efetivo [MHz],SPD Hub Temperatura [°C],P-core 1 T0 C0 Ocupação [%],Uso de memória GPU [%],P-core 0 C7 Ocupação [%],E-core 5 [°C],Distância do núcleo para TjMAX (avg) [°C],E-core 7 [°C],P-core 0 T0 Uso [%],CPU Inteira [°C],iGPU VID [V],Potência total da CPU [W],P-core 1 T0 Relógio efetivo [MHz],Memória GPU alocada [MB],P-core 1 T1 Uso [%],Memória virtual disponível [MB],P-core 3 T0 Uso [%],P-core 0 [°C],P-core 0 C6 Ocupação [%],Core C7 Ocupação (avg) [%],E-core 5 T0 Utilização [%],P-core 2 C7 Ocupação [%],Carga do núcleo da GPU [%],P-core 1 Relógio [MHz],Temperatura de ponto quente da GPU [°C],P-core 0 Distância para TjMAX [°C],P-core 2 VID [V],Taxa de download atual [KB/s],P-core 3 C1 Ocupação [%],E-core 7 T0 C0 Ocupação [%],E-core 6 Distância para TjMAX [°C],Taxa de upload atual [KB/s],Carga do barramento GPU [%],Taxa de leituras [MB/s],E-core 7 T0 Relógio efetivo [MHz],P-core 2 T1 C0 Ocupação [%],GPU Render/Computing Uso [%],P-core 0 T0 Utilização [%],Uso máximo de CPU / thread [%],Memória física disponível [MB],E-core 6 T0 Utilização [%],E-core 4 [°C],Package C6 Ocupação [%],Memória virtual comprometida [MB],Carga da memória virtual [%],Utilização do arquivo de paginação [%],CPU Inteira [°C].1,E-core 4 Relação [x],P-core 3 T1 Utilização [%],Core C6 Ocupação (avg) [%],P-core 0 T1 Utilização [%],GPU Potência [W],P-core 3 Relação [x],P-core 3 Distância para TjMAX [°C],GPU PCIe +3 3V Entrada de energia (est) [W],Package C3 Ocupação [%],P-core 3 T1 C0 Ocupação [%],P-core 2 Relação [x],E-core 4 T0 Utilização [%],E-core 5 C1 Ocupação [%],Atividade de gravação [%],P-core 3 T1 Relógio efetivo [MHz],Memória GPU disponível [MB],Temperatura de junção da memória GPU [°C],P-core 1 C6 Ocupação [%],P-core 2 [°C],Atividade total [%],Potência do System Agent [W],Potência de núcleos IA [W],Relógios efetivos núcleo (avg) [MHz],E-core 5 Relógio [MHz],E-core 5 T0 C0 Ocupação [%],CPU IA Cores [°C],E-core 6 C1 Ocupação [%],E-core 7 C6 Ocupação [%],Page File Used [MB],Potência total do sistema [W],GPU Core Voltage [V],GPU 12VHPWR Potência [W],P-core 1 Distância para TjMAX [°C],E-core 4 Distância para TjMAX [°C],E-core 5 C6 Ocupação [%],E-core 5 Relação [x],P-core 3 T0 C0 Ocupação [%],E-core 6 C6 Ocupação [%],P-core 0 T1 C0 Ocupação [%],Utilização de D3D GPU [%].1,E-core 6 VID [V],P-core 0 T0 Relógio efetivo [MHz],Temperatura do disco 3 [°C],P-core 2 T0 C0 Ocupação [%],Relógio de vídeo GPU [MHz],GPU Crossbar Relógio [MHz],E-core 4 T0 Uso [%],P-core 0 Relógio [MHz],P-core 3 T1 Uso [%],P-core 3 C7 Ocupação [%],P-core 1 C1 Ocupação [%],E-core 7 T0 Uso [%],Núcleo máximo [°C],VR VCC Temperatura (SVID) [°C],Utilização de D3D GPU [%],E-core 5 T0 Uso [%],P-core 1 T0 Utilização [%],Potência do restante do chip [W],GPU FBVDD Tensão de entrada [V],E-core 6 [°C],P-core 2 C6 Ocupação [%],Core C1 Ocupação (avg) [%],Utilização do núcleo (avg) [%],Relógio de memória GPU [MHz],Uso do núcleo (avg) [%],GPU Clock [MHz].1,P-core 2 Distância para TjMAX [°C],VR VCC Corrente (SVID IOUT) [A],Package C2 Ocupação [%],P-core 0 Relação [x],P-core 2 T1 Uso [%],E-core 5 Distância para TjMAX [°C],Fonte PP de entrada GPU Potência (sum) [W],Uso total da GPU [%],Utilizações de D3D GPU (avg) [%],GPU Core Temperatura [°C],E-core 5 T0 Relógio efetivo [MHz],P-core 3 Relógio [MHz],P-core 0 C1 Ocupação [%],P-core 1 C7 Ocupação [%],GPU FBVDD Voltagemm de saída [V],E-core 7 VID [V],P-core 2 C1 Ocupação [%],IGPU Potência [W],Uncore Relação [x],PCI Express Error Counters (avg) [],P-core 0 T1 Uso [%],P-core 3 T0 Utilização [%],Relação do relógio do núcleo (avg) [x],P-core 2 T1 Relógio efetivo [MHz],E-core 4 T0 Relógio efetivo [MHz],Date,E-core 4 VID [V],Temperaturas centrais (avg) [°C],GPU 12VHPWR Voltagem [V],E-core 4 C1 Ocupação [%],Memória dinâmica D3D GPU [MB],E-core 6 T0 C0 Ocupação [%],Carga da memória física [%],GPU Core (NVVDD) Saida de Energia [W],P-core 2 T1 Utilização [%],E-core 4 T0 C0 Ocupação [%],P-core 1 Relação [x],Velocidade do link PCIe [GT/s],GPU FBVDD Saida de Energia [W],Uso total da CPU [%],Core VIDs (avg) [V],Ring/LLC Relógio [MHz],CPU GT Cores (gráficos) [°C],P-core 0 T0 C0 Ocupação [%],Taxa de gravações [MB/s],E-core 4 C6 Ocupação [%],GPU Clock [MHz],P-core 3 C6 Ocupação [%],Recovery Count [],Uncore VID [V],E-core 7 Relógio [MHz],Relógio de memória GPU [MHz].1,GPU FBVDD Entrada de energia [W],P-core 1 T1 Utilização [%],E-core 6 Relógio [MHz],Temperatura GPU [°C],Memória dedicada D3D GPU [MB],Limite térmico da GPU [°C],P-core 1 VID [V],P-core 0 T1 Relógio efetivo [MHz],P-core 3 VID [V],E-core 5 VID [V],Memória dinâmica D3D GPU [MB].1,E-core 6 Relação [x],E-core 7 Relação [x],P-core 1 T1 Relógio efetivo [MHz],Utilização total da CPU [%],P-core 3 T0 Relógio efetivo [MHz],P-core 0 VID [V],Relógio efetivo médio [MHz],P-core 2 Relógio [MHz],E-core 6 T0 Uso [%],P-core 1 T0 Uso [%]
60,0.0,44.0,6127,20:7:5.170,10.3,0.0,3.9,5.109,2992.7,16.0,181.2,55,0.001,14.2,53,3.0,0.0,13.0,3466.5,283.8,39.2,34.1,0.0,72.5,47,50,47,22.5,79,0.0,16.322,1465.5,0,0.0,9598,100.0,52,0.0,55.6,11.1,84.5,0.0,4289.5,0.0,48,1.016,0.0,0.9,8.8,53,0.0,0.0,2.214,194.5,3.5,2.9,33.7,100.0,1768,14.0,47,0.0,11609,54.7,7.9,79,30.0,1.9,44.6,0.2,0.0,44.0,40,0.0,0.0,0.8,35.0,11.8,4.8,0.4,35.0,0,0.0,0.0,46,3.4,2.82,12.997,645.7,3092.4,5.2,79,2.5,86.7,1052,4.939,0.0,0.0,45,53,89.3,31.0,96.4,88.5,0.1,0.0,1.026,852.6,42,6.8,0.0,0.0,10.2,4289.5,2.3,0.0,0.0,12.4,60,44,3.8,9.5,37.4,0.115,0.0,47,0.1,3.1,26.5,42.0,17.6,0.0,54,34.376,0.0,43.0,6.7,53,0.0,3.5,0.6,48,146.8,4389.3,3.1,65.4,0.0,1.044,6.0,20.615,39.0,2,0.0,173.1,34.8,150.4,160.2,21.6.2026,1.046,50,0.0,3.6,690,8.2,77.6,0.0,7.2,6.0,43.0,0.0,0.0,17.6,1.042,3890.5,48,21.5,0.418,89.7,350.0,2.3,0,0.991,2593.7,0.0,0.0,0.1,2593.7,0.0,0,0.0,1.021,5.3,1.051,1.046,0,26.0,26.0,1.3,26.5,4272.3,1.085,737.3,3491.5,12.6,24.6
60,0.0,43.0,6133,20:7:6.174,3.6,0.0,0.0,4.176,3092.4,9.9,279.7,53,0.036,4.6,51,0.5,5.511,5.5,2967.7,151.2,39.2,12.3,3.6,16.2,49,48,49,43.5,59,0.0,20.905,452.9,221,0.0,9604,60.6,55,4.1,43.2,0.3,82.6,0.0,4489.0,49.1,45,1.063,0.0,58.4,9.3,51,0.0,0.0,0.744,148.8,0.1,3.2,69.0,60.6,1761,7.7,49,0.0,11603,54.7,7.9,56,31.0,0.0,46.6,0.0,10.812,45.0,40,3.0,0.0,0.0,44.0,0.6,0.0,0.1,0.4,5920,62.0,0.0,51,0.6,3.629,16.675,321.6,1097.3,0.4,56,0.7,90.1,1052,8.149,0.86,9.595,47,51,99.6,11.0,28.6,78.6,0.0,0.0,1.064,1746.6,42,4.9,1950.0,1950.0,0.6,1396.6,0.0,9.1,20.4,5.3,60,44,5.9,0.0,44.9,0.165,19.894,49,0.0,15.4,19.3,42.0,12.7,2130.0,49,20.0,0.0,14.0,0.0,51,7.102,5.2,1.0,45,4.1,4489.0,33.4,64.9,19.894,1.064,10.4,14.315,39.0,0,1.3,98.8,29.8,0.8,8.6,21.6.2026,1.059,52,19.825,0.0,684,19.2,77.6,0.0,0.0,0.5,45.0,16.0,4.098,12.7,1.055,3890.5,46,43.4,0.26,99.4,350.0,0.9,5,0.983,3092.4,1750.2,4.098,0.0,1695.9,42.6,4,87.0,1.048,0.7,1.049,1.059,1,17.0,31.0,0.8,19.3,1064.4,1.036,343.0,4389.3,9.9,27.7
51,0.0,44.0,6129,20:7:7.188,0.4,0.0,0.0,4.506,2992.7,12.1,55.0,46,0.03,1.9,53,0.4,6.178,21.2,3204.7,521.4,39.2,42.8,3.6,0.8,47,52,47,38.0,52,0.212,13.996,1680.8,221,0.0,9610,45.7,52,0.0,21.9,0.1,70.3,0.0,4389.3,49.3,48,1.041,0.1,36.0,1.7,53,0.0,0.0,0.409,30.7,0.1,6.5,53.8,45.7,1766,3.6,47,0.0,11597,54.6,7.9,46,30.0,0.1,49.9,0.1,12.046,45.0,49,3.0,0.0,0.0,41.0,0.1,0.0,1.3,1.3,5920,62.0,1.8,46,1.7,4.009,9.387,455.5,1097.3,0.0,46,0.8,98.1,1052,7.384,0.86,10.597,54,53,99.9,11.0,45.9,94.6,0.0,0.0,0.676,1336.7,41,12.9,1950.0,1950.0,0.0,4489.0,0.0,9.8,44.3,0.0,52,44,9.0,1.1,68.0,0.17,19.921,47,0.7,19.1,18.5,42.0,10.9,2130.0,54,5.625,0.0,45.0,1.1,53,7.428,8.3,1.5,46,0.7,4489.0,56.7,6.8,19.922,0.916,14.7,16.375,39.0,0,0.0,73.1,32.1,1.2,1.2,21.6.2026,0.916,48,19.845,0.0,684,3.5,77.6,0.0,0.1,0.1,44.0,16.0,4.423,10.9,0.952,3890.5,46,38.4,4.873,99.9,350.0,4.5,8,0.981,2992.7,1750.2,4.422,0.1,1097.3,42.8,0,87.0,1.041,1.4,1.039,0.941,1,11.0,30.0,1.3,18.5,1833.7,1.045,538.0,4090.0,3.2,41.7
43,0.0,43.0,6141,20:7:8.185,5.4,0.0,6.0,4.506,1795.6,7.1,125.5,44,0.056,4.6,55,19.5,0.0,7.4,1446.5,181.3,39.2,12.5,0.0,38.8,45,56,45,26.5,46,0.0,16.317,368.4,0,36.2,9581,24.3,45,2.5,55.1,0.1,78.2,0.0,1396.6,0.0,55,0.747,0.1,44.1,5.2,55,0.0,0.0,4.693,80.6,0.3,6.8,29.2,36.2,1754,7.0,45,0.0,11626,54.8,7.9,45,18.0,0.0,47.0,0.0,0.0,14.0,57,0.0,6.9,0.0,23.0,0.5,0.0,0.1,0.6,0,0.0,0.2,42,19.7,4.128,11.702,164.8,1097.3,0.1,45,4.3,88.2,1052,7.637,0.0,0.0,56,55,99.8,11.0,24.4,85.9,0.0,0.0,0.688,738.5,42,6.0,0.0,0.0,7.0,1396.6,32.9,27.8,9.6,6.0,45,44,8.2,0.0,14.6,0.198,0.0,45,0.0,13.5,7.0,42.0,14.8,0.0,58,3.75,11.0,14.0,0.0,55,0.0,7.7,1.4,45,2.0,1396.6,28.9,75.7,0.0,0.689,14.8,8.378,8.0,0,19.5,20.0,14.5,4.5,8.4,21.6.2026,0.748,44,0.0,0.0,687,9.1,77.7,0.0,0.2,0.4,14.0,0.0,0.0,14.8,0.702,798.0,45,27.1,0.226,99.5,350.0,0.0,0,0.646,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.69,0.6,0.672,0.688,0,11.0,11.0,0.6,7.0,467.2,0.691,177.2,2294.4,8.3,11.8
51,0.1,44.0,6140,20:7:9.186,10.8,0.0,0.0,4.506,2493.9,9.8,339.4,55,0.074,20.5,55,1.0,0.0,1.7,2531.3,40.2,39.2,11.5,0.0,54.6,45,53,45,19.0,57,0.0,8.313,392.3,0,0.0,9570,11.9,45,4.0,61.6,3.0,91.7,0.0,4389.3,0.0,55,1.043,0.0,55.8,33.1,55,0.0,0.0,1.161,368.1,0.1,0.1,24.2,34.1,1755,19.1,46,0.0,11637,54.8,7.9,55,25.0,0.1,41.4,0.1,0.0,45.0,49,0.0,3.2,0.1,42.0,1.6,0.0,0.3,1.1,0,0.0,0.0,45,1.3,3.794,3.779,174.7,1097.3,4.6,55,0.0,66.3,1052,5.398,0.0,0.0,45,54,95.1,11.0,13.4,68.7,0.1,0.0,0.985,616.3,43,2.5,0.0,0.0,2.5,1396.6,4.6,27.5,14.2,34.1,55,44,0.2,4.8,14.0,0.18,0.0,45,0.0,11.9,7.8,42.0,11.0,0.0,55,13.75,4.1,14.0,0.1,55,0.0,0.2,0.0,45,52.7,4489.0,19.9,72.6,0.0,1.024,5.2,6.765,38.0,0,0.0,8.8,25.4,1.4,27.3,21.6.2026,0.99,47,0.0,0.0,687,30.6,77.7,0.0,0.1,2.4,44.0,0.0,0.0,11.0,1.014,3790.7,46,19.1,1.068,97.3,350.0,0.0,0,0.963,1097.3,0.0,0.0,0.1,1097.3,0.0,0,0.0,1.041,1.4,1.024,0.985,0,11.0,11.0,1.5,7.8,255.0,1.02,138.9,4189.8,31.9,12.0
54,0.0,44.0,6133,20:7:10.188,3.4,0.0,0.0,4.506,1097.3,12.5,32.5,44,0.002,0.3,52,0.0,0.0,4.3,2743.3,112.2,39.2,23.1,0.0,9.9,48,52,48,50.9,54,0.0,6.859,942.9,0,0.0,9576,70.6,49,5.7,43.8,0.1,97.1,0.0,4489.0,0.0,51,1.04,0.1,20.2,0.5,52,0.0,0.0,0.0,7.3,0.1,0.1,80.4,70.6,1762,1.7,48,0.0,11631,54.8,7.9,53,11.0,0.0,51.1,0.0,0.0,45.0,46,0.0,0.0,0.0,44.0,0.1,0.0,0.2,0.5,0,0.0,3.6,46,0.2,3.77,2.552,514.4,1097.3,0.1,53,0.0,99.4,1052,5.076,0.0,0.0,56,52,99.9,11.0,70.3,97.3,0.0,0.0,0.965,2036.6,42,2.7,0.0,0.0,2.4,4189.8,0.0,4.0,6.6,1.1,54,44,0.2,2.4,39.0,0.148,0.0,48,0.0,7.1,20.4,42.0,13.2,0.0,54,7.5,0.0,42.0,0.9,52,0.0,0.1,0.0,46,1.1,4489.0,29.9,64.3,0.0,0.93,0.0,14.128,39.0,0,0.0,118.8,27.5,3.3,1.7,21.6.2026,0.97,48,0.0,0.0,687,2.5,77.6,0.0,0.1,0.1,45.0,0.0,0.0,13.2,1.001,3890.5,46,50.7,0.203,99.8,350.0,3.1,0,0.983,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,1.047,0.7,1.03,0.97,0,11.0,11.0,0.5,20.4,3033.8,1.053,613.3,4389.3,3.1,23.5
49,0.0,43.0,6325,20:7:11.208,5.9,0.0,0.0,4.506,1097.3,11.1,35.2,57,0.002,2.5,53,13.8,0.0,3.7,1858.0,190.0,39.2,7.9,0.0,3.3,47,49,47,29.6,64,0.0,14.233,241.7,0,0.0,8736,81.8,49,4.9,44.4,0.0,91.5,0.0,1396.6,0.0,51,1.03,0.0,15.9,3.8,53,0.0,0.0,76.342,44.9,0.0,0.0,43.5,81.8,1570,2.1,47,0.0,12471,58.8,7.9,64,11.0,0.0,49.8,0.0,0.0,14.0,51,0.0,0.0,0.0,45.0,2.0,0.0,0.2,0.5,0,0.0,0.0,62,14.0,3.724,10.002,425.0,2892.9,0.0,64,0.0,96.1,1052,7.424,0.0,0.0,43,53,99.9,29.0,79.7,96.8,0.0,0.0,1.028,1103.4,43,5.4,0.0,0.0,3.3,1396.6,0.0,0.0,7.1,3.9,62,44,0.1,0.0,10.0,0.115,0.0,47,0.0,10.5,16.7,42.0,11.6,0.0,38,13.125,0.0,14.0,1.6,53,0.0,0.1,0.0,46,0.6,1396.6,58.5,82.9,0.0,1.029,2.2,13.023,37.0,0,0.0,136.9,18.6,0.5,34.3,21.6.2026,1.033,51,0.0,0.0,687,2.9,80.1,0.0,0.0,3.0,14.0,0.0,0.0,11.6,1.025,3691.0,46,30.0,0.004,96.9,350.0,3.8,0,0.941,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,0.993,0.5,1.035,1.033,0,11.0,11.0,0.5,16.7,3448.0,1.019,502.0,4489.0,3.2,9.4
53,0.0,44.0,6404,20:7:12.199,15.5,0.0,0.0,4.506,1097.3,10.9,53.0,62,0.001,0.6,53,0.1,0.0,25.6,1471.4,567.5,39.2,38.7,0.0,26.5,47,50,47,20.7,62,0.0,13.079,1624.8,0,37.6,8707,50.4,50,2.8,44.1,0.1,84.1,0.0,1396.6,0.0,50,0.827,0.0,25.1,0.5,53,0.0,0.0,0.216,6.6,0.0,0.0,28.6,50.4,1491,2.7,48,0.0,12500,58.9,7.9,63,11.0,0.0,51.4,0.0,0.0,14.0,47,0.0,0.0,0.0,32.0,0.1,0.0,0.0,0.8,0,0.0,0.3,49,0.1,3.564,8.977,424.5,1097.3,0.1,63,0.0,99.4,1052,6.427,0.0,0.0,38,52,99.9,11.0,51.8,95.2,0.0,0.0,0.798,723.9,42,13.7,0.0,0.0,0.0,1396.6,36.4,7.9,2.0,0.0,62,45,0.1,37.6,63.0,0.142,0.0,47,0.0,9.1,16.7,42.0,23.0,0.0,51,21.875,0.0,14.0,0.0,53,0.0,0.1,0.0,48,1.4,1396.6,44.5,57.8,0.0,0.806,1.5,16.898,8.0,0,35.7,79.7,14.8,0.8,2.3,21.6.2026,1.018,50,0.0,0.0,687,4.5,81.1,0.0,0.0,0.2,14.0,0.0,0.0,23.0,0.906,798.0,48,21.6,0.002,99.8,350.0,13.7,0,0.646,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,1.042,0.7,1.027,1.018,0,11.0,11.0,0.5,16.7,2111.2,0.711,503.4,3192.2,3.8,38.5
58,0.0,44.0,6521,20:7:13.206,25.5,0.0,0.0,4.506,1097.3,13.8,170.3,56,0.001,7.1,50,0.5,0.0,39.0,2755.8,1007.6,39.5,36.5,0.0,19.4,50,49,50,30.0,63,0.0,16.9,1518.7,0,0.0,8894,44.9,48,7.6,43.7,0.1,67.7,0.0,4489.0,0.0,52,0.98,0.2,17.4,11.4,50,0.1,0.0,0.708,129.5,0.0,0.0,40.1,44.9,1374,9.4,50,0.0,12313,58.0,7.9,58,11.0,0.0,48.7,0.1,0.0,44.0,42,0.0,0.0,0.0,43.0,2.3,0.0,0.4,0.6,0,0.0,0.4,49,0.9,3.83,12.409,472.9,1097.3,0.1,58,0.0,88.2,1055,7.542,0.0,0.0,44,50,99.8,11.0,44.4,84.3,0.0,0.0,0.846,1031.5,43,24.9,0.0,0.0,4.4,4489.0,0.0,27.9,2.1,13.5,58,45,0.1,0.9,58.8,0.257,0.0,50,4.1,7.5,18.8,42.0,14.3,0.0,51,9.375,0.0,45.0,0.8,50,0.0,0.1,0.0,48,1.4,4389.3,38.6,59.6,0.0,0.849,2.0,18.059,37.0,0,0.0,68.7,27.6,0.6,41.6,21.6.2026,1.026,51,0.0,0.0,687,14.8,82.5,0.0,0.0,3.6,45.0,0.0,0.0,14.3,0.981,3691.0,48,29.8,4.038,96.2,350.0,8.7,0,0.941,1097.3,0.0,0.0,0.0,1097.3,0.0,0,0.0,1.045,0.9,1.035,1.026,0,11.0,11.0,0.7,18.8,1771.5,1.042,537.5,4289.5,15.5,36.0
45,0.1,43.0,6388,20:7:14.216,50.3,0.0,0.0,4.506,1097.3,22.6,429.7,47,0.001,32.6,51,0.3,0.0,77.1,1957.7,1947.3,39.5,44.3,0.0,3.6,49,49,49,45.9,63,0.0,20.984,1350.6,0,0.0,8706,26.9,63,0.4,15.8,1.7,22.1,0.0,1396.6,0.0,37,0.943,0.1,22.1,51.9,51,0.0,0.0,0.63,576.4,0.1,0.0,56.5,53.7,1507,24.5,49,0.0,12500,58.9,7.9,63,11.0,0.1,39.0,0.2,0.0,14.0,55,0.0,0.0,0.1,40.0,5.4,0.0,0.0,3.2,0,0.0,4.9,54,0.3,3.967,16.311,568.4,1097.3,2.5,63,0.0,45.0,1055,8.418,0.0,0.0,53,51,97.3,11.0,27.5,59.0,0.1,0.0,1.037,1376.6,43,50.2,0.0,0.0,9.0,4489.0,0.0,35.2,36.0,53.7,63,45,0.1,3.1,57.4,0.308,0.0,49,4.1,14.6,24.7,42.0,22.8,0.0,46,15.0,0.0,45.0,0.0,51,0.0,0.1,0.0,49,29.1,1396.6,39.3,2.5,0.0,1.045,19.2,21.085,39.0,0,0.0,40.4,19.6,3.7,95.9,21.6.2026,1.03,51,0.0,0.0,687,38.4,80.9,0.0,0.2,8.6,14.0,0.0,0.0,22.8,1.002,3890.5,48,47.0,0.015,90.7,350.0,10.7,0,0.983,1097.3,0.0,0.0,0.2,1097.3,0.0,0,0.0,0.948,3.7,0.933,1.041,0,11.0,11.0,3.7,24.7,1001.2,1.037,581.5,3990.2,39.6,45.0
