P-core 3 [°C],P-core 1 T1 C0 Ocupação [%],PCH Temperatura [°C],Memória física utilizada [MB],Time,P-core 2 T0 Uso [%],GPU Core (NVVDD) Saida de Energia [W].1,E-core 7 C1 Ocupação [%],Potência das linhas GPU (avg) [W],E-core 4 Relógio [MHz],Core C0 Ocupação (avg) [%],E-core 6 T0 Relógio efetivo [MHz],P-core 1 [°C],Potência de núcleo GT [W],E-core 7 T0 Utilização [%],E-core 7 Distância para TjMAX [°C],Atividade de leitura [%],GPU Core (NVVDD) Entrada de energia (sum) [W],P-core 2 T0 Utilização [%],Relógios núcleo (avg) [MHz],P-core 2 T0 Relógio efetivo [MHz],SPD Hub Temperatura [°C],P-core 1 T0 C0 Ocupação [%],Uso de memória GPU [%],P-core 0 C7 Ocupação [%],E-core 5 [°C],Distância do núcleo para TjMAX (avg) [°C],E-core 7 [°C],P-core 0 T0 Uso [%],CPU Inteira [°C],iGPU VID [V],Temperatura do disco [°C],Potência total da CPU [W],P-core 1 T0 Relógio efetivo [MHz],Memória GPU alocada [MB],P-core 1 T1 Uso [%],Memória virtual disponível [MB],P-core 3 T0 Uso [%],P-core 0 [°C],P-core 0 C6 Ocupação [%],Core C7 Ocupação (avg) [%],E-core 5 T0 Utilização [%],P-core 2 C7 Ocupação [%],Carga do núcleo da GPU [%],P-core 1 Relógio [MHz],Temperatura de ponto quente da GPU [°C],P-core 0 Distância para TjMAX [°C],P-core 2 VID [V],Taxa de download atual [KB/s],P-core 3 C1 Ocupação [%],E-core 7 T0 C0 Ocupação [%],E-core 6 Distância para TjMAX [°C],Taxa de upload atual [KB/s],Carga do barramento GPU [%],Taxa de leituras [MB/s],E-core 7 T0 Relógio efetivo [MHz],P-core 2 T1 C0 Ocupação [%],GPU Render/Computing Uso [%],P-core 0 T0 Utilização [%],Uso máximo de CPU / thread [%],Memória física disponível [MB],E-core 6 T0 Utilização [%],E-core 4 [°C],Package C6 Ocupação [%],Memória virtual comprometida [MB],Carga da memória virtual [%],Utilização do arquivo de paginação [%],CPU Inteira [°C].1,E-core 4 Relação [x],P-core 3 T1 Utilização [%],Core C6 Ocupação (avg) [%],P-core 0 T1 Utilização [%],GPU Potência [W],P-core 3 Relação [x],P-core 3 Distância para TjMAX [°C],GPU PCIe +3 3V Entrada de energia (est) [W],Package C3 Ocupação [%],P-core 3 T1 C0 Ocupação [%],P-core 2 Relação [x],E-core 4 T0 Utilização [%],E-core 5 C1 Ocupação [%],Atividade de gravação [%],P-core 3 T1 Relógio efetivo [MHz],Memória GPU disponível [MB],Temperatura de junção da memória GPU [°C],P-core 1 C6 Ocupação [%],P-core 2 [°C],Atividade total [%],Potência do System Agent [W],Potência de núcleos IA [W],Relógios efetivos núcleo (avg) [MHz],E-core 5 Relógio [MHz],E-core 5 T0 C0 Ocupação [%],CPU IA Cores [°C],E-core 6 C1 Ocupação [%],E-core 7 C6 Ocupação [%],Page File Used [MB],Potência total do sistema [W],GPU Core Voltage [V],GPU 12VHPWR Potência [W],P-core 1 Distância para TjMAX [°C],E-core 4 Distância para TjMAX [°C],E-core 5 C6 Ocupação [%],E-core 5 Relação [x],P-core 3 T0 C0 Ocupação [%],E-core 6 C6 Ocupação [%],P-core 0 T1 C0 Ocupação [%],E-core 6 VID [V],P-core 0 T0 Relógio efetivo [MHz],Temperatura do disco 3 [°C],P-core 2 T0 C0 Ocupação [%],Relógio de vídeo GPU [MHz],GPU Crossbar Relógio [MHz],E-core 4 T0 Uso [%],P-core 0 Relógio [MHz],P-core 3 T1 Uso [%],P-core 3 C7 Ocupação [%],P-core 1 C1 Ocupação [%],E-core 7 T0 Uso [%],Núcleo máximo [°C],VR VCC Temperatura (SVID) [°C],Utilização de D3D GPU [%],E-core 5 T0 Uso [%],P-core 1 T0 Utilização [%],Potência do restante do chip [W],GPU FBVDD Tensão de entrada [V],E-core 6 [°C],P-core 2 C6 Ocupação [%],Core C1 Ocupação (avg) [%],Utilização do núcleo (avg) [%],Relógio de memória GPU [MHz],Uso do núcleo (avg) [%],GPU Clock [MHz].1,P-core 2 Distância para TjMAX [°C],VR VCC Corrente (SVID IOUT) [A],Package C2 Ocupação [%],P-core 0 Relação [x],P-core 2 T1 Uso [%],E-core 5 Distância para TjMAX [°C],Fonte PP de entrada GPU Potência (sum) [W],Uso total da GPU [%],Temperatura do disco 2 [°C],Utilizações de D3D GPU (avg) [%],GPU Core Temperatura [°C],E-core 5 T0 Relógio efetivo [MHz],P-core 3 Relógio [MHz],P-core 0 C1 Ocupação [%],P-core 1 C7 Ocupação [%],GPU FBVDD Voltagemm de saída [V],E-core 7 VID [V],P-core 2 C1 Ocupação [%],IGPU Potência [W],Uncore Relação [x],PCI Express Error Counters (avg) [],P-core 0 T1 Uso [%],P-core 3 T0 Utilização [%],Relação do relógio do núcleo (avg) [x],P-core 2 T1 Relógio efetivo [MHz],E-core 4 T0 Relógio efetivo [MHz],Date,E-core 4 VID [V],Temperaturas centrais (avg) [°C],GPU 12VHPWR Voltagem [V],E-core 4 C1 Ocupação [%],Memória dinâmica D3D GPU [MB],E-core 6 T0 C0 Ocupação [%],Carga da memória física [%],GPU Core (NVVDD) Saida de Energia [W],P-core 2 T1 Utilização [%],E-core 4 T0 C0 Ocupação [%],P-core 1 Relação [x],Velocidade do link PCIe [GT/s],GPU FBVDD Saida de Energia [W],Uso total da CPU [%],Core VIDs (avg) [V],Ring/LLC Relógio [MHz],CPU GT Cores (gráficos) [°C],P-core 0 T0 C0 Ocupação [%],Taxa de gravações [MB/s],E-core 4 C6 Ocupação [%],GPU Clock [MHz],P-core 3 C6 Ocupação [%],Recovery Count [],Uncore VID [V],E-core 7 Relógio [MHz],Relógio de memória GPU [MHz].1,GPU FBVDD Entrada de energia [W],P-core 1 T1 Utilização [%],E-core 6 Relógio [MHz],Temperatura GPU [°C],Memória dedicada D3D GPU [MB],Limite térmico da GPU [°C],P-core 1 VID [V],P-core 0 T1 Relógio efetivo [MHz],P-core 3 VID [V],E-core 5 VID [V],Memória dinâmica D3D GPU [MB].1,E-core 6 Relação [x],E-core 7 Relação [x],P-core 1 T1 Relógio efetivo [MHz],Utilização total da CPU [%],P-core 3 T0 Relógio efetivo [MHz],P-core 0 VID [V],Relógio efetivo médio [MHz],P-core 2 Relógio [MHz],E-core 6 T0 Uso [%],P-core 1 T0 Uso [%]
41,15.4,40.0,6251,20:29:37.262,4.2,0.0,0.0,4.483,2094.9,2.3,0.5,44,0.0,1.4,57,0.2,0.0,4.0,2194.6,90.1,37.2,0.6,0.0,98.9,43,57,43,0.0,45,0.0,35,4.746,5.6,0,13.8,9572,0.9,43,0.0,85.8,0.0,86.4,0.0,2892.9,0.0,57,0.812,0.0,3.7,2.4,57,0.0,0.0,0.024,25.3,0.1,0.0,0.4,13.8,1644,0.0,43,11.5,11635,54.8,7.5,45,21.0,0.0,49.4,0.0,0.0,29.0,59,0.0,11.0,0.0,14.0,1.0,0.0,0.0,0.4,0,0.0,0.0,42,0.2,2.721,1.408,34.3,2094.9,0.0,43,0.0,97.3,992,2.154,0.0,0.0,56,57,99.9,21.0,1.8,99.9,0.1,0.822,9.5,39,5.2,0.0,0.0,0.7,3092.4,0.6,93.9,14.9,1.5,44,40,0.0,0.6,0.5,0.11,0.0,43,0.0,3.1,1.6,42.0,1.9,0.0,58,21.875,34.1,31.0,0.0,57,0.0,0.0,35,0.0,45,0.4,2892.9,0.0,63.9,0.0,0.812,6.1,3.834,25.0,1,0.0,2.4,22.0,0.5,18.4,21.6.2026,0.822,43,0.0,0.0,685,0.0,79.1,0.0,0.0,1.7,29.0,0.0,0.0,1.9,0.82,2493.9,45,0.6,0.0,98.2,350.0,0.0,0,0.786,997.6,0.0,0.0,9.0,2094.9,0.0,0,0.0,0.809,0.5,0.817,0.822,0,21.0,10.0,204.3,1.6,55.7,0.842,38.5,1396.6,0.6,0.0
44,25.1,40.0,6278,20:29:38.114,15.8,0.0,5.7,4.483,1795.6,10.4,138.9,46,0.0,16.2,55,6.1,0.0,12.7,1920.3,309.4,37.2,0.5,0.0,79.3,45,55,45,13.0,45,0.215,35,3.569,6.4,0,25.0,9561,15.2,45,0.0,61.4,8.4,68.2,0.0,2294.4,0.0,55,0.749,0.1,9.5,21.5,55,0.1,0.0,3.144,286.4,0.0,2.5,11.5,25.0,1617,8.0,46,7.3,11645,54.9,7.5,50,18.0,2.1,40.1,0.3,0.0,22.0,56,0.0,1.0,2.4,22.0,11.7,3.7,0.2,48.7,0,0.0,0.0,44,6.3,2.44,0.761,185.4,1097.3,9.6,51,5.0,71.5,992,1.87,0.0,0.0,54,54,85.6,11.0,14.7,84.7,0.5,0.75,279.6,40,15.4,0.0,0.0,15.5,2394.1,2.8,73.6,45.5,22.2,46,40,3.5,11.4,0.5,0.098,0.0,45,0.0,12.0,8.6,36.0,12.3,0.0,56,13.75,14.0,24.0,10.2,55,0.0,3.1,35,0.6,44,145.8,2194.6,6.5,24.6,0.0,0.745,13.3,5.273,18.0,1,1.0,12.2,19.2,0.7,202.3,21.6.2026,0.754,45,0.0,6.5,688,9.4,79.5,0.0,0.0,13.6,23.0,0.0,0.0,12.3,0.751,1795.6,45,12.4,0.54,78.7,300.0,0.0,0,0.706,1695.9,0.0,0.0,20.1,1695.9,0.0,0,0.0,0.748,8.0,0.749,0.739,0,17.0,17.0,496.5,8.6,302.0,0.779,179.9,2194.6,11.4,3.8
40,30.6,40.0,6276,20:29:39.114,22.3,0.0,5.6,4.483,897.8,6.2,0.6,42,0.034,1.9,57,0.3,0.0,13.8,1970.2,327.4,37.2,0.5,0.0,84.8,43,58,43,5.1,45,0.0,35,6.005,6.5,0,30.9,9564,12.7,43,0.0,36.9,0.3,4.8,0.0,2493.9,0.0,57,0.759,0.0,30.9,2.6,57,0.0,0.0,0.212,31.1,0.0,4.4,3.6,30.9,1619,0.1,43,0.0,11642,54.8,7.5,44,9.0,0.0,49.0,0.0,0.0,24.0,60,0.0,0.9,0.0,24.0,0.8,0.0,0.0,0.5,0,0.0,0.0,42,0.3,2.928,2.525,91.4,1695.9,0.1,44,0.0,91.3,992,2.582,0.0,0.0,58,57,99.8,17.0,12.5,99.9,0.0,0.761,90.2,39,22.2,0.0,0.0,0.0,2493.9,0.0,52.9,59.6,1.9,43,40,9.7,0.0,0.6,0.168,0.0,43,2.7,21.5,3.9,42.0,7.1,0.0,58,8.75,1.3,25.0,0.0,57,0.0,9.9,35,1.6,44,1.4,2394.1,9.6,5.0,0.0,0.761,66.4,6.424,19.0,1,0.6,7.4,19.8,0.4,13.4,21.6.2026,0.759,42,0.0,0.2,682,0.1,79.4,0.0,0.0,1.2,25.0,0.0,0.0,7.1,0.762,1895.4,44,4.6,0.143,98.3,350.0,0.0,0,0.718,1695.9,0.0,0.0,18.6,1695.9,0.0,0,0.0,0.764,0.6,0.759,0.759,0,17.0,17.0,449.3,3.9,175.2,0.777,106.5,2394.1,0.0,11.8
44,38.3,40.0,6283,20:29:40.110,27.9,0.0,3.4,4.483,1097.3,11.5,2.2,42,0.123,3.9,56,13.1,0.0,27.9,2705.9,2107.8,37.2,0.5,0.0,69.5,44,55,44,5.8,49,0.215,35,5.833,7.3,0,38.2,9559,22.2,43,0.0,30.0,0.7,6.4,0.0,4489.0,0.0,57,1.024,0.0,37.7,6.7,56,0.0,0.0,2.203,95.8,0.0,8.3,5.7,38.2,1612,0.1,45,0.0,11648,54.9,7.5,48,11.0,0.0,46.6,0.0,0.0,41.0,56,0.0,0.2,0.0,44.0,3.5,1.4,0.3,0.5,0,0.0,0.1,53,13.4,3.225,1.942,322.5,1097.3,2.1,48,0.0,89.0,992,2.506,0.0,0.0,58,55,96.2,11.0,19.4,99.8,0.0,1.007,134.5,39,56.1,0.0,0.0,8.0,4289.5,0.2,40.5,53.4,7.2,53,40,11.6,1.1,0.6,0.159,0.0,44,0.0,19.6,8.0,36.0,9.3,0.0,47,7.5,0.5,43.0,0.2,56,0.0,10.6,35,1.9,44,30.9,4090.0,23.3,3.8,0.0,1.001,35.3,7.943,38.0,1,0.2,17.0,27.1,0.7,119.7,21.6.2026,1.002,45,0.0,2.7,682,0.1,79.5,0.0,0.1,8.8,45.0,0.0,0.0,9.3,1.019,3790.7,45,5.7,1.334,87.9,300.0,0.0,0,0.961,1097.3,0.0,0.0,36.2,1097.3,0.0,0,0.0,1.046,0.8,1.029,1.002,0,11.0,11.0,903.0,8.0,466.9,1.043,377.2,4389.3,0.2,0.6
43,40.4,41.0,6283,20:29:41.113,73.4,0.0,0.0,3.333,1097.3,8.8,1.1,42,0.078,6.6,56,1.4,3.949,120.7,1533.7,849.9,37.2,0.2,3.6,67.0,44,56,44,9.7,45,0.0,35,14.358,4.6,221,39.9,9558,14.6,44,0.0,36.6,2.3,0.0,0.0,2194.6,47.1,56,0.667,0.7,20.7,7.4,56,4.3,0.0,0.179,89.0,0.1,8.2,14.9,73.4,1612,0.2,44,0.0,11649,54.9,7.5,46,11.0,0.0,48.3,0.0,10.152,14.0,57,3.0,0.0,0.0,14.0,9.1,0.0,3.2,1.2,5920,60.0,0.3,44,4.6,4.014,9.692,287.7,1097.3,0.2,46,0.0,92.2,992,7.249,0.86,7.139,58,56,99.7,11.0,15.1,99.9,0.0,0.752,368.2,40,25.0,1950.0,1950.0,11.7,2194.6,1.3,60.4,38.1,7.5,44,41,9.9,2.3,0.4,0.194,19.884,44,2.3,18.5,19.8,42.0,13.9,2130.0,56,6.25,0.0,22.0,1.3,56,6.209,9.4,35,1.7,45,2.7,1396.6,21.1,18.8,19.887,0.693,68.3,14.563,16.0,0,1.3,20.6,15.4,1.2,93.5,21.6.2026,0.699,44,19.776,0.0,686,0.1,79.5,0.0,0.0,7.7,22.0,16.0,3.162,13.9,0.716,1596.1,45,9.9,0.5,91.8,350.0,0.0,5,0.753,1097.3,1750.2,3.201,62.3,1795.6,40.7,4,87.0,0.736,0.6,0.669,0.689,1,18.0,11.0,1589.7,19.8,450.2,0.819,336.2,1396.6,1.4,2.9
41,20.0,41.0,6280,20:29:42.134,17.9,0.0,0.0,3.333,1097.3,10.5,9.7,42,0.002,30.0,57,0.7,0.0,22.7,1596.1,568.7,37.2,0.5,0.0,97.6,44,57,43,0.4,45,0.0,36,7.372,5.3,0,20.1,9557,5.8,41,0.0,63.7,5.5,54.1,0.0,1695.9,0.0,59,0.77,4.6,5.8,48.6,56,2.9,0.0,1.005,551.9,0.1,0.1,0.5,48.6,1615,0.6,44,0.0,11650,54.9,7.5,44,11.0,0.1,40.6,0.1,0.0,25.0,59,0.0,0.0,0.1,25.0,13.7,0.0,0.3,1.4,0,0.0,5.5,42,1.0,3.794,3.032,178.5,1097.3,9.2,43,0.0,50.6,992,5.387,0.0,0.0,58,56,90.3,11.0,5.8,98.9,0.1,0.698,10.6,41,17.9,0.0,0.0,21.9,1695.9,0.0,86.2,53.4,48.6,44,41,0.2,11.6,0.5,0.153,0.0,44,1.9,10.4,8.3,36.0,10.6,0.0,58,3.125,2.5,17.0,0.0,56,0.0,0.2,36,0.0,45,103.8,2493.9,1.1,17.0,0.0,0.694,23.3,7.363,11.0,0,0.0,5.4,16.0,1.3,246.7,21.6.2026,0.776,43,0.0,0.0,686,0.8,79.5,0.0,0.1,21.7,17.0,0.0,0.0,10.6,0.725,1097.3,44,0.5,0.504,77.8,300.0,0.0,0,0.648,1097.3,0.0,0.0,20.9,1097.3,0.0,0,0.0,0.696,1.2,0.77,0.698,0,11.0,11.0,516.5,8.3,124.5,0.698,158.0,2493.9,0.7,0.0
55,26.2,41.0,6280,20:29:43.127,63.4,0.0,0.0,3.333,1097.3,12.4,0.6,50,0.001,7.5,55,0.3,0.0,102.5,3179.7,2629.8,37.2,0.3,0.0,97.1,45,53,45,0.0,54,0.0,36,13.175,4.8,0,25.0,9563,43.1,43,0.0,45.0,0.4,9.7,0.0,4489.0,0.0,57,1.02,0.0,9.7,11.7,55,0.0,0.0,0.244,132.0,0.0,0.1,0.3,63.4,1615,0.0,45,0.0,11644,54.9,7.5,54,11.0,0.0,49.3,0.0,0.0,45.0,45,0.0,0.0,0.0,45.0,2.1,0.0,0.1,0.8,0,0.0,0.0,45,0.4,3.708,9.03,465.7,2992.7,0.3,54,0.0,88.0,992,6.931,0.0,0.0,50,55,99.6,30.0,43.4,99.9,0.0,1.048,6.9,40,63.2,0.0,0.0,2.8,3691.0,0.0,42.0,37.8,11.8,55,41,0.2,0.0,0.4,0.122,0.0,45,7.6,8.4,18.6,36.0,12.2,0.0,55,8.125,0.0,37.0,0.0,55,0.0,0.2,36,0.0,45,3.9,4489.0,2.3,31.1,0.0,1.033,17.3,13.128,39.0,0,0.0,70.3,31.9,0.7,37.4,21.6.2026,1.033,47,0.0,0.0,686,0.0,79.5,0.0,0.0,3.3,45.0,0.0,0.0,12.2,1.04,3890.5,45,0.3,0.332,96.6,300.0,3.0,0,0.983,1097.3,0.0,0.0,39.8,3092.4,0.0,0,0.0,1.048,0.6,1.02,1.048,0,31.0,11.0,984.2,18.6,1786.9,1.069,545.6,4489.0,0.0,0.0
55,26.2,41.0,6280,20:29:44.149,63.4,0.0,0.0,3.333,1097.3,12.4,0.6,50,0.001,7.5,55,0.3,0.0,102.5,3179.7,2629.8,37.2,0.3,0.0,97.1,45,53,45,0.0,54,0.0,36,15.413,4.8,0,25.0,9563,43.1,43,0.0,45.0,0.4,9.7,0.0,4489.0,0.0,57,1.02,0.0,9.7,11.7,55,0.0,0.0,0.244,132.0,0.0,0.0,0.3,63.4,1615,0.0,45,0.0,11644,54.9,7.5,68,11.0,0.0,49.3,0.0,0.0,45.0,45,0.0,0.0,0.0,45.0,2.1,0.0,0.1,0.8,0,0.0,0.0,45,0.4,3.41,11.41,465.7,2992.7,0.3,68,0.0,88.0,992,6.742,0.0,0.0,50,55,99.6,30.0,43.4,99.9,0.0,1.048,6.9,40,63.2,0.0,0.0,2.8,3691.0,0.0,42.0,37.8,11.8,55,41,0.1,0.0,0.4,0.116,0.0,45,7.6,8.4,18.6,36.0,12.2,0.0,55,16.875,0.0,37.0,0.0,55,0.0,0.1,36,0.0,45,3.9,4489.0,2.3,31.1,0.0,1.033,17.3,14.992,39.0,0,0.0,70.3,31.9,0.7,37.4,21.6.2026,1.033,47,0.0,0.0,686,0.0,79.5,0.0,0.0,3.3,45.0,0.0,0.0,12.2,1.04,3890.5,45,0.3,0.332,96.6,300.0,3.0,0,0.983,1097.3,0.0,0.0,39.8,3092.4,0.0,0,0.0,1.048,0.6,1.02,1.048,0,31.0,11.0,984.2,18.6,1786.9,1.069,545.6,4489.0,0.0,0.0
75,26.2,42.0,6554,20:29:45.140,84.1,0.0,0.0,3.333,1097.3,16.6,4.2,44,0.001,2.2,50,8.2,0.0,143.5,3005.1,3872.1,37.2,0.1,0.0,97.9,50,46,50,1.9,68,0.0,36,15.413,2.8,0,26.2,8697,37.6,48,0.0,47.0,0.5,0.0,0.0,4489.0,0.0,52,1.052,0.0,7.6,11.1,50,0.0,0.0,39.379,136.8,0.0,0.0,1.7,84.1,1341,0.5,50,0.0,12510,58.9,7.5,75,11.0,0.0,48.6,0.0,0.0,45.0,25,0.0,0.0,0.0,45.0,4.3,0.0,0.2,0.5,0,0.0,7.3,69,8.4,3.41,11.41,670.9,1097.3,0.4,75,0.0,88.0,992,6.742,0.0,0.0,56,50,99.5,11.0,64.3,99.7,0.0,1.045,42.9,41,87.3,0.0,0.0,7.0,4389.3,0.2,25.6,0.0,3.4,75,41,0.1,3.8,0.3,0.116,0.0,50,0.0,2.5,21.4,36.0,15.8,0.0,31,25.0,0.0,44.0,5.9,50,0.0,0.1,36,0.0,46,6.2,4489.0,0.0,64.6,0.0,1.035,12.3,25.869,39.0,0,1.7,63.8,30.1,0.5,90.5,21.6.2026,1.03,54,0.0,0.0,686,0.3,83.0,0.0,0.0,7.4,45.0,0.0,0.0,15.8,1.041,3890.5,46,1.7,0.489,92.3,300.0,2.1,0,0.988,1097.3,0.0,0.0,40.3,2892.9,0.0,0,0.0,1.044,0.4,1.038,1.04,0,29.0,11.0,1041.3,21.4,2852.5,1.048,791.0,4489.0,3.7,14.7
50,29.9,41.0,6832,20:29:46.155,72.1,0.0,0.0,3.333,1097.3,19.4,1.5,47,0.001,3.9,53,0.0,0.0,121.5,2406.6,3143.0,37.2,0.0,0.0,79.6,47,51,47,17.2,55,0.0,36,25.912,0.8,0,29.3,8726,94.8,55,0.5,34.7,0.6,1.1,0.0,4489.0,0.0,45,1.047,0.0,31.5,27.0,53,0.0,0.0,0.0,302.1,0.0,0.0,28.0,94.8,1063,0.0,47,0.0,12481,58.8,7.5,73,11.0,1.4,46.2,0.0,0.0,14.0,50,0.0,0.0,0.0,45.0,2.3,0.0,0.0,0.6,0,0.0,9.3,49,0.0,4.016,21.247,716.9,1097.3,3.1,73,0.0,72.2,992,9.968,0.0,0.0,53,53,96.8,11.0,68.0,99.8,0.0,1.022,716.5,39,72.3,0.0,0.0,4.1,4489.0,0.0,0.0,0.1,6.4,55,42,0.1,0.1,0.0,0.256,0.0,47,7.0,6.4,30.7,36.0,20.8,0.0,51,15.0,0.0,45.0,25.0,53,0.0,0.1,36,0.0,46,40.0,1396.6,0.9,58.2,0.0,1.022,18.4,29.29,8.0,0,0.0,163.9,24.1,0.4,176.9,21.6.2026,1.026,49,0.0,0.0,686,0.1,86.5,0.0,0.0,15.1,45.0,0.0,0.0,20.8,1.031,798.0,46,17.5,0.0,84.3,300.0,0.0,0,0.623,1097.3,0.0,0.0,47.1,1097.3,0.0,0,0.0,1.052,0.6,1.031,1.022,0,11.0,11.0,1213.5,30.7,3007.2,1.027,830.0,4489.0,0.0,0.0
