P-core 3 [°C],P-core 1 T1 C0 Ocupação [%],PCH Temperatura [°C],Memória física utilizada [MB],Time,P-core 2 T0 Uso [%],GPU Core (NVVDD) Saida de Energia [W].1,E-core 7 C1 Ocupação [%],Potência das linhas GPU (avg) [W],E-core 4 Relógio [MHz],Core C0 Ocupação (avg) [%],E-core 6 T0 Relógio efetivo [MHz],P-core 1 [°C],Potência de núcleo GT [W],E-core 7 T0 Utilização [%],E-core 7 Distância para TjMAX [°C],Atividade de leitura [%],GPU Core (NVVDD) Entrada de energia (sum) [W],P-core 2 T0 Utilização [%],Relógios núcleo (avg) [MHz],P-core 2 T0 Relógio efetivo [MHz],SPD Hub Temperatura [°C],P-core 1 T0 C0 Ocupação [%],Uso de memória GPU [%],Leia total [MB],P-core 0 C7 Ocupação [%],E-core 5 [°C],Distância do núcleo para TjMAX (avg) [°C],E-core 7 [°C],P-core 0 T0 Uso [%],CPU Inteira [°C],iGPU VID [V],Gravar total [MB],Temperatura do disco [°C],Potência total da CPU [W],P-core 1 T0 Relógio efetivo [MHz],Memória GPU alocada [MB],P-core 1 T1 Uso [%],Memória virtual disponível [MB],P-core 3 T0 Uso [%],P-core 0 [°C],P-core 0 C6 Ocupação [%],Core C7 Ocupação (avg) [%],E-core 5 T0 Utilização [%],P-core 2 C7 Ocupação [%],P-core 1 Relógio [MHz],Temperatura de ponto quente da GPU [°C],P-core 0 Distância para TjMAX [°C],P-core 2 VID [V],Taxa de download atual [KB/s],P-core 3 C1 Ocupação [%],E-core 7 T0 C0 Ocupação [%],E-core 6 Distância para TjMAX [°C],Taxa de upload atual [KB/s],Taxa de leituras [MB/s],E-core 7 T0 Relógio efetivo [MHz],P-core 2 T1 C0 Ocupação [%],GPU Render/Computing Uso [%],P-core 0 T0 Utilização [%],Uso máximo de CPU / thread [%],Memória física disponível [MB],E-core 6 T0 Utilização [%],E-core 4 [°C],Package C6 Ocupação [%],Memória virtual comprometida [MB],Carga da memória virtual [%],Utilização do arquivo de paginação [%],CPU Inteira [°C].1,E-core 4 Relação [x],P-core 3 T1 Utilização [%],Core C6 Ocupação (avg) [%],P-core 0 T1 Utilização [%],GPU Potência [W],P-core 3 Relação [x],P-core 3 Distância para TjMAX [°C],GPU PCIe +3 3V Entrada de energia (est) [W],Package C3 Ocupação [%],P-core 3 T1 C0 Ocupação [%],P-core 2 Relação [x],E-core 4 T0 Utilização [%],E-core 5 C1 Ocupação [%],Atividade de gravação [%],P-core 3 T1 Relógio efetivo [MHz],Memória GPU disponível [MB],Temperatura de junção da memória GPU [°C],P-core 1 C6 Ocupação [%],P-core 2 [°C],Atividade total [%],Potência do System Agent [W],Potência de núcleos IA [W],Taxa de carga [W],Relógios efetivos núcleo (avg) [MHz],E-core 5 Relógio [MHz],E-core 5 T0 C0 Ocupação [%],CPU IA Cores [°C],E-core 6 C1 Ocupação [%],E-core 7 C6 Ocupação [%],Page File Used [MB],Potência total do sistema [W],GPU Core Voltage [V],GPU 12VHPWR Potência [W],P-core 1 Distância para TjMAX [°C],E-core 4 Distância para TjMAX [°C],E-core 5 C6 Ocupação [%],E-core 5 Relação [x],P-core 3 T0 C0 Ocupação [%],E-core 6 C6 Ocupação [%],P-core 0 T1 C0 Ocupação [%],Utilização de D3D GPU [%].1,E-core 6 VID [V],P-core 0 T0 Relógio efetivo [MHz],Temperatura do disco 3 [°C],P-core 2 T0 C0 Ocupação [%],Relógio de vídeo GPU [MHz],GPU Crossbar Relógio [MHz],E-core 4 T0 Uso [%],P-core 0 Relógio [MHz],P-core 3 T1 Uso [%],P-core 3 C7 Ocupação [%],P-core 1 C1 Ocupação [%],E-core 7 T0 Uso [%],Núcleo máximo [°C],VR VCC Temperatura (SVID) [°C],Utilização de D3D GPU [%],E-core 5 T0 Uso [%],P-core 1 T0 Utilização [%],Total download [MB],Potência do restante do chip [W],GPU FBVDD Tensão de entrada [V],E-core 6 [°C],P-core 2 C6 Ocupação [%],Core C1 Ocupação (avg) [%],Utilização do núcleo (avg) [%],Relógio de memória GPU [MHz],Uso do núcleo (avg) [%],GPU Clock [MHz].1,P-core 2 Distância para TjMAX [°C],VR VCC Corrente (SVID IOUT) [A],Package C2 Ocupação [%],P-core 0 Relação [x],P-core 2 T1 Uso [%],E-core 5 Distância para TjMAX [°C],Fonte PP de entrada GPU Potência (sum) [W],GPU D3D Uso (avg) [%],Uso total da GPU [%],Temperatura do disco 2 [°C],Utilizações de D3D GPU (avg) [%],GPU Core Temperatura [°C],E-core 5 T0 Relógio efetivo [MHz],P-core 3 Relógio [MHz],P-core 0 C1 Ocupação [%],P-core 1 C7 Ocupação [%],GPU FBVDD Voltagemm de saída [V],E-core 7 VID [V],P-core 2 C1 Ocupação [%],IGPU Potência [W],Voltagem da bateria [V],Uncore Relação [x],PCI Express Error Counters (avg) [],P-core 0 T1 Uso [%],P-core 3 T0 Utilização [%],Relação do relógio do núcleo (avg) [x],P-core 2 T1 Relógio efetivo [MHz],E-core 4 T0 Relógio efetivo [MHz],Date,E-core 4 VID [V],Temperaturas centrais (avg) [°C],GPU 12VHPWR Voltagem [V],Total upload [MB],E-core 4 C1 Ocupação [%],Memória dinâmica D3D GPU [MB],E-core 6 T0 C0 Ocupação [%],Carga da memória física [%],GPU Core (NVVDD) Saida de Energia [W],P-core 2 T1 Utilização [%],E-core 4 T0 C0 Ocupação [%],P-core 1 Relação [x],Velocidade do link PCIe [GT/s],GPU FBVDD Saida de Energia [W],Package C8 Ocupação [%],Uso total da CPU [%],Core VIDs (avg) [V],Ring/LLC Relógio [MHz],CPU GT Cores (gráficos) [°C],P-core 0 T0 C0 Ocupação [%],Taxa de gravações [MB/s],E-core 4 C6 Ocupação [%],GPU Clock [MHz],P-core 3 C6 Ocupação [%],Recovery Count [],Uncore VID [V],E-core 7 Relógio [MHz],Relógio de memória GPU [MHz].1,GPU FBVDD Entrada de energia [W],P-core 1 T1 Utilização [%],E-core 6 Relógio [MHz],Temperatura GPU [°C],Memória dedicada D3D GPU [MB],Limite térmico da GPU [°C],P-core 1 VID [V],P-core 0 T1 Relógio efetivo [MHz],P-core 3 VID [V],E-core 5 VID [V],Memória dinâmica D3D GPU [MB].1,E-core 6 Relação [x],E-core 7 Relação [x],P-core 1 T1 Relógio efetivo [MHz],Utilização total da CPU [%],P-core 3 T0 Relógio efetivo [MHz],P-core 0 VID [V],Relógio efetivo médio [MHz],P-core 2 Relógio [MHz],E-core 6 T0 Uso [%],P-core 1 T0 Uso [%]
46,0.1,41.0,6432,21:16:50.611,27.0,0.0,4.4,4.896,1097.3,14.7,189.0,48,0.007,7.2,56,63.5,0.0,27.0,2182.2,674.4,43.2,47.8,0.0,9876,0.0,44,55,44,0.9,48,0.22,1952,45,6.713,1148.9,0,2.1,12294,18.3,46,0.0,19.0,18.4,22.2,1396.6,0.0,54,1.08,0.4,23.3,7.5,56,0.0,127.313,127.2,0.1,7.2,0.6,48.2,1462,10.9,44,0.0,8401,40.5,2.4,53,11.0,0.0,41.7,41.7,0.0,41.0,54,0.0,0.0,0.0,14.0,2.9,7.8,0.0,0.6,0,0.0,0.0,47,63.6,3.754,2.414,40.923,341.4,1097.3,22.3,53,6.2,87.5,306,3.41,0.0,0.0,52,56,67.7,11.0,17.9,79.7,37.7,10.0,1.088,7.6,53,26.6,0.0,0.0,5.7,4289.5,0.0,53.8,49.0,6.4,48,46,0.0,22.8,46.0,57,0.155,0.0,44,0.0,24.8,14.7,0.0,15.2,350.0,53,18.75,0.0,43.0,0.7,56,0.0,0.0,9.9,45,1.7,45,322.5,4090.0,59.1,0.2,0.0,0.689,48.6,10.417,16.827,38.0,1,38.1,21.0,21.9,4.1,52.3,21.6.2026,1.1,45,0.0,2,0.0,0,12.7,81.4,0.0,0.2,3.7,14.0,0.0,0.0,0.0,15.2,1.025,3790.7,45,0.4,0.158,96.1,0.0,2.9,0,0.961,1097.3,42.0,0.0,0.1,2992.7,0.0,0,0.0,1.04,1042.8,1.095,1.093,542,30.0,11.0,1.9,14.7,525.8,1.013,378.1,1396.6,11.9,48.2
42,0.3,42.0,6448,21:16:51.627,20.6,0.0,1.3,4.896,1995.1,17.2,415.1,44,0.115,15.6,57,62.6,0.0,16.6,2107.3,406.1,43.2,35.6,0.0,9952,0.0,43,57,43,0.0,45,0.0,1952,45,11.824,768.1,0,0.0,12280,9.5,45,0.0,13.6,28.5,12.3,2294.4,0.0,55,0.753,0.2,43.2,22.0,57,0.3,78.613,278.5,0.2,3.0,0.6,41.4,1447,23.2,43,0.0,8415,40.6,2.4,45,20.0,0.2,34.5,22.6,0.0,23.0,58,0.0,0.0,0.1,23.0,7.9,4.5,0.4,4.7,0,0.0,0.0,44,63.0,3.912,7.181,40.947,281.0,1895.4,41.5,44,0.1,75.3,306,4.66,0.0,0.0,56,57,51.4,19.0,12.8,64.1,27.0,6.7,0.769,9.0,54,21.0,0.0,0.0,0.0,2294.4,0.0,42.0,61.6,24.4,45,46,0.0,41.4,30.8,57,0.221,0.0,43,0.0,30.8,13.1,0.0,16.2,350.0,56,15.625,0.0,23.0,0.0,57,0.0,0.0,6.9,45,1.1,45,512.8,2294.4,69.3,0.0,0.0,0.774,63.6,10.924,16.83,17.0,1,26.5,10.9,21.1,4.5,139.7,21.6.2026,0.789,43,0.0,2,3.0,0,33.9,81.6,0.0,0.2,11.1,23.0,0.0,0.0,0.0,16.2,0.764,1695.9,45,0.5,0.417,85.1,0.0,0.0,0,0.698,1895.4,42.0,0.0,0.4,1895.4,0.0,0,0.0,0.753,557.4,0.755,0.769,542,19.0,19.0,8.4,13.1,268.2,0.752,267.9,2294.4,36.2,35.3
55,0.1,42.0,6478,21:16:52.636,23.7,0.0,0.0,4.896,1596.1,17.2,297.3,44,0.062,8.1,54,67.3,0.0,33.7,2581.2,997.6,43.2,40.4,0.0,10039,11.8,46,52,46,14.8,52,0.0,1952,45,9.591,1124.5,0,0.0,12254,45.9,48,0.0,10.3,14.1,5.4,1396.6,0.0,52,1.067,0.2,31.8,10.5,54,0.0,80.484,136.1,0.0,11.3,30.8,45.9,1417,17.2,46,0.0,8441,40.7,2.4,55,16.0,0.1,41.5,16.0,0.0,44.0,45,0.0,0.0,0.1,43.0,1.0,12.4,0.1,1.3,0,0.0,0.6,52,67.4,3.983,4.945,40.933,437.6,3092.4,16.9,55,2.3,88.5,306,4.041,0.0,0.0,56,54,69.2,31.0,44.7,72.2,15.2,18.1,1.057,463.9,54,32.3,0.0,0.0,22.2,1695.9,9.1,17.3,49.1,11.1,55,47,0.0,17.1,45.0,57,0.213,0.0,46,0.0,25.5,19.0,0.0,17.6,300.0,48,13.75,0.0,17.0,1.4,54,0.0,0.0,17.8,45,3.0,45,233.0,4389.3,48.6,6.5,0.0,1.072,59.5,14.333,16.831,38.0,1,5.8,61.7,25.9,1.2,16.5,21.6.2026,1.057,48,0.0,2,0.0,0,23.6,82.0,0.0,0.1,1.1,14.0,0.0,0.0,0.0,17.6,1.052,3790.7,45,22.1,0.314,98.7,0.0,3.1,0,0.961,1097.3,36.0,0.0,0.1,3092.4,0.0,0,0.0,0.991,402.9,1.067,1.057,544,31.0,11.0,1.9,19.0,1575.0,1.05,481.8,4289.5,24.7,34.9
58,0.0,42.0,6521,21:16:53.642,40.4,0.0,0.0,4.252,3092.4,19.7,541.6,55,0.106,11.4,48,30.2,5.047,47.7,3740.9,1007.8,43.2,54.9,3.6,10120,40.8,52,48,52,22.6,58,0.0,1952,45,15.44,1922.2,221,12.6,12227,67.5,49,0.0,10.4,1.4,0.7,4389.3,48.0,51,1.04,0.0,29.9,15.9,48,0.0,97.605,220.8,0.1,2.3,20.7,67.5,1374,28.6,52,0.0,8467,40.9,2.4,55,31.0,0.1,40.8,0.1,10.702,44.0,42,3.0,0.0,0.0,44.0,6.9,0.0,0.0,1.2,5920,60.0,0.1,50,30.2,4.537,10.154,40.933,626.2,3092.4,1.5,55,1.9,82.8,306,7.428,0.86,9.519,45,48,98.3,31.0,68.3,55.5,0.0,5.4,1.052,846.5,54,31.0,1950.0,1950.0,11.7,4389.3,2.4,0.0,42.8,15.5,58,47,0.0,3.6,75.6,57,0.255,19.652,52,0.2,22.9,24.9,1750.2,24.0,300.0,50,25.0,0.0,44.0,2.5,48,7.489,0.0,5.2,45,0.9,45,29.0,4389.3,42.8,0.0,19.652,1.062,65.5,17.375,16.831,38.0,0,11.3,106.9,37.5,2.0,133.7,21.6.2026,1.049,52,19.586,2,0.0,1,39.8,82.5,0.0,0.1,10.2,44.0,16.0,4.481,0.0,24.0,1.048,3790.7,45,14.2,0.0,89.3,2130.0,0.0,5,0.961,3092.4,36.0,4.481,0.1,3092.4,41.6,0,87.0,1.04,1.0,1.039,1.062,545,31.0,31.0,1.0,24.9,2807.2,1.034,675.2,4389.3,38.3,59.5
43,0.0,42.0,6469,21:16:54.645,30.4,0.0,6.0,4.252,1795.6,15.4,427.3,44,0.019,15.9,55,39.7,0.0,35.4,2157.2,886.1,43.2,42.3,0.0,10209,45.7,45,56,45,12.0,45,0.0,1954,45,17.556,981.6,0,0.0,12274,30.5,44,0.0,12.3,6.3,1.7,2593.7,0.0,56,0.788,0.3,65.1,20.4,55,0.2,92.466,282.3,0.1,9.2,15.3,42.0,1426,24.4,45,0.0,8420,40.6,2.4,45,18.0,0.0,37.5,0.0,0.0,26.0,57,0.0,0.0,0.0,26.0,7.5,4.7,0.3,0.6,0,0.0,0.0,44,39.9,4.613,12.299,40.95,332.5,1795.6,6.5,44,10.6,72.2,306,8.732,0.0,0.0,56,55,88.2,18.0,30.6,53.4,0.0,13.9,0.799,377.1,54,30.8,0.0,0.0,4.9,1995.1,0.0,1.6,54.0,20.1,45,47,0.0,3.3,39.6,57,0.205,0.0,45,0.9,31.2,14.7,0.0,14.7,300.0,56,3.75,0.0,20.0,0.0,55,0.0,0.0,13.1,45,2.3,45,104.7,2593.7,39.8,0.4,0.0,0.748,63.9,13.987,16.831,14.0,0,0.0,32.1,21.6,2.2,128.4,21.6.2026,0.814,44,0.0,2,5.8,0,33.5,81.9,0.0,0.1,8.1,26.0,0.0,0.0,0.0,14.7,0.791,1396.6,45,12.3,1.333,85.3,0.0,0.0,0,0.673,1795.6,36.0,0.0,0.0,2094.9,0.0,0,0.0,0.788,0.7,0.794,0.809,545,21.0,18.0,0.7,14.7,798.1,0.791,328.0,2593.7,33.4,42.0
46,0.0,42.0,6491,21:16:55.652,43.1,0.0,4.8,4.466,1097.3,20.0,643.0,47,0.081,24.3,53,34.7,5.987,61.4,1384.1,1564.0,43.2,36.9,3.6,10316,21.1,47,53,47,27.5,48,0.212,1954,45,12.666,1163.7,221,0.0,12265,31.0,48,0.1,5.6,1.0,0.1,2194.6,48.3,52,0.69,0.0,65.1,35.9,53,0.0,111.288,433.5,0.0,10.6,40.4,53.4,1404,36.0,48,0.0,8429,40.7,2.4,48,11.0,0.0,35.4,0.1,10.705,11.0,54,3.0,0.0,0.0,11.0,6.9,0.0,0.2,1.0,5920,60.0,0.1,46,34.9,4.631,7.37,40.94,496.5,1097.3,1.4,48,5.7,56.8,306,7.234,0.86,10.43,53,52,98.3,11.0,31.2,38.3,0.0,16.3,0.687,997.3,55,43.4,1950.0,1950.0,12.7,2294.4,0.0,1.0,59.8,36.1,48,47,0.0,4.3,47.0,57,0.225,19.628,47,0.8,29.6,21.5,1750.2,21.1,300.0,54,5.625,0.0,23.0,2.9,53,7.457,0.0,17.9,45,2.7,46,16.6,1097.3,48.2,0.1,19.629,0.722,53.4,15.859,16.834,17.0,0,5.8,40.7,13.9,1.1,122.4,21.6.2026,0.691,47,19.569,2,0.0,1,52.9,82.2,0.0,0.1,10.1,22.0,16.0,4.416,0.0,21.1,0.707,1695.9,46,27.5,0.399,89.0,2130.0,0.0,8,0.696,1097.3,36.0,4.436,0.1,1097.3,41.8,4,87.0,0.735,1.3,0.686,0.688,545,11.0,11.0,1.0,21.5,1012.7,0.757,488.1,1097.3,53.4,36.9
49,0.0,42.0,6481,21:16:56.668,14.5,0.0,6.7,4.236,1097.3,25.6,1044.1,48,0.307,44.2,51,35.0,5.015,19.2,2032.5,503.7,43.2,36.3,3.6,10383,0.0,49,51,49,41.3,48,0.0,1955,45,16.828,1288.2,221,0.0,12271,33.9,46,0.6,1.3,7.3,3.0,1695.9,48.4,54,1.063,0.0,61.9,63.9,51,0.2,68.436,792.2,0.1,8.8,62.4,87.5,1414,58.2,49,0.0,8424,40.7,2.4,46,11.0,0.0,23.6,0.0,10.765,43.0,51,3.0,0.0,0.0,45.0,17.5,3.9,0.1,0.9,5920,60.0,0.1,56,35.1,4.635,11.264,40.96,574.0,1097.3,8.5,46,5.1,25.8,306,8.09,0.86,9.477,52,51,86.9,11.0,33.3,5.3,0.0,13.1,1.023,1567.4,55,15.1,1950.0,1950.0,24.5,1396.6,6.5,1.7,60.0,64.3,56,47,0.0,9.2,51.6,57,0.226,19.642,49,0.0,34.8,25.9,1750.2,26.7,300.0,44,5.625,0.0,14.0,2.2,51,7.477,0.0,13.2,45,2.2,45,127.5,4289.5,55.7,0.4,19.64,1.047,79.5,16.921,16.835,11.0,0,0.0,49.9,20.4,2.4,304.3,21.6.2026,1.024,49,19.581,2,5.5,1,85.9,82.0,0.0,0.1,23.2,17.0,16.0,4.458,0.0,26.7,0.949,1097.3,45,40.9,1.007,69.6,2130.0,0.9,11,0.646,1097.3,36.0,4.459,0.0,1097.3,42.0,1,87.0,0.691,0.6,1.029,1.028,545,11.0,11.0,0.8,25.9,1256.3,0.684,505.2,4489.0,87.5,37.0
46,0.0,42.0,6529,21:16:57.672,43.1,0.0,7.8,4.236,1097.3,21.6,767.3,44,0.12,32.6,52,100.0,0.0,62.3,3042.6,1879.1,43.2,22.8,0.0,10464,10.8,48,50,48,16.3,70,0.0,1955,45,16.768,613.8,0,23.8,12261,16.9,50,0.0,17.3,4.0,5.8,4489.0,0.0,50,1.035,0.3,47.0,48.4,52,0.0,76.494,571.1,0.0,9.1,18.0,66.6,1366,43.0,48,0.0,8434,40.7,2.4,67,11.0,0.0,26.8,0.0,0.0,42.0,54,0.0,0.0,0.0,45.0,20.6,0.0,0.0,0.5,0,0.0,0.1,67,100.0,4.766,11.257,40.96,428.1,1097.3,7.8,67,11.0,41.0,306,8.536,0.0,0.0,56,52,91.9,11.0,15.5,19.0,0.0,11.9,1.096,436.2,55,48.7,0.0,0.0,32.9,4189.8,0.0,34.0,54.8,49.4,67,47,0.0,6.5,24.9,57,0.228,0.0,48,0.9,29.5,18.6,0.0,24.3,300.0,33,16.875,0.0,42.0,0.0,52,0.0,0.0,11.4,45,2.0,45,87.6,4189.8,70.1,18.7,0.0,1.051,42.5,12.616,16.835,39.0,0,14.7,17.8,30.5,0.6,380.7,21.6.2026,1.061,50,0.0,2,3.0,0,66.0,82.6,0.0,0.0,33.5,45.0,0.0,0.0,0.0,24.3,1.054,3890.5,45,16.3,0.117,61.9,0.0,0.0,0,0.988,3092.4,36.0,0.0,0.0,1695.9,0.0,0,0.0,1.048,0.8,1.001,1.061,546,17.0,31.0,0.7,18.6,398.6,1.079,379.9,4489.0,66.6,21.7
44,0.0,42.0,6538,21:16:58.674,23.5,0.0,6.3,4.236,1097.3,23.3,928.0,43,0.084,41.2,54,100.0,0.0,33.4,1321.8,349.7,43.2,12.3,0.0,10539,66.9,45,55,46,4.9,47,0.0,1956,45,13.221,302.9,0,0.0,12219,5.5,42,0.0,41.3,23.4,0.0,1596.1,0.0,58,0.689,0.0,29.6,66.3,54,0.0,87.149,771.8,0.1,0.3,6.5,79.3,1357,50.5,47,0.0,8476,40.9,2.4,45,11.0,0.0,17.6,0.0,0.0,16.0,56,0.0,0.0,0.0,16.0,35.5,0.0,1.7,0.6,0,0.0,1.4,45,100.0,4.633,7.889,40.957,316.9,1097.3,40.1,45,1.5,24.6,306,7.54,0.0,0.0,57,53,58.4,11.0,6.4,16.2,0.0,0.5,0.684,152.2,55,13.6,0.0,0.0,54.5,1396.6,1.1,59.5,43.8,64.4,47,48,0.0,36.6,12.5,57,0.215,0.0,46,0.0,23.8,17.5,0.0,24.0,350.0,55,3.125,0.0,14.0,5.5,55,0.0,0.0,0.4,45,0.1,45,466.6,1596.1,23.9,38.8,0.0,0.688,84.1,12.087,16.834,39.0,0,0.0,6.8,13.2,2.0,667.2,21.6.2026,0.686,45,0.0,2,0.9,0,79.5,82.8,0.0,0.1,56.0,16.0,0.0,0.0,0.0,24.0,0.688,3890.5,45,5.5,0.878,40.6,0.0,0.0,0,0.978,1097.3,42.0,0.0,0.0,1097.3,0.0,0,0.0,0.684,0.6,0.694,0.689,549,11.0,11.0,0.6,17.5,160.3,0.691,210.3,1596.1,79.3,13.2
44,0.1,44.0,6532,21:16:59.681,7.8,0.0,0.2,4.236,1097.3,29.0,1014.4,48,0.003,47.7,52,46.8,0.0,8.9,2793.2,210.6,43.2,8.1,0.0,10622,45.2,48,52,48,35.2,53,0.0,1956,46,10.763,190.3,0,25.4,12208,17.2,53,0.0,48.6,32.9,33.5,4489.0,0.0,47,1.045,0.2,11.7,75.0,52,0.2,80.743,863.9,0.3,0.0,58.2,89.3,1363,56.2,48,0.0,8487,41.0,2.4,55,11.0,0.1,14.4,0.1,0.0,45.0,56,0.0,0.0,0.1,45.0,40.5,0.0,0.1,1.7,0,0.0,0.0,48,46.9,4.224,5.99,40.964,479.6,1097.3,50.5,55,1.8,22.1,306,6.322,0.0,0.0,52,52,47.7,11.0,17.7,7.7,0.1,0.1,1.02,1499.3,55,8.8,0.0,0.0,65.2,4489.0,14.4,62.3,33.5,75.8,53,48,0.0,52.2,7.6,57,0.165,0.0,48,0.0,14.3,23.2,0.0,32.6,300.0,52,8.75,0.0,45.0,0.0,52,0.0,0.0,0.1,46,0.0,45,584.2,4489.0,16.4,53.3,0.0,1.048,50.7,11.229,16.837,39.0,0,1.2,25.8,28.0,7.7,726.9,21.6.2026,1.03,48,0.0,2,0.0,0,87.9,82.7,0.0,0.3,63.7,45.0,0.0,0.0,0.0,32.6,1.041,3890.5,48,35.5,0.31,34.0,0.0,3.9,0,0.981,1097.3,36.0,0.0,0.1,1097.3,0.0,0,0.0,1.072,1.1,1.045,1.02,549,11.0,11.0,1.0,23.2,654.3,1.044,387.7,4489.0,89.3,7.3
