rodada,clock_nucleo_mhz_media,clock_nucleo_mhz_max,clock_efetivo_nucleo_mhz_media,clock_efetivo_nucleo_mhz_max,clock_gpu_mhz_media,clock_gpu_mhz_max,uso_cpu_pct_media,uso_cpu_pct_max,carga_nucleo_gpu_pct_media,carga_nucleo_gpu_pct_max,carga_memoria_fisica_pct_media,carga_memoria_fisica_pct_max,uso_memoria_gpu_pct_media,uso_memoria_gpu_pct_max,temp_cpu_c_media,temp_cpu_c_max,temp_nucleo_max_c_media,temp_nucleo_max_c_max,temp_gpu_c_media,temp_gpu_c_max,throttling_termico_nucleo_pct_tempo,limite_termico_gpu_c_media,limite_termico_gpu_c_max,potencia_cpu_w_media,potencia_cpu_w_max,potencia_linhas_gpu_w_media,potencia_linhas_gpu_w_max,limite_pl1_atingido_pct_tempo,limite_desempenho_termico_pct_tempo,clock_memoria_mhz_media,clock_memoria_mhz_max,taxa_leitura_mb_s_media,taxa_leitura_mb_s_max,taxa_gravacao_mb_s_media,taxa_gravacao_mb_s_max,arquivo_origem
1,,,,,302.941,350.0,12.894,20.8,5.388,20.2,,,,,,,,,,,,,,,,,,0.0,,,,0.155,0.849,,,maqA_rodada_01.CSV
2,,,,,333.32,350.0,14.003,24.8,1.48,12.1,,,,,,,,,,,,,,,,,,0.0,,,,7.495,89.26,,,maqA_rodada_02.CSV
3,,,,,329.806,400.0,19.082,98.8,0.987,13.5,,,,,,,,,,,,,,,,,,0.0,,,,8.557,320.91,,,maqA_rodada_03.CSV
4,,,,,330.165,400.0,18.083,99.6,0.977,12.6,,,,,,,,,,,,,,,,,,0.0,,,,5.672,447.937,,,maqA_rodada_04.CSV
5,,,,,318.842,400.0,18.919,100.0,1.032,16.6,,,,,,,,,,,,,,,,,,0.0,,,,3.168,422.015,,,maqA_rodada_05.CSV
6,,,,,324.162,400.0,16.999,100.0,1.028,16.8,,,,,,,,,,,,,,,,,,0.0,,,,4.884,468.013,,,maqA_rodada_06.CSV
7,,,,,330.063,400.0,17.565,100.0,0.989,14.5,,,,,,,,,,,,,,,,,,0.0,,,,3.363,285.089,,,maqA_rodada_07.CSV
8,,,,,325.656,400.0,18.246,99.0,1.009,14.0,,,,,,,,,,,,,,,,,,0.0,,,,4.76,431.208,,,maqA_rodada_08.CSV
9,,,,,330.03,400.0,19.627,99.9,0.992,17.5,,,,,,,,,,,,,,,,,,0.0,,,,5.999,434.719,,,maqA_rodada_09.CSV
10,,,,,329.098,400.0,18.722,98.0,0.974,12.1,,,,,,,,,,,,,,,,,,0.0,,,,3.704,507.553,,,maqA_rodada_10.CSV
11,,,,,318.562,400.0,17.991,100.0,1.07,21.7,,,,,,,,,,,,,,,,,,0.0,,,,3.785,455.036,,,maqA_rodada_11.CSV
12,,,,,322.766,400.0,18.293,97.6,1.065,13.9,,,,,,,,,,,,,,,,,,0.0,,,,3.896,435.217,,,maqA_rodada_12.CSV
13,,,,,318.566,400.0,18.857,100.0,1.093,21.2,,,,,,,,,,,,,,,,,,0.0,,,,3.61,321.076,,,maqA_rodada_13.CSV
14,,,,,327.235,1300.0,17.744,98.1,0.9,11.5,,,,,,,,,,,,,,,,,,0.0,,,,4.361,411.81,,,maqA_rodada_14.CSV
15,,,,,336.483,850.0,22.072,100.0,1.008,11.5,,,,,,,,,,,,,,,,,,0.0,,,,9.255,443.33,,,maqA_rodada_15.CSV
16,,,,,318.153,400.0,18.428,98.7,0.817,8.3,,,,,,,,,,,,,,,,,,0.0,,,,4.569,468.011,,,maqA_rodada_16.CSV
17,,,,,319.364,350.0,18.132,100.0,0.843,10.6,,,,,,,,,,,,,,,,,,0.0,,,,3.828,425.724,,,maqA_rodada_17.CSV
18,,,,,34.691,2130.0,22.741,100.0,1.034,17.9,,,,,,,,,,,,,,,,,,0.0,,,,14.829,403.982,,,maqA_rodada_18.CSV
19,,,,,42.039,2130.0,20.658,100.0,1.059,19.7,,,,,,,,,,,,,,,,,,0.0,,,,3.614,220.42,,,maqA_rodada_19.CSV
20,,,,,315.375,350.0,18.54,99.0,0.899,15.7,,,,,,,,,,,,,,,,,,0.0,,,,2.304,306.293,,,maqA_rodada_20.CSV
