rodada,clock_nucleo_mhz_media,clock_nucleo_mhz_max,clock_efetivo_nucleo_mhz_media,clock_efetivo_nucleo_mhz_max,clock_gpu_mhz_media,clock_gpu_mhz_max,uso_cpu_pct_media,uso_cpu_pct_max,carga_nucleo_gpu_pct_media,carga_nucleo_gpu_pct_max,carga_memoria_fisica_pct_media,carga_memoria_fisica_pct_max,uso_memoria_gpu_pct_media,uso_memoria_gpu_pct_max,temp_cpu_c_media,temp_cpu_c_max,temp_nucleo_max_c_media,temp_nucleo_max_c_max,temp_gpu_c_media,temp_gpu_c_max,throttling_termico_nucleo_pct_tempo,limite_termico_gpu_c_media,limite_termico_gpu_c_max,potencia_cpu_w_media,potencia_cpu_w_max,potencia_linhas_gpu_w_media,potencia_linhas_gpu_w_max,limite_pl1_atingido_pct_tempo,limite_desempenho_termico_pct_tempo,clock_memoria_mhz_media,clock_memoria_mhz_max,taxa_leitura_mb_s_media,taxa_leitura_mb_s_max,taxa_gravacao_mb_s_media,taxa_gravacao_mb_s_max,arquivo_origem
1,,,,,300.0,300.0,22.879,100.0,1.082,11.2,,,,,,,,,,,,,,,,,,2.93,,,,3.467,42.951,,,maqB_rodada_01.csv
2,,,,,300.0,300.0,17.712,100.0,1.091,11.3,,,,,,,,,,,,,,,,,,2.33,,,,0.083,10.268,,,maqB_rodada_02.csv
3,,,,,300.0,300.0,19.371,93.0,1.164,11.1,,,,,,,,,,,,,,,,,,0.0,,,,2.051,48.55,,,maqB_rodada_03.csv
4,,,,,300.0,300.0,17.551,93.4,1.121,10.6,,,,,,,,,,,,,,,,,,2.38,,,,0.013,0.458,,,maqB_rodada_04.csv
5,,,,,300.0,300.0,17.752,93.8,1.193,10.8,,,,,,,,,,,,,,,,,,1.76,,,,0.031,1.148,,,maqB_rodada_05.csv
6,,,,,300.0,300.0,19.628,100.0,1.111,9.6,,,,,,,,,,,,,,,,,,3.53,,,,1.647,36.514,,,maqB_rodada_06.csv
7,,,,,300.0,300.0,19.109,100.0,1.178,10.9,,,,,,,,,,,,,,,,,,5.75,,,,0.008,0.372,,,maqB_rodada_07.csv
8,,,,,300.0,300.0,19.471,100.0,1.161,10.2,,,,,,,,,,,,,,,,,,5.59,,,,0.051,2.889,,,maqB_rodada_08.csv
9,,,,,300.0,300.0,16.914,94.6,1.124,8.7,,,,,,,,,,,,,,,,,,1.06,,,,0.016,0.672,,,maqB_rodada_09.csv
10,,,,,300.0,300.0,17.515,97.7,1.168,8.0,,,,,,,,,,,,,,,,,,0.0,,,,0.006,0.246,,,maqB_rodada_10.csv
11,,,,,300.0,300.0,20.579,97.2,1.118,9.9,,,,,,,,,,,,,,,,,,2.94,,,,2.298,55.711,,,maqB_rodada_11.csv
12,,,,,300.0,300.0,19.709,100.0,1.196,9.8,,,,,,,,,,,,,,,,,,2.34,,,,0.743,42.885,,,maqB_rodada_12.csv
13,,,,,300.0,300.0,17.344,100.0,1.096,11.5,,,,,,,,,,,,,,,,,,2.35,,,,0.319,27.843,,,maqB_rodada_13.csv
14,,,,,300.0,300.0,18.278,100.0,1.194,8.4,,,,,,,,,,,,,,,,,,2.96,,,,0.245,10.543,,,maqB_rodada_14.csv
15,,,,,300.0,300.0,19.415,99.3,1.129,9.7,,,,,,,,,,,,,,,,,,0.0,,,,1.624,39.376,,,maqB_rodada_15.csv
16,,,,,300.0,300.0,17.334,94.0,1.172,13.1,,,,,,,,,,,,,,,,,,2.4,,,,0.076,10.216,,,maqB_rodada_16.csv
17,,,,,300.0,300.0,17.982,100.0,1.137,8.0,,,,,,,,,,,,,,,,,,2.92,,,,0.014,0.6,,,maqB_rodada_17.csv
18,,,,,300.0,300.0,17.528,94.3,1.196,9.0,,,,,,,,,,,,,,,,,,1.2,,,,0.019,0.723,,,maqB_rodada_18.csv
19,,,,,305.689,350.0,16.909,94.1,1.144,11.6,,,,,,,,,,,,,,,,,,0.0,,,,0.007,0.519,,,maqB_rodada_19.csv
20,,,,,300.0,300.0,17.526,97.0,1.195,9.3,,,,,,,,,,,,,,,,,,0.0,,,,0.012,0.52,,,maqB_rodada_20.csv
