rodada,clock_nucleo_mhz_media,clock_nucleo_mhz_max,clock_efetivo_nucleo_mhz_media,clock_efetivo_nucleo_mhz_max,clock_gpu_mhz_media,clock_gpu_mhz_max,uso_cpu_pct_media,uso_cpu_pct_max,carga_nucleo_gpu_pct_media,carga_nucleo_gpu_pct_max,carga_memoria_fisica_pct_media,carga_memoria_fisica_pct_max,uso_memoria_gpu_pct_media,uso_memoria_gpu_pct_max,temp_cpu_c_media,temp_cpu_c_max,temp_nucleo_max_c_media,temp_nucleo_max_c_max,temp_gpu_c_media,temp_gpu_c_max,throttling_termico_nucleo_pct_tempo,limite_termico_gpu_c_media,limite_termico_gpu_c_max,potencia_cpu_w_media,potencia_cpu_w_max,potencia_linhas_gpu_w_media,potencia_linhas_gpu_w_max,limite_pl1_atingido_pct_tempo,limite_desempenho_termico_pct_tempo,clock_memoria_mhz_media,clock_memoria_mhz_max,taxa_leitura_mb_s_media,taxa_leitura_mb_s_max,taxa_gravacao_mb_s_media,taxa_gravacao_mb_s_max,arquivo_origem
1,,,,,200.0,200.0,32.167,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.48,70.562,,,maqC_rodada_01.CSV
2,,,,,200.0,200.0,33.373,100.0,,,,,,,,,,,,,,,,,,,,,,,,1.285,219.486,,,maqC_rodada_02.CSV
3,,,,,200.0,200.0,31.926,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.081,6.581,,,maqC_rodada_03.CSV
4,,,,,200.0,200.0,42.268,100.0,,,,,,,,,,,,,,,,,,,,,,,,19.839,240.996,,,maqC_rodada_04.CSV
5,,,,,200.0,200.0,30.891,100.0,,,,,,,,,,,,,,,,,,,,,,,,9.898,99.646,,,maqC_rodada_05.CSV
6,,,,,200.0,200.0,19.996,94.9,,,,,,,,,,,,,,,,,,,,,,,,2.693,102.514,,,maqC_rodada_06.CSV
7,,,,,203.06,711.0,20.037,97.1,,,,,,,,,,,,,,,,,,,,,,,,1.889,42.059,,,maqC_rodada_07.CSV
8,,,,,200.0,200.0,27.704,100.0,,,,,,,,,,,,,,,,,,,,,,,,1.083,190.922,,,maqC_rodada_08.CSV
9,,,,,200.0,200.0,27.793,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.475,26.602,,,maqC_rodada_09.CSV
10,,,,,200.0,200.0,19.747,97.8,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.35,,,maqC_rodada_10.CSV
11,,,,,200.0,200.0,27.958,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.026,1.408,,,maqC_rodada_11.CSV
12,,,,,200.0,200.0,27.776,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.083,9.163,,,maqC_rodada_12.CSV
13,,,,,200.0,200.0,25.633,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.032,5.423,,,maqC_rodada_13.CSV
14,,,,,200.0,200.0,28.081,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.103,11.331,,,maqC_rodada_14.CSV
15,,,,,200.0,200.0,12.768,20.5,,,,,,,,,,,,,,,,,,,,,,,,2.244,42.705,,,maqC_rodada_15.CSV
16,,,,,200.0,200.0,27.722,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.201,15.78,,,maqC_rodada_16.CSV
17,,,,,200.0,200.0,26.373,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.021,1.115,,,maqC_rodada_17.CSV
18,,,,,200.0,200.0,19.641,96.9,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.211,,,maqC_rodada_18.CSV
19,,,,,200.0,200.0,28.642,100.0,,,,,,,,,,,,,,,,,,,,,,,,1.907,180.424,,,maqC_rodada_19.CSV
20,,,,,200.0,200.0,27.56,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.12,6.585,,,maqC_rodada_20.CSV
