rodada,clock_nucleo_mhz_media,clock_nucleo_mhz_max,clock_efetivo_nucleo_mhz_media,clock_efetivo_nucleo_mhz_max,clock_gpu_mhz_media,clock_gpu_mhz_max,uso_cpu_pct_media,uso_cpu_pct_max,carga_nucleo_gpu_pct_media,carga_nucleo_gpu_pct_max,carga_memoria_fisica_pct_media,carga_memoria_fisica_pct_max,uso_memoria_gpu_pct_media,uso_memoria_gpu_pct_max,temp_cpu_c_media,temp_cpu_c_max,temp_nucleo_max_c_media,temp_nucleo_max_c_max,temp_gpu_c_media,temp_gpu_c_max,throttling_termico_nucleo_pct_tempo,limite_termico_gpu_c_media,limite_termico_gpu_c_max,potencia_cpu_w_media,potencia_cpu_w_max,potencia_linhas_gpu_w_media,potencia_linhas_gpu_w_max,limite_pl1_atingido_pct_tempo,limite_desempenho_termico_pct_tempo,clock_memoria_mhz_media,clock_memoria_mhz_max,taxa_leitura_mb_s_media,taxa_leitura_mb_s_max,taxa_gravacao_mb_s_media,taxa_gravacao_mb_s_max,arquivo_origem
1,,,,,133.875,405.0,29.767,100.0,,,,,,,,,,,,,,,,,,,,17.08,,,,1.473,50.58,,,maqD_rodada_01.CSV
2,,,,,135.592,405.0,29.042,100.0,,,,,,,,,,,,,,,,,,,,18.42,,,,0.209,10.768,,,maqD_rodada_02.CSV
3,,,,,135.0,405.0,29.428,100.0,,,,,,,,,,,,,,,,,,,,17.97,,,,0.126,6.103,,,maqD_rodada_03.CSV
4,,,,,133.151,135.0,29.134,100.0,,,,,,,,,,,,,,,,,,,,18.26,,,,0.167,18.227,,,maqD_rodada_04.CSV
5,,,,,133.192,135.0,28.887,100.0,,,,,,,,,,,,,,,,,,,,19.2,,,,0.576,47.773,,,maqD_rodada_05.CSV
6,,,,,135.0,135.0,12.2,14.8,,,,,,,,,,,,,,,,,,,,0.0,,,,10.038,27.717,,,maqD_rodada_06.CSV
7,,,,,135.0,405.0,29.291,100.0,,,,,,,,,,,,,,,,,,,,15.57,,,,0.042,2.604,,,maqD_rodada_07.CSV
8,,,,,135.0,405.0,29.994,100.0,,,,,,,,,,,,,,,,,,,,15.57,,,,0.047,2.814,,,maqD_rodada_08.CSV
9,,,,,135.0,405.0,29.993,100.0,,,,,,,,,,,,,,,,,,,,15.02,,,,0.022,1.107,,,maqD_rodada_09.CSV
10,,,,,131.284,135.0,32.577,100.0,,,,,,,,,,,,,,,,,,,,20.64,,,,1.703,61.294,,,maqD_rodada_10.CSV
11,,,,,130.625,135.0,31.53,100.0,,,,,,,,,,,,,,,,,,,,19.44,,,,0.065,3.112,,,maqD_rodada_11.CSV
12,,,,,134.366,135.0,29.954,100.0,,,,,,,,,,,,,,,,,,,,14.08,,,,0.04,2.948,,,maqD_rodada_12.CSV
13,,,,,298.665,448.3,27.283,100.0,,,,,,,,,,,,,,,,,,,,15.56,,,,2.612,96.858,,,maqD_rodada_13.CSV
14,,,,,298.168,448.3,33.853,100.0,,,,,,,,,,,,,,,,,,,,31.36,,,,0.797,7.646,,,maqD_rodada_14.CSV
15,,,,,298.353,450.7,31.889,100.0,,,,,,,,,,,,,,,,,,,,24.54,,,,0.233,6.735,,,maqD_rodada_15.CSV
16,,,,,298.001,442.9,31.893,100.0,,,,,,,,,,,,,,,,,,,,25.12,,,,0.449,8.098,,,maqD_rodada_16.CSV
17,,,,,298.856,488.5,30.128,100.0,,,,,,,,,,,,,,,,,,,,20.66,,,,0.229,7.549,,,maqD_rodada_17.CSV
18,,,,,299.736,455.9,29.297,100.0,,,,,,,,,,,,,,,,,,,,16.07,,,,1.518,52.585,,,maqD_rodada_18.CSV
19,,,,,130.944,135.0,27.882,100.0,,,,,,,,,,,,,,,,,,,,15.88,,,,1.732,60.329,,,maqD_rodada_19.CSV
20,,,,,133.116,135.0,30.3,100.0,,,,,,,,,,,,,,,,,,,,17.67,,,,0.055,3.59,,,maqD_rodada_20.CSV
