Time,Date
18:13:50.465,25.6.2026
18:13:51.474,25.6.2026
18:13:52.485,25.6.2026
18:13:53.486,25.6.2026
18:13:54.498,25.6.2026
18:13:55.517,25.6.2026
18:13:56.502,25.6.2026
18:13:57.504,25.6.2026
18:13:58.508,25.6.2026
18:13:59.497,25.6.2026
18:14:0.506,25.6.2026
18:14:1.516,25.6.2026
18:14:2.507,25.6.2026
18:14:3.497,25.6.2026
18:14:4.496,25.6.2026
18:14:5.492,25.6.2026
18:14:6.491,25.6.2026
18:14:7.506,25.6.2026
18:14:8.520,25.6.2026
18:14:9.544,25.6.2026
18:14:10.538,25.6.2026
18:14:11.539,25.6.2026
18:14:12.568,25.6.2026
18:14:13.569,25.6.2026
18:14:14.553,25.6.2026
18:14:15.558,25.6.2026
18:14:16.550,25.6.2026
18:14:17.558,25.6.2026
18:14:18.556,25.6.2026
18:14:19.566,25.6.2026
18:14:20.555,25.6.2026
18:14:21.555,25.6.2026
18:14:22.572,25.6.2026
18:14:23.542,25.6.2026
18:14:24.579,25.6.2026
18:14:25.555,25.6.2026
18:14:26.567,25.6.2026
18:14:27.563,25.6.2026
18:14:28.565,25.6.2026
18:14:29.559,25.6.2026
18:14:30.571,25.6.2026
18:14:31.584,25.6.2026
18:14:32.587,25.6.2026
18:14:33.578,25.6.2026
18:14:34.576,25.6.2026
18:14:35.573,25.6.2026
18:14:36.573,25.6.2026
18:14:37.570,25.6.2026
18:14:38.580,25.6.2026
18:14:39.607,25.6.2026
18:14:40.605,25.6.2026
18:14:41.590,25.6.2026
18:14:42.596,25.6.2026
18:14:43.596,25.6.2026
18:14:44.590,25.6.2026
18:14:45.577,25.6.2026
18:14:46.600,25.6.2026
18:14:47.632,25.6.2026
18:14:48.631,25.6.2026
18:14:49.663,25.6.2026
18:14:50.668,25.6.2026
18:14:51.637,25.6.2026
18:14:52.635,25.6.2026
18:14:53.644,25.6.2026
18:14:54.670,25.6.2026
18:14:55.670,25.6.2026
18:14:56.702,25.6.2026
18:14:57.688,25.6.2026
18:14:58.689,25.6.2026
18:14:59.700,25.6.2026
18:15:0.704,25.6.2026
18:15:1.685,25.6.2026
18:15:2.677,25.6.2026
18:15:3.678,25.6.2026
18:15:4.690,25.6.2026
18:15:5.704,25.6.2026
18:15:6.701,25.6.2026
18:15:7.698,25.6.2026
18:15:8.706,25.6.2026
18:15:9.713,25.6.2026
18:15:10.715,25.6.2026
18:15:11.719,25.6.2026
18:15:12.710,25.6.2026
18:15:13.713,25.6.2026
18:15:14.728,25.6.2026
18:15:15.738,25.6.2026
18:15:16.759,25.6.2026
18:15:17.755,25.6.2026
18:15:18.764,25.6.2026
18:15:19.743,25.6.2026
18:15:20.755,25.6.2026
18:15:21.759,25.6.2026
18:15:22.764,25.6.2026
18:15:23.763,25.6.2026
18:15:24.780,25.6.2026
18:15:25.775,25.6.2026
18:15:26.759,25.6.2026
18:15:27.751,25.6.2026
18:15:28.744,25.6.2026
18:15:29.742,25.6.2026
18:15:30.752,25.6.2026
18:15:31.741,25.6.2026
18:15:32.752,25.6.2026
18:15:33.748,25.6.2026
18:15:34.745,25.6.2026
18:15:35.741,25.6.2026
18:15:36.752,25.6.2026
18:15:37.767,25.6.2026
18:15:38.773,25.6.2026
18:15:39.791,25.6.2026
18:15:40.786,25.6.2026
18:15:41.787,25.6.2026
18:15:42.770,25.6.2026
18:15:43.771,25.6.2026
18:15:44.790,25.6.2026
18:15:45.801,25.6.2026
18:15:46.807,25.6.2026
18:15:47.799,25.6.2026
18:15:48.797,25.6.2026
18:15:49.797,25.6.2026
18:15:50.791,25.6.2026
18:15:51.790,25.6.2026
18:15:52.798,25.6.2026
18:15:53.795,25.6.2026
18:15:54.802,25.6.2026
18:15:55.799,25.6.2026
18:15:56.794,25.6.2026
18:15:57.835,25.6.2026
18:15:58.836,25.6.2026
18:15:59.845,25.6.2026
18:16:0.841,25.6.2026
18:16:1.862,25.6.2026
18:16:2.824,25.6.2026
18:16:3.827,25.6.2026
18:16:4.824,25.6.2026
18:16:5.821,25.6.2026
18:16:6.829,25.6.2026
18:16:7.846,25.6.2026
18:16:8.853,25.6.2026
18:16:9.835,25.6.2026
18:16:10.867,25.6.2026
18:16:11.897,25.6.2026
18:16:12.879,25.6.2026
18:16:13.878,25.6.2026
18:16:14.879,25.6.2026
18:16:15.877,25.6.2026
18:16:16.875,25.6.2026
18:16:17.878,25.6.2026
18:16:18.866,25.6.2026
18:16:19.896,25.6.2026
18:16:20.880,25.6.2026
18:16:21.887,25.6.2026
18:16:22.889,25.6.2026
18:16:23.890,25.6.2026
18:16:24.869,25.6.2026
18:16:25.869,25.6.2026
18:16:26.867,25.6.2026
18:16:27.869,25.6.2026
18:16:28.890,25.6.2026
18:16:29.894,25.6.2026
18:16:30.882,25.6.2026
18:16:31.884,25.6.2026
18:16:32.886,25.6.2026
18:16:33.881,25.6.2026
18:16:34.877,25.6.2026
18:16:35.879,25.6.2026
18:16:36.868,25.6.2026
18:16:37.866,25.6.2026
18:16:38.881,25.6.2026
18:16:39.902,25.6.2026
18:16:40.905,25.6.2026
18:16:41.920,25.6.2026
18:16:42.915,25.6.2026
18:16:43.927,25.6.2026
18:16:44.930,25.6.2026
18:16:45.929,25.6.2026
18:16:46.925,25.6.2026
18:16:47.912,25.6.2026
18:16:48.925,25.6.2026
18:16:49.922,25.6.2026
18:16:50.917,25.6.2026
18:16:51.930,25.6.2026
18:16:52.927,25.6.2026
18:16:53.924,25.6.2026
18:16:54.920,25.6.2026
18:16:55.917,25.6.2026
18:16:56.953,25.6.2026
18:16:57.940,25.6.2026
18:16:58.951,25.6.2026
18:16:59.936,25.6.2026
18:17:0.929,25.6.2026
18:17:1.920,25.6.2026
18:17:2.915,25.6.2026
18:17:3.923,25.6.2026
18:17:4.926,25.6.2026
18:17:5.941,25.6.2026
18:17:6.936,25.6.2026
18:17:7.946,25.6.2026
18:17:8.953,25.6.2026
18:17:9.954,25.6.2026
18:17:10.985,25.6.2026
18:17:11.982,25.6.2026
18:17:12.984,25.6.2026
18:17:13.961,25.6.2026
18:17:14.994,25.6.2026
18:17:15.965,25.6.2026
18:17:16.974,25.6.2026
18:17:17.965,25.6.2026
18:17:18.964,25.6.2026
18:17:20.004,25.6.2026
