Date,Time,"Mem√≥ria virtual comprometida [MB]","Mem√≥ria virtual dispon√≠vel [MB]","Carga da mem√≥ria virtual [%]","Mem√≥ria f√≠sica utilizada [MB]","Mem√≥ria f√≠sica dispon√≠vel [MB]","Carga da mem√≥ria f√≠sica [%]","Utiliza√ß√£o do arquivo de pagina√ß√£o [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Rel√≥gios n√∫cleo (avg) [MHz]","Core 0 Rel√≥gio [MHz]","Core 1 Rel√≥gio [MHz]","Core 2 Rel√≥gio [MHz]","Core 3 Rel√≥gio (perf #1) [MHz]","Rel√≥gio de barramento [MHz]","Rel√≥gios efetivos n√∫cleo (avg) [MHz]","Core 0 T0 Rel√≥gio efetivo [MHz]","Core 0 T1 Rel√≥gio efetivo [MHz]","Core 1 T0 Rel√≥gio efetivo [MHz]","Core 1 T1 Rel√≥gio efetivo [MHz]","Core 2 T0 Rel√≥gio efetivo [MHz]","Core 2 T1 Rel√≥gio efetivo [MHz]","Core 3 T0 Rel√≥gio efetivo [MHz]","Core 3 T1 Rel√≥gio efetivo [MHz]","Rel√≥gio efetivo m√©dio [MHz]","Uso do n√∫cleo (avg) [%]","Core 0 T0 Uso [%]","Core 0 T1 Uso [%]","Core 1 T0 Uso [%]","Core 1 T1 Uso [%]","Core 2 T0 Uso [%]","Core 2 T1 Uso [%]","Core 3 T0 Uso [%]","Core 3 T1 Uso [%]","Uso m√°ximo de CPU / thread [%]","Uso total da CPU [%]","Utiliza√ß√£o do n√∫cleo (avg) [%]","Core 0 T0 Utiliza√ß√£o [%]","Core 0 T1 Utiliza√ß√£o [%]","Core 1 T0 Utiliza√ß√£o [%]","Core 1 T1 Utiliza√ß√£o [%]","Core 2 T0 Utiliza√ß√£o [%]","Core 2 T1 Utiliza√ß√£o [%]","Core 3 T0 Utiliza√ß√£o [%]","Core 3 T1 Utiliza√ß√£o [%]","Utiliza√ß√£o total da CPU [%]","Rela√ß√£o do rel√≥gio do n√∫cleo (avg) [x]","Core 0 Rela√ß√£o [x]","Core 1 Rela√ß√£o [x]","Core 2 Rela√ß√£o [x]","Core 3 Rela√ß√£o [x]","Rel√≥gio da mem√≥ria [MHz]","Rela√ß√£o do rel√≥gio da mem√≥ria [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [¬∞C]","CPU SOC [¬∞C]","APU GFX [¬∞C]","Temperaturas centrais (avg) [¬∞C]","Core0 [¬∞C]","Core1 [¬∞C]","Core2 [¬∞C]","Core3 [¬∞C]","L3 Cache [¬∞C]","Tens√£o do n√∫cleo da CPU (SVI2 TFN) [V]","SoC Voltagem (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","Corrente do n√∫cleo da CPU (SVI2 TFN) [A]","Corrente do SoC (SVI2 TFN) [A]","CPU TDC [A]","Pot√™ncia total da CPU [W]","Pot√™ncia dos n√∫cleos (avg) [W]","Core 0 Pot√™ncia [W]","Core 1 Pot√™ncia [W]","Core 2 Pot√™ncia [W]","Core 3 Pot√™ncia [W]","CPU Pot√™ncia do n√∫cleo (SVI2 TFN) [W]","Pot√™ncia da SoC CPU (SVI2 TFN) [W]","Core+SoC Pot√™ncia (SVI2 TFN) [W]","APU STAPM [W]","Infinity Fabric Rel√≥gio (FCLK) [MHz]","Rel√≥gio do controlador de mem√≥ria (UCLK) [MHz]","Limite de CPU TDC [%]","CPU PPT FAST Limit [%]","CPU PPT SLOW Limit [%]","APU STAPM Limit [%]","Estrangulamento t√©rmico (HTC) [Yes/No]","Estrangulamento t√©rmico (PROCHOT CPU) [Yes/No]","Estrangulamento t√©rmico (PROCHOT EXT) [Yes/No]","CPU [RPM]","Temperatura do disco [¬∞C]","Vida restante do disco [%]","Reserva dispon√≠vel do disco [%]","Falha de disco [Yes/No]","Aviso de disco [Yes/No]","Total de grava√ß√µes de host [GB]","Total de leituras de host [GB]","Atividade de leitura [%]","Atividade de grava√ß√£o [%]","Atividade total [%]","Taxa de leituras [MB/s]","Taxa de grava√ß√µes [MB/s]","Leia total [MB]","Gravar total [MB]","Temperatura GPU [¬∞C]","GPU Core Voltage (VDDCR_GFX) [V]","GPU Clock [MHz]","Rel√≥gio de mem√≥ria GPU [MHz]","GPU SoC Rel√≥gio [MHz]","GPU VCN Rel√≥gio [MHz]","Utiliza√ß√£o de GPU [%]","Utiliza√ß√£o de D3D GPU [%]","Utiliza√ß√µes de D3D GPU (avg) [%]","GPU Video Decode 0 Uso [%]","GPU Computing (High Priority Compute) Uso [%]","GPU Computing (Compute 0) Uso [%]","GPU Computing (Compute 1) Uso [%]","Mem√≥ria dedicada D3D GPU [MB]","Mem√≥ria din√¢mica D3D GPU [MB]","Velocidade do link PCIe [GT/s]","Uso de mem√≥ria GPU [MB]","Taxa de quadros [FPS]","Voltagem da bateria [V]","Capacidade restante [Wh]","N√≠vel de carga [%]","Taxa de carga [W]","N√≠vel de desgaste [%]","Tempo restante estimado [minutos]","Taxa de quadros Presented (avg) [FPS]","Taxa de quadros Presented (99%) [FPS]","Taxa de quadros Presented (1%) [FPS]","Taxa de quadros Presented (0.1%) [FPS]","Taxa de quadros Presented (1% low) [FPS]","Taxa de quadros Presented (0.1% low) [FPS]","Taxa de quadros Displayed (avg) [FPS]","Taxa de quadros Displayed (99%) [FPS]","Taxa de quadros Displayed (1%) [FPS]","Taxa de quadros Displayed (0.1%) [FPS]","Taxa de quadros Displayed (1% low) [FPS]","Taxa de quadros Displayed (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","Total download [MB]","Total upload [MB]","Taxa de download atual [KB/s]","Taxa de upload atual [KB/s]","Total de erros []",
16.6.2026,23:24:12.021,4016,8986,30.8,3392,2698,55.6,1.3,6912,92,1.203,1.006,1.269,1.269,1.269,1971.4,3693.3,1397.5,1397.5,1397.5,99.8,147.3,432.8,253.1,271.9,155.0,50.6,15.0,0.1,0.1,147.3,8.1,24.0,13.0,16.1,8.7,1.5,1.2,0.0,0.0,24.0,8.1,6.7,20.0,11.6,12.2,6.8,2.1,0.6,0.0,0.0,6.7,19.8,37.0,14.0,14.0,14.0,1197.8,12.00,17,17,17,39,56,421,2,45.0,44.1,42.5,42.9,43.3,43.0,43.0,42.3,43.6,0.760,0.793,1.069,1.679,0.864,1.476,3.597,0.142,0.338,0.164,0.065,0.001,1.427,0.723,2.150,4.193,534.7,534.7,4.2,14.0,18.5,28.0,N„o,N„o,N„o,0,39,82.0,100.0,N„o,N„o,42375,86075,0.2,0.8,0.9,0.008,0.024,22243,7251,39.0,0.681,200.0,400.0,199.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,123,29,8.0,120,0.0,7.850,6.358,36.2,-4.576,52.7,83.3,16.1,61.5,5.8,5.5,5.5,5.5,16.1,61.0,5.7,5.5,5.4,5.4,62.10,173.25,16.23,16.19,182.36,182.36,0.60,61.49,61.79,0.30,31.28,166,6,0.0,0.0,0,
16.6.2026,23:24:14.016,4024,8978,30.9,3395,2695,55.7,1.3,6912,92,0.934,0.713,1.062,1.044,0.919,2836.6,3294.1,3294.1,3294.1,1464.0,99.8,386.8,604.5,434.0,706.5,441.2,361.4,382.0,114.3,50.7,386.8,16.6,30.9,20.0,30.4,18.1,13.4,12.7,4.7,2.3,30.9,16.6,18.1,29.7,20.1,32.5,20.5,16.2,18.0,5.3,2.3,18.1,28.4,33.0,33.0,33.0,14.7,1197.8,12.00,17,17,17,39,56,421,2,45.9,44.9,42.8,44.2,44.4,44.5,44.5,43.2,44.9,0.805,0.811,1.144,3.378,1.092,2.595,5.192,0.459,0.475,0.661,0.591,0.110,3.050,0.959,4.010,4.205,588.2,588.2,7.4,20.7,19.6,28.0,N„o,N„o,N„o,2100,39,82.0,100.0,N„o,N„o,42375,86075,0.2,1.0,1.3,0.109,1.322,22243,7253,42.0,0.682,200.0,400.0,199.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,117,30,8.0,114,0.0,7.850,6.350,36.2,-3.964,52.7,96.1,18.3,74.9,1.7,1.4,1.4,1.4,18.3,60.3,1.7,1.4,1.4,1.4,54.56,576.57,13.29,13.18,716.87,716.87,0.70,53.86,54.28,0.28,70.19,166,6,0.0,0.0,0,
16.6.2026,23:24:16.023,4020,8982,30.9,3392,2699,55.6,1.3,6912,92,0.941,0.719,1.062,1.062,0.919,2836.6,3294.1,3294.1,3294.1,1464.0,99.8,237.8,538.1,335.0,401.8,282.1,209.2,135.4,0.2,0.1,237.8,10.9,27.5,15.7,18.7,13.7,6.7,4.7,0.0,0.0,27.5,10.9,10.8,24.1,15.1,18.5,12.9,9.5,6.3,0.0,0.0,10.8,28.4,33.0,33.0,33.0,14.7,1197.8,12.00,17,17,17,39,56,421,2,45.4,44.9,42.9,43.9,44.2,44.1,44.1,43.1,44.6,0.770,0.825,1.056,2.367,0.977,2.656,4.473,0.330,0.485,0.471,0.365,0.000,2.136,0.866,3.002,4.217,627.7,627.7,7.6,17.1,20.4,28.1,N„o,N„o,N„o,2500,38,82.0,100.0,N„o,N„o,42375,86075,0.0,0.8,0.8,0.000,0.386,22243,7254,42.0,0.683,200.0,400.0,199.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,117,30,8.0,114,0.0,7.850,6.342,36.1,-4.702,52.7,80.9,9.5,64.3,1.7,1.6,1.5,1.5,9.5,61.5,1.7,1.6,1.5,1.5,105.23,605.37,15.58,15.51,649.38,649.38,1.02,104.20,104.92,0.31,149.94,166,6,0.0,0.0,0,
16.6.2026,23:24:17.971,4018,8984,30.9,3395,2695,55.7,1.3,6912,92,0.897,1.081,0.713,1.081,0.713,2293.1,2262.6,3693.3,1608.2,1608.2,99.8,246.4,432.3,362.1,644.6,343.6,121.7,66.0,0.3,0.3,246.4,10.2,19.3,15.3,25.5,13.2,5.5,2.7,0.2,0.2,25.5,10.2,11.0,18.2,16.3,29.7,15.5,5.5,2.9,0.0,0.0,11.0,23.0,22.7,37.0,16.1,16.1,1197.8,12.00,17,17,17,39,56,421,2,54.8,44.8,42.9,43.9,44.1,44.7,43.8,43.0,44.5,0.796,0.809,1.087,2.505,0.953,2.355,4.169,0.339,0.498,0.744,0.112,0.001,2.263,0.823,3.086,4.223,581.2,581.2,6.7,17.3,20.2,28.2,N„o,N„o,N„o,2400,39,82.0,100.0,N„o,N„o,42375,86075,0.0,0.7,0.7,0.000,0.142,22243,7254,42.0,0.683,200.0,400.0,199.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,120,30,8.0,117,0.0,7.850,6.342,36.1,-5.604,52.7,67.9,60.0,63.0,58.0,58.0,58.0,58.0,60.2,61.2,59.7,59.7,59.7,59.7,16.68,17.25,15.92,15.89,17.26,17.26,1.79,14.89,16.35,0.33,0.39,166,6,0.0,0.0,0,
16.6.2026,23:24:20.055,4027,8976,30.9,3400,2690,55.8,1.3,6912,89,1.050,0.981,1.062,1.062,1.094,2090.7,1563.8,3693.3,1552.8,1552.8,99.8,569.8,905.3,563.3,1218.0,768.7,398.2,307.8,255.9,141.1,569.8,22.7,39.7,23.6,50.2,27.0,15.4,10.8,10.1,5.0,50.2,22.7,26.4,42.2,26.3,57.6,34.1,18.5,14.2,11.9,6.5,26.4,20.9,15.7,37.0,15.6,15.6,1197.8,12.00,17,17,17,39,56,421,2,51.9,45.3,43.0,44.9,44.8,46.2,44.5,44.1,45.5,0.851,0.822,1.250,3.919,1.116,2.895,6.710,0.635,0.691,1.285,0.330,0.233,3.547,0.975,4.522,4.235,621.8,621.8,8.3,22.6,20.9,28.2,N„o,N„o,N„o,2400,40,82.0,100.0,N„o,N„o,42375,86075,1.4,1.2,2.6,1.566,0.063,22246,7254,43.0,0.681,200.0,400.0,199.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,117,31,8.0,114,0.0,7.850,6.342,36.1,-8.917,52.7,42.7,55.9,99.8,21.6,19.6,19.4,19.4,55.8,62.5,24.1,20.4,20.1,20.1,17.90,46.34,10.05,9.97,51.65,51.65,1.23,16.67,17.57,0.32,4.15,166,6,0.0,0.0,0,
16.6.2026,23:24:21.983,4028,8974,30.9,3404,2687,55.8,1.3,6912,89,1.009,1.038,1.044,1.056,0.900,3138.1,3119.4,3144.3,3144.3,3144.3,99.8,359.9,689.6,412.5,576.7,447.1,252.5,212.8,262.2,25.7,359.9,15.9,34.0,20.0,27.2,21.0,10.1,8.9,4.6,1.6,34.0,15.9,15.9,33.0,19.2,26.8,20.8,11.4,9.5,5.8,0.9,15.9,31.4,31.2,31.5,31.5,31.5,1197.8,12.00,17,17,17,39,56,421,2,58.8,45.1,43.2,44.3,44.4,44.6,44.2,43.9,45.0,0.821,0.789,1.275,2.714,0.922,3.250,4.483,0.356,0.453,0.465,0.233,0.273,2.381,0.765,3.146,4.254,526.3,526.3,9.3,17.6,22.1,28.4,N„o,N„o,N„o,2400,40,82.0,100.0,N„o,N„o,42375,86075,0.2,1.3,1.6,0.042,0.080,22246,7255,43.0,0.686,200.0,400.0,199.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,117,31,8.0,114,0.0,7.850,6.334,36.1,-7.724,52.7,49.2,21.8,68.2,2.4,2.1,2.1,2.1,21.8,61.6,2.4,2.1,2.1,2.1,45.81,410.38,14.65,14.65,482.78,482.78,1.15,44.65,45.54,0.27,57.58,166,6,0.0,0.0,0,
16.6.2026,23:24:23.985,4097,8905,31.5,3449,2641,56.6,1.3,6912,89,0.912,0.731,1.094,1.087,0.738,2746.6,3368.9,3393.9,2715.1,1508.4,99.8,748.8,839.9,724.2,1064.0,907.6,800.3,775.0,425.0,454.0,748.8,28.0,35.4,28.8,39.6,32.7,27.8,26.8,18.1,14.6,39.6,28.0,35.9,38.8,33.7,50.6,43.2,37.8,36.6,26.1,20.5,35.9,27.5,33.8,34.0,27.2,15.1,1197.8,12.00,17,17,17,39,56,421,2,55.9,47.2,43.8,47.4,47.3,48.3,47.4,46.6,47.7,0.867,0.909,1.069,5.542,1.469,5.127,8.519,1.022,0.952,1.360,1.150,0.625,5.333,1.418,6.750,4.291,855.4,855.4,14.6,30.9,25.8,28.6,N„o,N„o,N„o,2300,40,82.0,100.0,N„o,N„o,42375,86075,0.4,0.6,1.0,0.215,0.143,22246,7255,43.0,0.681,200.0,400.0,199.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,128,38,8.0,125,0.0,7.850,6.327,36.1,-12.850,52.7,29.5,3.5,47.4,1.8,1.8,1.8,1.8,3.5,45.4,1.8,1.8,1.8,1.8,283.86,546.65,21.07,16.24,552.01,552.01,1.15,282.72,283.51,0.35,536.84,166,6,0.0,0.0,0,
16.6.2026,23:24:26.023,4054,8948,31.1,3413,2677,56.0,1.3,6912,89,0.925,1.006,1.269,0.713,0.713,2093.4,3693.3,1397.5,1641.5,1641.5,99.8,396.7,835.8,705.7,634.8,614.5,159.6,222.4,0.3,0.3,396.7,14.9,31.0,26.9,24.0,21.4,6.2,8.9,0.4,0.4,31.0,14.9,18.5,38.2,33.1,29.8,28.8,7.4,10.5,0.0,0.0,18.5,21.0,37.0,14.0,16.4,16.4,1197.8,12.00,17,17,17,39,56,421,2,53.9,47.1,43.9,46.3,47.4,47.3,45.7,44.9,46.9,0.927,0.885,1.281,4.072,1.219,3.728,6.653,0.756,1.413,1.409,0.199,0.003,4.339,1.144,5.483,4.313,785.0,785.0,10.7,25.7,26.1,28.8,N„o,N„o,N„o,2400,40,82.0,100.0,N„o,N„o,42375,86075,0.0,1.3,1.4,0.016,0.219,22246,7255,44.0,0.682,200.0,400.0,199.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,120,31,8.0,117,0.0,7.850,6.327,36.1,-8.689,52.7,43.7,3.5,47.4,1.8,1.8,1.8,1.8,3.5,45.4,1.8,1.8,1.8,1.8,283.86,546.65,21.07,16.24,552.01,552.01,1.15,282.72,283.51,0.35,536.84,166,6,0.0,0.0,0,
16.6.2026,23:24:27.986,4044,8958,31.1,3405,2685,55.9,1.3,6912,89,0.995,1.087,1.087,1.094,0.713,2395.7,2695.1,3693.3,1597.1,1597.1,99.8,146.2,406.8,299.8,196.1,165.9,55.8,44.5,0.3,0.3,146.2,7.4,20.9,15.3,9.7,7.9,2.8,2.3,0.0,0.0,20.9,7.4,6.8,19.5,13.9,9.0,7.6,2.5,2.0,0.0,0.0,6.8,24.0,27.0,37.0,16.0,16.0,1197.8,12.00,17,17,17,39,56,421,2,51.1,46.1,43.9,44.7,45.4,44.7,44.7,44.1,45.5,0.774,0.806,1.288,2.142,0.955,2.891,2.480,0.169,0.387,0.228,0.059,0.001,1.972,0.818,2.790,4.331,580.4,580.4,8.3,15.9,25.9,28.9,N„o,N„o,N„o,2400,42,82.0,100.0,N„o,N„o,42375,86075,0.0,0.9,0.9,0.000,0.096,22246,7256,43.0,0.681,200.0,400.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,31,8.0,117,0.0,7.850,6.319,36.0,-4.160,52.7,91.1,3.5,47.4,1.8,1.8,1.8,1.8,3.5,45.4,1.8,1.8,1.8,1.8,283.86,546.65,21.07,16.24,552.01,552.01,1.15,282.72,283.51,0.35,536.84,166,6,0.0,0.0,0,
16.6.2026,23:24:29.985,4056,8947,31.1,3415,2675,56.0,1.3,6912,89,0.938,1.256,0.831,0.831,0.831,2645.2,3693.3,3693.3,1597.1,1597.1,99.8,450.0,633.6,1666.1,321.3,928.3,18.5,12.8,9.6,9.8,450.0,15.4,20.5,59.6,10.7,32.0,0.0,0.0,0.2,0.2,59.6,15.4,21.1,28.9,78.6,14.9,43.9,0.9,0.6,0.5,0.5,21.1,26.5,37.0,37.0,16.0,16.0,1197.8,12.00,17,17,17,39,56,421,2,59.1,47.7,44.2,46.6,48.3,47.3,45.8,45.1,47.1,0.948,0.821,1.244,4.067,1.088,3.463,7.564,0.881,2.185,1.313,0.016,0.010,4.358,0.953,5.311,4.352,620.3,620.3,9.9,25.2,26.3,29.0,N„o,N„o,N„o,2400,40,82.0,100.0,N„o,N„o,42375,86075,0.2,1.5,1.7,0.033,0.273,22246,7256,43.0,0.680,200.0,400.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,31,8.0,117,0.0,7.850,6.311,36.0,-6.648,52.7,57.0,3.5,47.4,1.8,1.8,1.8,1.8,3.5,45.4,1.8,1.8,1.8,1.8,283.86,546.65,21.07,16.24,552.01,552.01,1.15,282.72,283.51,0.35,536.84,166,6,0.0,0.0,0,
