Date,Time,"Mem√≥ria virtual comprometida [MB]","Mem√≥ria virtual dispon√≠vel [MB]","Carga da mem√≥ria virtual [%]","Mem√≥ria f√≠sica utilizada [MB]","Mem√≥ria f√≠sica dispon√≠vel [MB]","Carga da mem√≥ria f√≠sica [%]","Utiliza√ß√£o do arquivo de pagina√ß√£o [%]","Page File Total [MB]","Page File Used [MB]","Core VIDs (avg) [V]","Core 0 VID [V]","Core 1 VID [V]","Core 2 VID [V]","Core 3 VID [V]","Rel√≥gios n√∫cleo (avg) [MHz]","Core 0 Rel√≥gio [MHz]","Core 1 Rel√≥gio [MHz]","Core 2 Rel√≥gio [MHz]","Core 3 Rel√≥gio (perf #1) [MHz]","Rel√≥gio de barramento [MHz]","Rel√≥gios efetivos n√∫cleo (avg) [MHz]","Core 0 T0 Rel√≥gio efetivo [MHz]","Core 0 T1 Rel√≥gio efetivo [MHz]","Core 1 T0 Rel√≥gio efetivo [MHz]","Core 1 T1 Rel√≥gio efetivo [MHz]","Core 2 T0 Rel√≥gio efetivo [MHz]","Core 2 T1 Rel√≥gio efetivo [MHz]","Core 3 T0 Rel√≥gio efetivo [MHz]","Core 3 T1 Rel√≥gio efetivo [MHz]","Rel√≥gio efetivo m√©dio [MHz]","Uso do n√∫cleo (avg) [%]","Core 0 T0 Uso [%]","Core 0 T1 Uso [%]","Core 1 T0 Uso [%]","Core 1 T1 Uso [%]","Core 2 T0 Uso [%]","Core 2 T1 Uso [%]","Core 3 T0 Uso [%]","Core 3 T1 Uso [%]","Uso m√°ximo de CPU / thread [%]","Uso total da CPU [%]","Utiliza√ß√£o do n√∫cleo (avg) [%]","Core 0 T0 Utiliza√ß√£o [%]","Core 0 T1 Utiliza√ß√£o [%]","Core 1 T0 Utiliza√ß√£o [%]","Core 1 T1 Utiliza√ß√£o [%]","Core 2 T0 Utiliza√ß√£o [%]","Core 2 T1 Utiliza√ß√£o [%]","Core 3 T0 Utiliza√ß√£o [%]","Core 3 T1 Utiliza√ß√£o [%]","Utiliza√ß√£o total da CPU [%]","Rela√ß√£o do rel√≥gio do n√∫cleo (avg) [x]","Core 0 Rela√ß√£o [x]","Core 1 Rela√ß√£o [x]","Core 2 Rela√ß√£o [x]","Core 3 Rela√ß√£o [x]","Rel√≥gio da mem√≥ria [MHz]","Rela√ß√£o do rel√≥gio da mem√≥ria [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","Trfc [T]","Command Rate [T]","CPU (Tctl/Tdie) [¬∞C]","CPU SOC [¬∞C]","APU GFX [¬∞C]","Temperaturas centrais (avg) [¬∞C]","Core0 [¬∞C]","Core1 [¬∞C]","Core2 [¬∞C]","Core3 [¬∞C]","L3 Cache [¬∞C]","Tens√£o do n√∫cleo da CPU (SVI2 TFN) [V]","SoC Voltagem (SVI2 TFN) [V]","CPU Core VID (Effective) [V]","Corrente do n√∫cleo da CPU (SVI2 TFN) [A]","Corrente do SoC (SVI2 TFN) [A]","CPU TDC [A]","Pot√™ncia total da CPU [W]","Pot√™ncia dos n√∫cleos (avg) [W]","Core 0 Pot√™ncia [W]","Core 1 Pot√™ncia [W]","Core 2 Pot√™ncia [W]","Core 3 Pot√™ncia [W]","CPU Pot√™ncia do n√∫cleo (SVI2 TFN) [W]","Pot√™ncia da SoC CPU (SVI2 TFN) [W]","Core+SoC Pot√™ncia (SVI2 TFN) [W]","APU STAPM [W]","Infinity Fabric Rel√≥gio (FCLK) [MHz]","Rel√≥gio do controlador de mem√≥ria (UCLK) [MHz]","Limite de CPU TDC [%]","CPU PPT FAST Limit [%]","CPU PPT SLOW Limit [%]","APU STAPM Limit [%]","Estrangulamento t√©rmico (HTC) [Yes/No]","Estrangulamento t√©rmico (PROCHOT CPU) [Yes/No]","Estrangulamento t√©rmico (PROCHOT EXT) [Yes/No]","CPU [RPM]","Temperatura do disco [¬∞C]","Vida restante do disco [%]","Reserva dispon√≠vel do disco [%]","Falha de disco [Yes/No]","Aviso de disco [Yes/No]","Total de grava√ß√µes de host [GB]","Total de leituras de host [GB]","Atividade de leitura [%]","Atividade de grava√ß√£o [%]","Atividade total [%]","Taxa de leituras [MB/s]","Taxa de grava√ß√µes [MB/s]","Leia total [MB]","Gravar total [MB]","Temperatura GPU [¬∞C]","GPU Core Voltage (VDDCR_GFX) [V]","GPU Clock [MHz]","Rel√≥gio de mem√≥ria GPU [MHz]","GPU SoC Rel√≥gio [MHz]","GPU VCN Rel√≥gio [MHz]","Utiliza√ß√£o de GPU [%]","Utiliza√ß√£o de D3D GPU [%]","Utiliza√ß√µes de D3D GPU (avg) [%]","GPU Video Decode 0 Uso [%]","GPU Computing (High Priority Compute) Uso [%]","GPU Computing (Compute 0) Uso [%]","GPU Computing (Compute 1) Uso [%]","Mem√≥ria dedicada D3D GPU [MB]","Mem√≥ria din√¢mica D3D GPU [MB]","Velocidade do link PCIe [GT/s]","Uso de mem√≥ria GPU [MB]","Taxa de quadros [FPS]","Voltagem da bateria [V]","Capacidade restante [Wh]","N√≠vel de carga [%]","Taxa de carga [W]","N√≠vel de desgaste [%]","Taxa de quadros Presented (avg) [FPS]","Taxa de quadros Presented (99%) [FPS]","Taxa de quadros Presented (1%) [FPS]","Taxa de quadros Presented (0.1%) [FPS]","Taxa de quadros Presented (1% low) [FPS]","Taxa de quadros Presented (0.1% low) [FPS]","Taxa de quadros Displayed (avg) [FPS]","Taxa de quadros Displayed (99%) [FPS]","Taxa de quadros Displayed (1%) [FPS]","Taxa de quadros Displayed (0.1%) [FPS]","Taxa de quadros Displayed (1% low) [FPS]","Taxa de quadros Displayed (0.1% low) [FPS]","Frame Time Presented (avg) [ms]","Frame Time Presented (99%) [ms]","Frame Time Presented (1%) [ms]","Frame Time Presented (0.1%) [ms]","Frame Time Displayed (1% high) [ms]","Frame Time Displayed (0.1% high) [ms]","GPU Busy (avg) [ms]","GPU Wait (avg) [ms]","CPU Busy (avg) [ms]","CPU Wait (avg) [ms]","Animation Error (avg) [ms]","Total download [MB]","Total upload [MB]","Taxa de download atual [KB/s]","Taxa de upload atual [KB/s]","Total de erros []",
21.6.2026,16:14:37.001,4061,8941,31.2,3008,3082,49.3,2.1,6912,142,0.970,0.894,1.000,0.994,0.994,2603.6,2096.2,3119.4,2079.6,3119.4,99.8,150.6,299.4,143.8,218.4,180.1,158.7,45.8,93.3,65.4,150.6,5.2,10.4,4.2,7.3,5.3,5.8,1.2,3.9,3.8,10.4,5.2,6.7,13.5,6.8,9.8,7.9,7.0,1.9,4.1,2.9,6.7,26.1,21.0,31.2,20.8,31.2,1197.8,12.00,17,17,17,39,56,421,2,54.4,47.7,45.9,46.8,47.1,47.0,46.7,46.3,47.4,0.859,0.835,1.000,3.199,1.222,2.781,6.110,0.300,0.486,0.433,0.180,0.100,3.022,1.058,4.080,3.354,802.9,802.9,7.9,23.0,29.0,24.8,N„o,N„o,N„o,2700,43,82.0,100.0,N„o,N„o,42576,86457,0.0,0.0,0.0,0.000,0.000,80071,74610,46.0,0.680,200.0,933.0,207.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,143,24,8.0,144,0.0,7.850,17.544,100.0,0.000,52.7,19.7,71.5,9.3,8.7,8.6,8.6,19.7,60.2,9.3,8.6,8.6,8.6,50.87,107.40,13.94,13.54,116.19,116.19,0.65,50.22,50.69,0.18,23.12,23,5,0.0,0.0,0,
21.6.2026,16:14:39.005,4065,8937,31.2,3014,3076,49.4,2.1,6912,142,0.994,0.988,0.994,0.994,1.000,2496.7,3119.4,2515.5,2176.1,2176.1,99.8,477.9,625.7,260.4,767.1,454.2,634.7,305.1,619.7,156.5,477.9,16.2,21.3,9.1,25.3,14.4,21.7,9.9,22.7,5.0,25.3,16.2,22.2,28.8,12.0,36.1,20.9,29.6,14.2,29.0,7.1,22.2,25.0,31.2,25.2,21.8,21.8,1197.8,12.00,17,17,17,39,56,421,2,52.5,49.0,46.3,48.9,48.9,49.6,48.7,48.4,49.4,0.913,0.868,1.000,5.886,1.539,5.086,9.544,0.962,0.871,1.207,0.935,0.834,5.741,1.395,7.136,3.405,882.9,882.9,14.5,35.3,32.0,25.2,N„o,N„o,N„o,2800,44,82.0,100.0,N„o,N„o,42576,86457,0.1,0.6,0.7,0.073,1.364,80071,74613,46.0,0.681,200.0,933.0,202.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,139,26,8.0,141,0.0,7.850,17.544,100.0,0.000,52.7,34.0,65.4,5.5,4.7,4.6,4.6,34.0,62.8,5.5,4.7,4.6,4.6,29.39,182.35,15.29,15.12,216.23,216.23,0.71,28.67,29.21,0.18,22.52,23,5,0.0,0.0,0,
21.6.2026,16:14:41.000,4064,8938,31.2,3014,3076,49.4,2.1,6912,142,1.075,1.069,1.100,1.100,1.031,2629.0,2146.1,2575.4,2575.4,3219.2,99.8,220.7,210.2,42.5,444.0,143.4,448.8,43.7,239.1,193.9,220.7,7.4,7.9,1.1,14.4,4.1,15.6,1.6,8.4,6.1,15.6,7.4,10.0,9.2,1.9,20.8,6.1,21.1,1.9,10.6,8.5,10.0,26.3,21.5,25.8,25.8,32.2,1197.8,12.00,17,17,17,39,56,421,2,50.5,48.4,46.4,47.8,47.8,48.1,48.1,47.1,48.5,0.892,0.854,1.013,3.953,1.354,4.452,7.161,0.459,0.311,0.592,0.532,0.401,3.757,1.199,4.956,3.452,851.6,851.6,12.7,26.6,33.2,25.6,N„o,N„o,N„o,2800,44,82.0,100.0,N„o,N„o,42576,86457,0.0,0.6,0.6,0.000,0.390,80071,74613,46.0,0.682,200.0,933.0,200.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,141,26,8.0,143,0.0,7.850,17.544,100.0,0.000,52.7,14.6,71.8,1.3,1.1,1.1,1.1,14.6,60.5,1.3,1.1,1.1,1.1,68.49,780.56,13.96,13.67,933.64,933.64,0.71,67.78,68.30,0.19,104.44,23,5,0.0,0.0,0,
21.6.2026,16:14:42.993,4118,8884,31.6,3053,3037,50.1,2.1,6912,142,0.977,1.150,0.919,0.919,0.919,2957.2,3518.7,2770.0,2770.0,2770.0,99.8,723.9,728.6,603.3,988.3,686.0,719.9,568.0,931.8,565.3,723.9,24.2,24.7,20.6,31.8,21.9,25.5,18.0,31.9,18.8,31.9,24.2,33.8,33.7,28.4,46.3,31.8,33.4,26.3,43.9,26.4,33.8,29.6,35.2,27.8,27.8,27.8,1197.8,12.00,17,17,17,39,56,421,2,58.8,50.2,46.8,50.6,50.6,51.8,49.9,50.1,50.8,0.978,0.897,1.081,7.539,1.698,5.480,11.631,1.348,1.246,1.600,1.196,1.351,7.598,1.587,9.185,3.500,947.0,947.0,15.7,43.2,34.7,25.9,N„o,N„o,N„o,2900,44,82.0,100.0,N„o,N„o,42576,86457,0.1,0.3,0.3,0.165,0.273,80071,74614,47.0,0.680,200.0,1200.0,199.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,152,33,8.0,154,0.0,7.850,17.544,100.0,0.000,52.7,38.3,76.2,6.9,6.0,6.0,6.0,38.6,60.5,6.9,6.1,6.0,6.0,26.13,145.75,13.29,13.24,167.59,167.59,0.96,25.16,25.88,0.24,16.81,23,5,0.0,0.0,0,
21.6.2026,16:14:45.022,4081,8921,31.3,3008,3082,49.3,2.1,6912,142,0.745,0.750,0.744,0.744,0.744,1366.3,1272.7,1397.5,1397.5,1397.5,99.8,464.5,592.7,1043.8,533.5,404.5,369.3,142.2,458.6,171.5,464.5,14.8,19.6,33.1,16.1,12.4,12.5,4.8,15.0,4.9,33.1,14.8,21.2,26.8,48.9,24.4,18.3,16.6,6.1,21.3,7.6,21.2,13.7,12.8,14.0,14.0,14.0,1197.8,12.00,17,17,17,39,56,421,2,56.2,51.0,47.5,50.2,51.5,50.5,49.8,49.0,51.0,0.970,0.876,1.150,6.364,1.527,7.054,10.186,1.031,1.781,1.005,0.642,0.695,6.403,1.381,7.784,3.580,946.2,946.2,20.2,37.7,40.1,26.5,N„o,N„o,N„o,2900,44,82.0,100.0,N„o,N„o,42576,86457,0.0,0.4,0.4,0.068,0.300,80071,74614,47.0,0.681,200.0,1200.0,199.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,141,26,8.0,143,0.0,7.850,17.544,100.0,0.000,52.7,33.4,74.1,5.3,4.7,4.6,4.6,33.4,60.2,5.3,4.7,4.6,4.6,29.98,189.34,13.48,13.34,216.99,216.99,1.16,28.81,29.74,0.24,22.09,23,5,0.0,0.0,0,
21.6.2026,16:14:47.015,4078,8924,31.3,3011,3079,49.4,2.1,6912,142,1.012,1.019,0.994,1.019,1.019,2797.5,2245.9,3194.2,2555.4,3194.2,99.8,187.6,326.4,186.6,112.7,70.4,166.6,74.3,383.5,180.1,187.6,6.8,11.0,5.5,4.7,3.3,7.1,3.7,13.3,5.7,13.3,6.8,8.5,14.9,8.4,5.1,3.1,7.7,3.3,17.4,7.9,8.5,28.0,22.5,32.0,25.6,32.0,1197.8,12.00,17,17,17,39,56,421,2,53.8,49.4,47.5,48.5,48.9,48.5,48.4,48.3,49.2,0.779,0.804,1.038,2.722,1.110,4.425,5.489,0.380,0.517,0.188,0.272,0.543,2.632,0.921,3.553,3.625,731.1,731.1,12.6,20.6,38.5,26.9,N„o,N„o,N„o,3000,44,82.0,100.0,N„o,N„o,42576,86457,0.0,0.2,0.2,0.000,0.171,80071,74615,47.0,0.680,200.0,933.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,26,8.0,143,0.0,7.850,17.544,100.0,0.000,52.7,33.4,74.1,5.3,4.7,4.6,4.6,33.4,60.2,5.3,4.7,4.6,4.6,29.98,189.34,13.48,13.34,216.99,216.99,1.16,28.81,29.74,0.24,22.09,23,5,0.0,0.0,0,
21.6.2026,16:14:49.013,4079,8923,31.3,3015,3075,49.5,2.1,6912,142,1.038,0.994,1.081,0.994,1.081,2686.8,2229.3,2129.5,3194.2,3194.2,99.8,560.7,1299.9,232.8,137.6,135.0,277.8,60.0,1589.7,752.2,560.7,16.1,37.4,5.8,5.0,2.9,9.4,1.5,45.8,21.1,45.8,16.1,26.3,61.1,10.3,6.2,6.2,13.2,2.6,75.5,34.9,26.3,26.9,22.3,21.3,32.0,32.0,1197.8,12.00,17,17,17,39,56,421,2,55.6,53.3,47.9,52.9,53.1,52.3,50.4,55.7,52.9,1.172,0.872,1.087,8.284,1.471,6.232,13.379,1.511,2.410,0.409,0.428,2.798,9.737,1.317,11.054,3.685,963.8,963.8,17.8,49.6,40.3,27.3,N„o,N„o,N„o,3100,46,82.0,100.0,N„o,N„o,42576,86457,0.0,0.5,0.5,0.000,0.141,80071,74615,47.0,0.680,200.0,933.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,26,8.0,143,0.0,7.850,17.544,100.0,0.000,52.7,33.4,74.1,5.3,4.7,4.6,4.6,33.4,60.2,5.3,4.7,4.6,4.6,29.98,189.34,13.48,13.34,216.99,216.99,1.16,28.81,29.74,0.24,22.09,23,5,0.0,0.0,0,
21.6.2026,16:14:51.018,4116,8887,31.6,3054,3036,50.1,2.1,6912,142,0.909,0.900,0.912,0.912,0.912,2743.8,2770.0,2735.1,2735.1,2735.1,99.8,467.9,1366.3,575.7,215.0,42.1,223.1,138.2,796.9,385.7,467.9,14.2,39.5,18.4,7.7,1.8,6.1,4.0,24.7,11.2,39.5,14.2,21.8,64.6,27.0,10.1,1.9,9.9,5.8,37.4,17.8,21.8,27.5,27.8,27.4,27.4,27.4,1197.8,12.00,17,17,17,39,56,421,2,63.6,53.9,48.7,52.7,55.6,51.1,51.3,52.7,53.2,1.108,0.899,0.975,7.422,1.560,7.869,12.469,1.419,3.350,0.355,0.337,1.634,8.632,1.447,10.079,3.782,987.6,987.6,22.5,46.2,46.7,28.0,N„o,N„o,N„o,3100,44,82.0,100.0,N„o,N„o,42576,86457,0.0,0.1,0.1,0.000,0.024,80071,74615,48.0,0.680,200.0,1200.0,199.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,142,26,8.0,143,0.0,7.850,17.544,100.0,0.000,52.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6262.46,6262.46,6262.46,6262.46,6262.46,6262.46,1.21,6261.35,6262.23,0.23,6244.07,23,5,0.0,0.0,0,
21.6.2026,16:14:53.010,4116,8886,31.6,3055,3035,50.1,2.1,6912,142,1.084,1.087,1.025,0.963,1.262,2458.1,2129.5,2262.6,3194.2,2245.9,99.8,450.6,232.7,135.8,81.5,117.9,2176.6,597.6,180.3,82.8,450.6,12.5,8.9,3.2,2.9,5.2,61.2,9.5,6.6,2.5,61.2,12.5,19.5,10.8,6.1,3.6,5.2,103.8,14.0,8.4,3.8,19.5,24.6,21.3,22.7,32.0,22.5,1197.8,12.00,17,17,17,39,56,421,2,60.2,51.9,48.9,51.4,51.7,49.6,55.3,49.2,52.2,1.071,0.805,1.094,5.703,1.144,5.810,9.765,1.030,0.470,0.218,3.040,0.392,6.679,0.942,7.621,3.844,748.7,748.7,16.6,36.3,45.8,28.5,N„o,N„o,N„o,3100,45,82.0,100.0,N„o,N„o,42576,86457,0.0,0.2,0.2,0.000,0.036,80071,74615,48.0,0.680,200.0,933.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,26,8.0,143,0.0,7.850,17.544,100.0,0.000,52.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6262.46,6262.46,6262.46,6262.46,6262.46,6262.46,1.21,6261.35,6262.23,0.23,6244.07,23,5,0.1,0.0,0,
21.6.2026,16:14:55.009,4145,8857,31.8,3081,3009,50.5,2.1,6912,142,0.956,0.731,1.031,1.031,1.031,1696.9,1696.9,1696.9,1696.9,1696.9,99.8,259.1,221.0,219.2,560.3,167.8,346.1,156.9,255.5,145.9,259.1,10.7,8.3,8.3,19.2,5.9,12.9,16.6,9.2,5.0,19.2,10.7,13.8,9.6,9.9,26.4,7.6,16.2,24.0,10.9,5.8,13.8,17.0,17.0,17.0,17.0,17.0,1197.8,12.00,17,17,17,39,56,421,2,57.4,51.5,49.1,50.7,50.6,50.9,51.4,49.8,51.5,0.885,0.889,1.013,4.341,1.418,5.673,7.831,0.630,0.445,0.769,0.881,0.424,4.318,1.327,5.645,3.907,868.9,868.9,16.2,29.0,45.5,28.9,N„o,N„o,N„o,3200,44,82.0,100.0,N„o,N„o,42576,86457,0.0,0.1,0.1,0.000,0.034,80071,74615,49.0,0.680,200.0,933.0,199.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,146,27,8.0,148,0.0,7.850,17.544,100.0,0.000,52.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6262.46,6262.46,6262.46,6262.46,6262.46,6262.46,1.21,6261.35,6262.23,0.23,6244.07,23,5,0.0,0.0,0,
